Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
1.95,0.003782321,0.004169653,0.005116899,0.006523156,0.003957119,0.003494289,0.008726792,0.004134553,0.005300524,0.005647407,0.009318099,0.007505946,0.00499517,0.006936988,0.003438763,0.005035955,0.004830181,0.011297461,0.006620982,0.01621558,0.008174651,0.00455661
2.3,0.004176313,0.004678147,0.005863892,0.007367881,0.004373658,0.003927886,0.009919663,0.00459078,0.005975136,0.00641057,0.010505117,0.00847297,0.005525631,0.007673659,0.003808217,0.005655765,0.005442457,0.012838023,0.007468791,0.01829731,0.009222683,0.005051894
2.72,0.004491506,0.005051042,0.006424137,0.00802489,0.004706889,0.004284967,0.010924186,0.004961464,0.006457002,0.006982943,0.011514083,0.009255798,0.005923476,0.008164774,0.004063992,0.006120622,0.00578261,0.014158506,0.008114741,0.020050345,0.010061109,0.005349065
3.2,0.004767301,0.005390038,0.006909681,0.00858804,0.004998466,0.004591036,0.011865926,0.005246606,0.006906744,0.007440841,0.012463699,0.00994653,0.006232912,0.008594498,0.004291349,0.006546742,0.006122764,0.015332268,0.008679946,0.021474687,0.010689928,0.005596706
3.78,0.005161292,0.005796834,0.007507276,0.009291978,0.005331697,0.004973622,0.013184362,0.005617289,0.007452858,0.008013213,0.013650717,0.010867505,0.006674962,0.009147002,0.004575544,0.007050337,0.006462918,0.01694619,0.009366268,0.023446852,0.011423551,0.005893877
4.46,0.005712881,0.006339227,0.008366317,0.010230561,0.005831544,0.005483737,0.01500506,0.006159059,0.008191719,0.008738218,0.015431246,0.012202918,0.007249628,0.010006451,0.005001837,0.007786362,0.006939133,0.019220355,0.01029482,0.026076405,0.012471583,0.006290103
5.27,0.006343268,0.006949421,0.009300058,0.011263003,0.006373044,0.006044864,0.017265236,0.00678637,0.009059078,0.009577698,0.017508529,0.013768576,0.007912703,0.010865902,0.005456549,0.008561124,0.007483378,0.02200804,0.011304117,0.029144217,0.013572017,0.006735859
6.21,0.007091852,0.007695212,0.010345848,0.012483162,0.006997853,0.006708014,0.019964891,0.007527738,0.010022809,0.010569809,0.019941917,0.015610526,0.008708394,0.011970908,0.00605336,0.0094521,0.008163685,0.025455966,0.012515272,0.03221203,0.014934458,0.007330199
7.33,0.007958634,0.008542702,0.011466337,0.013937967,0.007747623,0.007422175,0.022852894,0.008440192,0.011115039,0.011714554,0.022790763,0.017590622,0.00972511,0.013198694,0.006707008,0.010381815,0.008980054,0.029344053,0.013928286,0.035170277,0.016558908,0.008073125
8.65,0.008943613,0.009525791,0.012773574,0.015580488,0.008664008,0.008340382,0.026368725,0.009466701,0.012335765,0.013011932,0.026114416,0.019754913,0.010962851,0.014610647,0.007474336,0.011505221,0.009864453,0.033892382,0.015623903,0.038238089,0.018445366,0.008964636
10.21,0.010164988,0.010712278,0.014416957,0.017645372,0.009830317,0.00943713,0.03026125,0.010721324,0.013845612,0.014538258,0.029912876,0.021873155,0.012554233,0.016390936,0.008525858,0.012938531,0.011225068,0.039174311,0.017642496,0.040977208,0.020803438,0.010202845
12.05,0.011740955,0.01227166,0.016433838,0.020132618,0.011371511,0.01081444,0.034342125,0.012289603,0.015773075,0.016598799,0.034008091,0.023669056,0.01454346,0.018785117,0.009833157,0.014759222,0.013061897,0.044676321,0.020307037,0.042730243,0.023737928,0.01188681
14.22,0.014104906,0.014542934,0.019421808,0.023793095,0.013745783,0.0128549,0.039364739,0.014684793,0.018792767,0.019804084,0.039171623,0.025418909,0.017460993,0.022652642,0.011907782,0.017625843,0.015851156,0.051498813,0.02430385,0.04426415,0.028139663,0.014363229
16.78,0.017217441,0.0174922,0.023119422,0.028251367,0.016744862,0.015456488,0.043257265,0.01782135,0.022647694,0.023887006,0.043563594,0.025925445,0.021130012,0.027747952,0.014579218,0.02118975,0.019864968,0.056927463,0.029148471,0.043825891,0.033484628,0.017632101
19.81,0.021157359,0.021356756,0.027526678,0.033742081,0.020618674,0.018542684,0.045203528,0.021642248,0.027209357,0.028694934,0.046293737,0.025050519,0.025417902,0.034193825,0.017847463,0.025528418,0.025035303,0.059421707,0.034558298,0.041086773,0.039248804,0.021594371
27.58,0.030731359,0.031391041,0.036789386,0.04645989,0.029949145,0.02517418,0.039490304,0.029854326,0.035368952,0.037051571,0.042970084,0.019616767,0.033595835,0.047085573,0.023701886,0.033547209,0.037008708,0.051425453,0.043520848,0.029692041,0.04758066,0.030410422
32.55,0.036168446,0.036814979,0.040561699,0.051950604,0.034572726,0.027928802,0.03352595,0.033047911,0.037200042,0.038845004,0.037865902,0.016301257,0.035894498,0.0515056,0.025208121,0.035832758,0.04204298,0.043355838,0.045741299,0.023775546,0.048785897,0.033431653
38.41,0.041329738,0.041425327,0.043026775,0.055658009,0.038029998,0.029612182,0.027059334,0.034644704,0.036686052,0.03831079,0.031930808,0.013215991,0.035938703,0.052917554,0.025066024,0.036026448,0.045648608,0.034919423,0.046064274,0.018406874,0.047737864,0.034570805
45.32,0.044875664,0.044510192,0.04351232,0.057394389,0.039529538,0.029688699,0.021283328,0.034302535,0.034116101,0.03583051,0.025520906,0.01031492,0.03364004,0.051444211,0.023559789,0.034089542,0.046873161,0.027069889,0.043480476,0.013695591,0.043755342,0.033481181
53.48,0.044875664,0.0437983,0.040748448,0.05504793,0.038029998,0.027597227,0.016072365,0.031280034,0.02920107,0.031175215,0.019051654,0.007598043,0.02873328,0.045796398,0.020263123,0.029440968,0.044424055,0.019880596,0.038030277,0.009532131,0.037362347,0.029915138
63.11,0.041960125,0.040916833,0.036266492,0.050261153,0.034905957,0.024485525,0.011991491,0.02680331,0.023515053,0.025871231,0.013947472,0.005433752,0.02347288,0.038306907,0.016597004,0.024172585,0.039525844,0.014598666,0.031893757,0.006354754,0.030392933,0.025705226
74.48,0.036010849,0.034814902,0.02931946,0.041156892,0.029324336,0.019868983,0.008475662,0.021328592,0.017411419,0.019918558,0.009140046,0.00331551,0.017814634,0.030203523,0.012874046,0.018478081,0.033539141,0.009903618,0.02430385,0.003725201,0.022637495,0.020900974
87.89,0.029391787,0.028238377,0.022409779,0.030738614,0.023242869,0.015277947,0.005964354,0.0163101,0.012239392,0.014767207,0.005757042,0.00184195,0.013040489,0.023327924,0.009946835,0.013945722,0.028096684,0.006675772,0.017844355,0.001972165,0.016139695,0.016938704
103.72,0.022930322,0.022204246,0.016097691,0.021258919,0.017369671,0.011043992,0.004269222,0.01206149,0.008095346,0.010569809,0.003442355,0.000920975,0.008664189,0.01694344,0.007303819,0.009994434,0.022314074,0.004401608,0.012313412,0.000986083,0.010847133,0.013422189
125,0.016359472,0.016227656,0.010338967,0.013238969,0.011677338,0.007217793,0.002988786,0.008345644,0.004927712,0.007232477,0.001831289,0.000405956,0.004754369,0.011202734,0.004935649,0.006454484,0.016432998,0.002780928,0.007687649,0.00038636,0.006698442,0.009824214
144.43,0.014420099,0.015085328,0.00810487,0.010277491,0.009580394,0.005815312,0.002699655,0.007299625,0.00366218,0.006257938,0.001187019,0.000184195,0.003050148,0.00926978,0.00423451,0.00534586,0.015579034,0.002274164,0.005894289,0.000219129,0.005135357,0.009806618
170.44,0.01103177,0.012407258,0.005266298,0.006851661,0.006581314,0.004029909,0.002134611,0.005731346,0.002312956,0.004884244,0.000593509,4.60E-05,0.001502972,0.006936988,0.003325085,0.003990026,0.014422511,0.001540562,0.003875697,1.10E-04,0.003301301,0.009558976
201.13,0.008234428,0.010135984,0.003212069,0.004129768,0.004207042,0.002652599,0.001695132,0.004476723,0.001381349,0.003777658,0.000296755,0,0.000574666,0.004726974,0.002500918,0.002827883,0.013470081,0.001027042,0.002381939,0,0.001991261,0.009856146
237.35,0.00194742,0.002719068,0.000608002,0.000763944,0.000850669,0.000558632,0.000483136,0.001156211,0.000266225,0.000993862,3.51329E-05,0,6.54181E-05,0.001108354,0.000664508,0.000687932,0.003886139,0.000238841,0.000466014,0,0.00040325,0.003254341
250,0.004632243,0.006467727,0.001446228,0.00181716,0.002023449,0.001328794,0.001149214,0.002750229,0.000633258,0.002364056,8.35691E-05,0.00E+00,0.000155607,0.002636392,0.001580635,0.001636355,0.009243788,0.000568121,0.001108488,0,0.000959192,0.007740958
280.09,0.002504352,0.003680525,0.000575086,0.000704059,0.000937374,0.000614257,0.001016263,0.001643599,0.000291706,0.001566762,4.68641E-05,0,3.49046E-05,0.001551154,0.001065915,0.000963521,0.005049463,0.000376518,0.000510048,0,0.000496522,0.004868954
300,0.022091203,0.025791983,0.021554554,0.013630304,0.024067441,0.013619044,0.020663185,0.022781758,0.014518826,0.017932728,1.13E-02,0.017382487,2.38E-02,0.017810109,0.017253218,0.01998898,0.024746797,0.014344245,0.019873854,0.01901621,0.016615306,0.029080596
330.52,0.042057013,0.048619078,0.041324865,0.025697182,0.046133394,0.026024313,0.041088948,0.043992171,0.028052889,0.035020196,2.20E-02,0.033899267,0.046424552,0.034270584,0.033842587,0.038774969,0.045003333,0.027948916,0.038323198,0.037085349,0.032071621,0.055331918
390.04,0.047595277,0.054029022,0.048168537,0.029585344,0.053450038,0.030064959,0.046914393,0.050418221,0.032798137,0.03982162,2.59E-02,0.039999085,5.47E-02,0.038765225,0.03898263,0.044845033,0.048998315,0.032486585,0.044740312,0.043758468,0.03721592,0.062224298
460.27,0.237173001,0.262666229,0.264323382,0.160648117,0.289775744,0.16247335,0.244910651,0.261251777,0.179915318,0.200806387,0.143404979,0.221968437,0.303693066,0.19884612,0.20127171,0.237786498,0.225262676,0.176094374,0.244323204,0.242830526,0.202819407,0.28718542
1000,0.115775255,0.061778729,0.08320045,0.071658482,0.119014923,0.399462433,0.085535427,0.194290611,0.296949829,0.214804665,0.217000418,0.33356531,0.145831781,0.067331792,0.398957217,0.212516089,0.064204953,0.034741949,0.073159028,0.017065082,0.086267826,0.115139624
5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
