Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
53.48,0.005562171,0.007533118,0.005886698,0.007197878,0.003987274,0.00426297,0.007644157,0.0047977,0.008180284,0.006464321,0.008003433,0.00901389,0.005711254,0.00490306,0.008064182,0.004926268,0.00366251,0.005682683,0.010161307,0.007424707,0.010663154,0.004853047,0.00540483
63.11,0.005381197,0.007149239,0.005622086,0.006796306,0.00384192,0.004309772,0.007311995,0.004545834,0.00760673,0.006014604,0.007690326,0.008525264,0.005375064,0.00456949,0.007386207,0.004506371,0.003405669,0.005498425,0.009302044,0.00677919,0.010080725,0.004525451,0.005249125
74.48,0.004720722,0.006229838,0.004872687,0.005828246,0.003463655,0.004029693,0.00631551,0.003917338,0.006465677,0.005081386,0.006834385,0.00726674,0.004672071,0.003991442,0.006280088,0.003668911,0.002847554,0.004930716,0.007735283,0.005508477,0.008737037,0.003752044,0.00454179
87.89,0.004093542,0.00534566,0.004088074,0.00484576,0.003060058,0.003787641,0.005289948,0.003266699,0.005300402,0.004113427,0.005848011,0.005966871,0.003992889,0.003379497,0.005173968,0.002768725,0.002272885,0.004320076,0.00609519,0.004231371,0.007165522,0.00296789,0.003810826
103.72,0.00333386,0.004311036,0.003217436,0.003737735,0.002576774,0.00339714,0.004123932,0.002536305,0.004077166,0.003198057,0.004774797,0.004678277,0.003219596,0.002743554,0.004093595,0.002005136,0.001733066,0.003588642,0.004667442,0.003141275,0.005606255,0.002237291,0.003098038
125,0.002386152,0.003051046,0.002230762,0.002499429,0.001924283,0.002658648,0.002791413,0.001723785,0.002760773,0.00215904,0.003452951,0.003326256,0.002274561,0.001981524,0.002897654,0.001376491,0.001199103,0.002666953,0.003302962,0.002109018,0.003850114,0.001550436,0.002180499
144.43,0.002154019,0.00275283,0.001960779,0.002116243,0.001819999,0.002687437,0.002400042,0.00147339,0.002362559,0.001866437,0.003156327,0.003011312,0.002056255,0.001820537,0.002653733,0.001160936,0.001044266,0.002517489,0.002950828,0.001800918,0.003324312,0.001355522,0.002058088
170.44,0.001694223,0.002215518,0.001510201,0.00159537,0.00153421,0.002364945,0.001824426,0.001093881,0.001808902,0.001345645,0.002536341,0.00228777,0.001646365,0.001512464,0.002270405,0.000817502,0.000769826,0.002138572,0.002243331,0.0012835,0.002520794,0.000998372,0.001674582
201.13,0.001240996,0.001696116,0.001083267,0.001141555,0.001227762,0.001971519,0.001313863,0.000758839,0.001288983,0.000909633,0.001916008,0.00167135,0.001259152,0.001213991,0.001906149,0.000559084,0.000551842,0.001730057,0.001617456,0.000870661,0.001797505,0.000701045,0.001344695
237.35,0.000291216,0.00039104,0.000254908,0.000244404,0.000290448,0.000480496,0.000281224,0.000176588,0.000267823,0.000216496,0.000473805,0.000400861,0.000285759,0.000290592,0.000482328,0.000135863,0.000131769,0.00042153,0.000383888,0.000193423,0.000384467,0.000164181,0.000335415
250,0.000692702,0.000930151,0.000606339,0.000581352,0.000690876,0.001142935,0.000668936,0.000420042,0.00063706,0.000514971,0.00112702,0.000953509,0.000679723,0.00069122,0.001147291,0.000323172,0.000313433,0.001002674,0.000913137,0.000460087,0.000914514,0.00039053,0.000797836
280.09,0.000328452,0.000394332,0.000311292,0.00022473,0.000294992,0.000503512,0.000256441,0.000221337,0.000236005,0.000291807,0.000603739,0.000517894,0.000277769,0.000302709,0.000542865,0.000223594,0.000175355,0.000445004,0.000491428,0.00022862,0.00034915,0.00021278,0.000360466
300,0.01772511,0.02537339,0.019654618,0.023545043,0.019013995,0.017906505,0.021995162,0.014738918,0.01835213,0.016896598,0.01853841,0.022435918,0.013789205,0.014026438,0.021055828,0.015755379,0.012508204,0.016989849,0.019004344,0.019039746,0.019177491,0.023114087,0.02082265
330.52,0.034318738,0.049071423,0.03816192,0.045647994,0.036760906,0.034411245,0.042577726,0.028641115,0.035475757,0.03286404,0.035899355,0.043525522,0.026573222,0.027037025,0.040604423,0.030823844,0.024336747,0.032725585,0.036812973,0.036983713,0.036964876,0.044990973,0.040279503
390.04,0.040240023,0.057621179,0.044794023,0.05370565,0.043156512,0.040239819,0.05005231,0.033628124,0.041676425,0.038493595,0.041893216,0.050929652,0.031158362,0.031686823,0.047556322,0.036222556,0.028589773,0.038326115,0.043008423,0.04343799,0.043344481,0.052919767,0.047286607
460.27,0.220465822,0.316927065,0.245462019,0.296615234,0.237472328,0.219583464,0.276217659,0.184285982,0.230004118,0.21044798,0.225951593,0.27721156,0.17107881,0.173683588,0.259352663,0.197318452,0.156648461,0.209072835,0.233809721,0.238979713,0.238498367,0.291380827,0.259519828
1000,0.609983989,0.444825662,0.577018634,0.482791805,0.601234128,0.620234514,0.505705744,0.673050836,0.559781484,0.609968102,0.56785544,0.463801588,0.668142918,0.67849492,0.517265795,0.649138528,0.730318308,0.621551503,0.532379924,0.566978644,0.522679294,0.524607686,0.559507584
5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
