grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
548.6514932,0.096225083,0.102766245,0.10233749,0.079328849,0.105705361,0.048134216,0.098281946,0.097453134,0.068809356,0.082412676,0.064404111,0.078004901,0.106454776,0.08923349,0.06356391,0.091291233,0.09547721,0.083536561,0.098628646,0.09952703,0.089408805,0.105308094,0.068825262,0.071748241,0.068243537,0.048460335,0.077726159,0.043742466,0.057957311,0.073787895,0.054636403,0.060117359,0.044744435,0.061000224,0.076921184,0.054533135,0.056927156,0.067057494,0.063697333,0.043190573,0.061926881,0.049946753,0.05388882,0.076985782
603.9785256,0.103026409,0.108523153,0.108732332,0.084855974,0.112859705,0.056283565,0.104546768,0.10576019,0.077894717,0.090828694,0.072483025,0.087751377,0.114103515,0.094840529,0.072927184,0.099829088,0.100998269,0.08818679,0.104698765,0.104375362,0.095540676,0.112090832,0.072730727,0.074947845,0.071315993,0.050383006,0.082374274,0.050869233,0.059908634,0.079329172,0.060611476,0.064713385,0.048121379,0.067251748,0.081577196,0.056495713,0.065396499,0.072135774,0.066240581,0.044194236,0.064321902,0.050918428,0.055926788,0.081130209
664.8848385,0.101691144,0.105068438,0.10602035,0.083545338,0.110827685,0.062065294,0.102172618,0.106294032,0.082632675,0.093216551,0.076328073,0.092353701,0.112632787,0.092599193,0.078683982,0.101336121,0.098114522,0.085204583,0.101964773,0.099844511,0.09392494,0.109861966,0.072833473,0.07400878,0.070812564,0.050353192,0.082217525,0.056636186,0.059600874,0.080740069,0.064652162,0.066775373,0.050259469,0.071167352,0.081763727,0.056152837,0.071478481,0.073956121,0.065544691,0.043829846,0.063866871,0.050320511,0.055830843,0.080716139
731.9330567,0.093238996,0.093585254,0.095361684,0.07625719,0.100769038,0.06568462,0.092256778,0.100002206,0.083487441,0.090281581,0.076402806,0.092376129,0.103185927,0.083507476,0.081192021,0.096654307,0.087901043,0.075572729,0.091549876,0.087155195,0.085538277,0.099761318,0.069094097,0.069038934,0.066782039,0.048364272,0.077262631,0.060731373,0.057056444,0.077809237,0.066405427,0.06606154,0.050988198,0.07237589,0.077437571,0.053530288,0.074831203,0.072281544,0.061671709,0.042126504,0.060603769,0.048202613,0.053601305,0.075766288
805.7425413,0.078689672,0.075256755,0.077916472,0.063851779,0.083843503,0.067346759,0.07589653,0.087832263,0.080923229,0.082729115,0.073170774,0.088382917,0.086906274,0.068563367,0.080809022,0.08662562,0.071432904,0.060274012,0.07457728,0.067528135,0.071357371,0.082928709,0.062045629,0.060777802,0.059779984,0.044633453,0.068288288,0.063056145,0.052544681,0.070957953,0.065748613,0.062653269,0.050251341,0.070793404,0.069250282,0.048925862,0.075445745,0.067332999,0.055134931,0.039234572,0.054934712,0.044750646,0.049477744,0.067021293
886.9951111,0.05906288,0.051266095,0.054844856,0.047189354,0.061210815,0.067256928,0.054189157,0.070731749,0.075404251,0.071264486,0.06709553,0.08093832,0.064937164,0.048764859,0.077892701,0.072092034,0.049785178,0.040291219,0.052170192,0.04218405,0.052358901,0.060503962,0.05267306,0.050421215,0.050746082,0.039562615,0.056658682,0.063665885,0.046535255,0.061143953,0.062786774,0.056937267,0.048112958,0.066617007,0.058394996,0.042853975,0.073527851,0.059740254,0.046787547,0.035403794,0.047541662,0.040259929,0.04389686,0.055766301
976.4413404,0.035378327,0.022796427,0.027306976,0.027130164,0.034030714,0.065620344,0.028231941,0.049648214,0.067394719,0.056593025,0.058640624,0.070606594,0.038421934,0.025109944,0.072800778,0.053895522,0.024032938,0.016607136,0.025451818,0.012343662,0.02951955,0.033626898,0.042200127,0.039347087,0.040803003,0.033667704,0.04401258,0.06270655,0.039618316,0.049667251,0.057823645,0.049537751,0.044748041,0.06028375,0.046341029,0.035951958,0.069394217,0.050420564,0.037642411,0.030947791,0.039253784,0.035093557,0.037417126,0.043540619
1074.907493,0.00865572,0,0,0.004534457,0.003462935,0.062642223,0,0.025529205,0.057358847,0.039420066,0.048269607,0.057951994,0.00850392,0,0.06589097,0.032878059,0,0,0,0,0.003815999,0.003437341,0.031839102,0.028822227,0.031032948,0.027493353,0.031907036,0.060368425,0.032409869,0.037916538,0.051317017,0.041213088,0.040419746,0.052406357,0.03452578,0.028871069,0.063409534,0.040412033,0.028672913,0.026201875,0.030897001,0.029634125,0.030627792,0.031807261
1183.303155,0,0,0,0,0,0.058527782,0,0,0.045760847,0.020450941,0.036446031,0.043538775,0,0,0.057520997,0.009881618,0,0,0,0,0,0,0.022567971,0.01977247,0.022290773,0.021531778,0.021511636,0.056859911,0.025463094,0.027108389,0.043824798,0.032736638,0.035447077,0.043694132,0.024084216,0.022177498,0.055966433,0.030695967,0.020647121,0.021481988,0.023162496,0.024237682,0.024062372,0.021671979
1302.629636,0,0,0,0,0,0.053482237,0,0,0.033064931,0.000390981,0.023633446,0.027931194,0,0,0.048048576,0,0,0,0,0,0,0,0.01499061,0.012673073,0.015096919,0.01616214,0.013439579,0.052395509,0.019202847,0.018083134,0.035944076,0.024784314,0.030168066,0.03486534,0.015685582,0.016283568,0.047498737,0.022045765,0.014033082,0.017051629,0.016522132,0.019197427,0.01813374,0.013728148
