Time,DifL,Dif,DifI
2023-09-10 11:00:00,,1.758976706872696e-06,7.71619230240419e-08
2023-09-10 11:15:00,,1.7653083754737335e-06,7.680151782099921e-08
2023-09-10 11:30:00,,1.7704385907555081e-06,7.637491669655692e-08
2023-09-10 11:45:00,,1.7746033083176285e-06,7.590125557963277e-08
2023-09-10 12:00:00,,1.7778304183359421e-06,7.538835101247455e-08
2023-09-10 12:15:00,,1.780014941826815e-06,7.483311090130667e-08
2023-09-10 12:30:00,,1.7809633601757969e-06,7.422824834931682e-08
2023-09-10 12:45:00,,1.7808466875041314e-06,7.358040683637724e-08
2023-09-10 13:00:00,,1.7800834481885089e-06,7.291347635886886e-08
2023-09-10 13:15:00,,1.7791766211685077e-06,7.2262874508384e-08
2023-09-10 13:30:00,,1.7788451736036953e-06,7.167334782563274e-08
2023-09-10 13:45:00,,1.7796051758060185e-06,7.117676561870869e-08
2023-09-10 14:00:00,,1.7813219952953746e-06,7.077097344450465e-08
2023-09-10 14:15:00,,1.7836287111428742e-06,7.043667910071108e-08
2023-09-10 14:30:00,,1.7859847728597998e-06,7.014408545998651e-08
2023-09-10 14:45:00,,1.787936089861977e-06,6.986760712398387e-08
2023-09-10 15:00:00,,1.789226602395876e-06,6.959246135301024e-08
2023-09-10 15:15:00,,1.7897969514840544e-06,6.931451939793269e-08
2023-09-10 15:30:00,,1.7897216416146414e-06,6.9036562640705e-08
2023-09-10 15:45:00,,1.7892749128399359e-06,6.877247947434382e-08
2023-09-10 16:00:00,,1.7889355744262e-06,6.854614220102761e-08
2023-09-10 16:15:00,,1.7893115046384782e-06,6.838627100599803e-08
2023-09-10 16:30:00,,1.79116073170555e-06,6.832638132028397e-08
2023-09-10 16:45:00,,1.7951014094428997e-06,6.838795095932622e-08
2023-09-10 17:00:00,,1.8013104059549388e-06,6.856580118327816e-08
2023-09-10 17:15:00,,1.809359374544375e-06,6.882241674704392e-08
2023-09-10 17:30:00,,1.818432266304937e-06,6.910433715266644e-08
2023-09-10 17:45:00,,1.8276910001899823e-06,6.936276987984858e-08
2023-09-10 18:00:00,,1.8364464251311657e-06,6.956113305304845e-08
2023-09-10 18:15:00,,1.8443005739409684e-06,6.967889917149956e-08
2023-09-10 18:30:00,,1.8510669580697118e-06,6.970571139371109e-08
2023-09-10 18:45:00,,1.8567114488200469e-06,6.963760978321258e-08
2023-09-10 19:00:00,,1.8612856795516534e-06,6.94735433462485e-08
2023-09-10 19:15:00,,1.8648872016355665e-06,6.921290391150136e-08
2023-09-10 19:30:00,,1.8676218491909228e-06,6.885614154340082e-08
2023-09-10 19:45:00,,1.8695899812311176e-06,6.840511007116972e-08
2023-09-10 20:00:00,,1.8708934338878612e-06,6.786299942866919e-08
2023-09-10 20:15:00,,1.8716033587845921e-06,6.723820468867103e-08
2023-09-10 20:30:00,,1.8717904295017147e-06,6.654054500202656e-08
2023-09-10 20:45:00,,1.8715057653198507e-06,6.578518559622204e-08
2023-09-10 21:00:00,,1.8707962772460295e-06,6.498901867633847e-08
2023-09-10 21:15:00,,1.8697100684568813e-06,6.417032506373809e-08
2023-09-10 21:30:00,,1.868296356050776e-06,6.334599657932134e-08
2023-09-10 21:45:00,,1.8666193575396242e-06,6.253196133436433e-08
2023-09-10 22:00:00,,1.864738354998855e-06,6.174006664394977e-08
2023-09-10 22:15:00,,1.8627171487827348e-06,6.097876235644894e-08
2023-09-10 22:30:00,,1.8606037230598042e-06,6.02521578383631e-08
