Time,Turbidity,fDOM,P2 (depth),P3(depth),avg depth,q
8/3/2022 22:00,5.31,56.79,0.13490658,0.258479802,0.196693191,1.337867922
8/3/2022 22:15,5.33,56.25,0.136067518,0.257898684,0.196983101,1.435830093
8/3/2022 22:30,5.19,55.53,0.136067048,0.260231121,0.198149085,1.435789192
8/3/2022 22:45,5.37,54.98,0.137818816,0.260230773,0.199024795,1.5955386
8/3/2022 23:00,5.01,55.08,0.137818658,0.259640059,0.198729359,1.595523515
8/3/2022 23:15,5,54.62,0.139570577,0.261392028,0.200481302,1.770700353
8/3/2022 23:30,4.81,54.21,0.137237645,0.259649654,0.19844365,1.540891096
8/3/2022 23:45,4.73,53.67,0.137817846,0.256725809,0.197271827,1.595445991
8/4/2022 0:00,4.8,53.02,0.137817446,0.258477434,0.19814744,1.595407803
8/4/2022 0:15,4.71,52.39,0.137817046,0.257896374,0.19785671,1.595369615
8/4/2022 0:30,4.58,51.84,0.137235893,0.257896043,0.197565968,1.540728875
8/4/2022 0:45,4.52,51.52,0.139568153,0.256724339,0.198146246,1.770446751
8/4/2022 1:00,4.52,50.96,0.136063756,0.256724016,0.196393886,1.435502737
8/4/2022 1:15,4.43,50.64,0.136063439,0.254971736,0.195517587,1.435475156
8/4/2022 1:30,4.47,50.15,0.136063204,0.253219485,0.194641344,1.43545471
8/4/2022 1:45,4.4,49.64,0.134891734,0.253800021,0.194345877,1.336654219
8/4/2022 2:00,4.34,49.19,0.13255889,0.254971236,0.193765063,1.157539592
8/4/2022 2:15,4.24,48.83,0.137814536,0.256723036,0.197268786,1.595130008
8/4/2022 2:30,4.26,48.5,0.137233564,0.256142116,0.19668784,1.540513251
8/4/2022 2:45,4.23,48.19,0.136061958,0.254970548,0.195516253,1.435346305
8/4/2022 3:00,4.34,47.81,0.13606164,0.256722184,0.196391912,1.43531864
8/4/2022 3:15,4.24,47.46,0.139564993,0.259645105,0.199605049,1.770116196
8/4/2022 3:30,4.27,47.11,0.137222041,0.257882818,0.19755243,1.539446815
8/4/2022 3:45,4.16,46.86,0.138973446,0.257882416,0.198427931,1.709183803
8/4/2022 4:00,4.1,46.53,0.140724898,0.259633876,0.200179387,1.895156847
8/4/2022 4:15,4.07,46.26,0.137220673,0.254377864,0.195799269,1.539320252
8/4/2022 4:30,4.15,46.01,0.140723803,0.257881242,0.199302522,1.895035236
8/4/2022 4:45,4.14,45.65,0.140142688,0.262555804,0.201349246,1.831455795
8/4/2022 5:00,4.04,45.48,0.138980983,0.257299827,0.198140405,1.709948407
8/4/2022 5:15,3.98,45.23,0.140732361,0.259051333,0.199891847,1.895985871
8/4/2022 5:30,4.15,45,0.140731852,0.257879705,0.199305779,1.895929319
8/4/2022 5:45,3.99,44.7,0.138979746,0.257879434,0.19842959,1.709822897
8/4/2022 6:00,4.03,44.53,0.138969489,0.256127364,0.197548426,1.708782498
8/4/2022 6:15,3.98,44.3,0.138969155,0.256127171,0.197548163,1.708748629
8/4/2022 6:30,4,44.2,0.138968821,0.257878701,0.198423761,1.70871476
8/4/2022 6:45,3.94,44,0.140720313,0.25787843,0.199299372,1.894647682
8/4/2022 7:00,3.92,43.84,0.137216677,0.2578783,0.197547489,1.538950607
8/4/2022 7:15,3.93,43.62,0.137807178,0.257888239,0.197847709,1.594427789
8/4/2022 7:30,3.88,43.64,0.137807262,0.25788831,0.197847786,1.594435804
8/4/2022 7:45,3.89,43.54,0.138978583,0.256136668,0.197557626,1.709704902
8/4/2022 8:00,3.87,43.41,0.136055845,0.256717383,0.196386614,1.434814565
8/4/2022 8:15,3.81,43.21,0.13605615,0.256717579,0.196386865,1.434841091
8/4/2022 8:30,3.81,43.07,0.136056468,0.254956105,0.195506286,1.434868749
8/4/2022 8:45,3.8,42.93,0.136056938,0.254956416,0.195506677,1.434909627
8/4/2022 9:00,3.72,42.8,0.13664793,0.253795465,0.195221698,1.487128198
8/4/2022 9:15,3.75,42.69,0.137809445,0.253795769,0.195802607,1.594644114
8/4/2022 9:30,3.74,42.51,0.133145239,0.252044405,0.192594822,1.200448579
8/4/2022 9:45,3.77,42.36,0.13022298,0.249121925,0.189672452,0.999675102
8/4/2022 10:00,3.71,42.09,0.130223885,0.249122581,0.189673233,0.999732398
