SM23T01,SM23T02,SM23T03,SM23T04,SM23T05,SM23T06,SM23T07,SM23T08,SM23T09,SM23T10,SM23T11,SM23T12,SM23T13,SM23T14,SM23T15,SM23T16,SM23T17,SM23T18,SM23T19,SM23T20,SM23T21,SM23T22,SM23T23,SM23T24,SM23T25,SM23T26,SM23T27,SM23T28,SM23T29,SM23T30,SM23T31,SM23T32,SM23T33,SM23T34,SM23T35,SM23T36,SM23T37,SM23T38,SM23T39,SM23T40,SM23T41,SM23T42,SM23T43,SM23T44,SM23T45,SM23T46,SM23T47,SM23T48,SM23T49,SM23T50,SM23T51,SM23T52
22.983,22.392,15.666,16.406,19.566,16.194,8.15,16.794,12.618,8.002,13.53,8.554,13.187,15.383,14.768,13.721,22.073,6.271,16.452,9.91,18.526,17.209,18.886,8.013,7.835,7.989,5.845,5.686,5.985,7.995,8.49,7.966,13.044,12.951,13.303,6.969,4.798,6.303,4.951,5.251,4.829,14.128,11.318,11.784,14.778,11.625,13.922,11.057,11.407,9.38,10.189,10.25
47.008,47.01,34.868,36.331,40.748,35.581,17.77,36.328,28.744,18.159,30.754,18.786,29.517,33.888,32.333,31.026,45.541,14.774,35.387,25.625,43.523,40.005,41.104,18.097,17.473,17.866,13.295,12.943,13.729,17.294,18.354,17.219,29.515,29.027,29.747,18.432,11.055,15.789,11.534,12.381,11.205,33.734,26.732,28.054,34.767,27.502,40.698,32.147,33.148,26.497,28.876,28.901
58.286,58.924,43.788,45.493,50.442,44.561,22.357,45.538,35.838,23.997,38.812,23.65,36.651,42.283,40.485,38.927,57.78,19.55,44.525,39.47,60.158,52.588,53.054,22.838,21.967,22.492,17.058,16.534,17.599,21.582,23.172,21.475,37.157,36.375,37.086,27.746,14.41,22.106,15.113,16.377,14.64,44.441,33.835,35.587,45.436,34.798,57.75,43.752,45.432,35.217,38.514,38.178
83.136,86.47,61.454,63.208,70.373,62.697,32.132,65.293,49.945,43.638,56.158,34.049,50.582,59.804,58.296,55.148,89.245,30.207,65.708,311.779,157.541,93.17,88.092,32.326,30.998,31.868,24.767,23.379,25.403,30.441,33.976,30.062,52.431,50.85,51.211,289.691,21.197,46.114,22.478,25.624,21.588,75.768,48.124,50.646,74.81,49.232,142.888,71.511,77.086,52.096,57.797,56.212
112.259,122.83,78.429,79.791,90.224,80.901,43.066,87.492,63.138,292.705,74.917,45.312,63.539,78.474,78.807,72.197,135.931,41.109,94.475,371.777,327.337,195.976,159.152,41.747,39.658,41.091,32.416,29.949,33.026,39.428,46.424,38.269,67.454,64.618,64.229,374.704,27.718,255.673,29.92,37.267,28.258,170.271,61.806,65.163,145.658,62.659,354.931,117.029,149.069,67.541,76.287,72.709
151.999,177.592,97.823,98.194,114.532,102.013,57.61,120.83,78.427,376.427,101.877,60.694,77.903,102.112,108.655,94.425,208.33,53.051,147.826,408.183,387.682,329.115,267.355,51.994,49.29,51.166,41.283,37.032,41.701,50.297,63.322,47.725,84.364,80.165,78.437,411.822,35.33,365.756,38.281,56.262,35.809,328.385,77.39,81.851,308.083,77.601,422.772,237.976,349.612,84.004,99.043,91.309
236.972,287.706,131.062,130.416,156.824,141.452,91.274,200.747,103.538,427.961,172.275,97.557,99.571,152.266,187.948,141.151,316.528,72.377,296.453,441.477,442.387,405.709,378.097,68.324,64.057,67.333,54.672,48.148,54.651,69.714,98.237,62.494,114.412,105.864,101.3,442.943,47.21,419.029,51.714,284.468,47.41,411.228,103.898,112.029,413.458,102.067,477.424,384.115,450.345,112.11,142.456,123.66
7.676,8.298,8.411,8.633,8.356,8.554,7.002,8.676,8.638,7.618,8.907,7.398,8.924,9.16,8.898,8.816,8.562,7.557,8.418,11.005,10.833,10.155,9.67,7.443,7.253,7.349,6.984,6.882,7.07,6.892,7.036,6.846,8.696,8.508,8.452,10.12,6.715,8.677,6.917,7.197,6.773,9.864,9.033,9.205,9.752,9.091,13.979,12.371,12.583,10.971,11.435,11.289
0.174,0.177,0.217,0.218,0.201,0.219,0.336,0.22,0.258,0.328,0.245,0.333,0.262,0.239,0.241,0.245,0.184,0.398,0.216,0.278,0.198,0.21,0.208,0.344,0.351,0.346,0.426,0.435,0.418,0.344,0.327,0.344,0.253,0.253,0.249,0.351,0.486,0.386,0.474,0.45,0.482,0.235,0.277,0.27,0.23,0.272,0.236,0.273,0.268,0.304,0.29,0.289
104.889,124.179,127.443,129.481,92.849,126.105,91.376,130.399,133.269,82.801,118.566,77.826,91.712,93.785,99.285,106.2,67.721,76.185,133.662,62.06,85.349,88.567,74.889,102.273,98.571,101.712,80.134,79.416,83.013,101.074,101.106,102.298,134.366,124.452,122.799,61.822,61.018,63.101,62.529,60.711,60.272,114.956,114.577,117.373,120.554,118.935,85.402,84.852,84.608,86.227,87.477,90.049
0.709,0.698,0.824,0.817,0.774,0.815,0.934,0.796,0.889,0.802,0.839,0.928,0.889,0.826,0.827,0.849,0.695,0.954,0.788,0.669,0.652,0.704,0.71,0.962,0.969,0.964,0.982,0.99,0.982,0.958,0.923,0.97,0.871,0.883,0.888,0.716,0.989,0.799,0.984,0.923,0.99,0.747,0.892,0.879,0.749,0.891,0.663,0.761,0.743,0.871,0.834,0.848
0.207,0.264,0.231,0.267,0.197,0.253,0.235,0.288,0.271,0.237,0.234,0.212,0.224,0.223,0.23,0.213,0.14,0.229,0.274,0.186,0.183,0.186,0.18,0.281,0.267,0.274,0.247,0.247,0.25,0.259,0.262,0.256,0.275,0.247,0.241,0.217,0.213,0.219,0.215,0.209,0.207,0.256,0.251,0.259,0.274,0.258,0.232,0.23,0.229,0.207,0.216,0.211
0.214,0.269,0.242,0.277,0.204,0.265,0.249,0.301,0.288,0.253,0.251,0.223,0.234,0.233,0.242,0.226,0.146,0.244,0.287,0.198,0.194,0.198,0.189,0.294,0.281,0.288,0.266,0.265,0.268,0.273,0.275,0.272,0.292,0.263,0.256,0.234,0.23,0.236,0.232,0.226,0.224,0.273,0.267,0.276,0.289,0.275,0.244,0.243,0.242,0.224,0.232,0.227
0.224,0.276,0.259,0.292,0.214,0.282,0.27,0.321,0.314,0.277,0.276,0.241,0.249,0.247,0.259,0.247,0.156,0.268,0.306,0.218,0.212,0.216,0.201,0.314,0.303,0.311,0.294,0.294,0.296,0.295,0.296,0.295,0.319,0.288,0.279,0.261,0.257,0.263,0.259,0.252,0.25,0.298,0.293,0.302,0.313,0.301,0.262,0.262,0.261,0.249,0.256,0.253
0.239,0.286,0.282,0.313,0.229,0.307,0.3,0.349,0.352,0.313,0.313,0.267,0.271,0.268,0.284,0.278,0.17,0.303,0.333,0.247,0.238,0.243,0.219,0.342,0.335,0.343,0.336,0.337,0.338,0.327,0.326,0.329,0.357,0.325,0.313,0.301,0.298,0.304,0.3,0.292,0.29,0.335,0.329,0.339,0.347,0.339,0.288,0.289,0.29,0.287,0.292,0.291
0.26,0.303,0.314,0.341,0.249,0.341,0.339,0.386,0.401,0.361,0.362,0.301,0.3,0.297,0.317,0.318,0.189,0.349,0.369,0.286,0.274,0.279,0.243,0.381,0.377,0.386,0.391,0.394,0.393,0.37,0.365,0.373,0.407,0.372,0.357,0.356,0.352,0.358,0.355,0.346,0.343,0.383,0.377,0.389,0.393,0.389,0.326,0.327,0.329,0.338,0.341,0.342
0.293,0.337,0.36,0.386,0.282,0.391,0.392,0.438,0.466,0.423,0.422,0.348,0.342,0.339,0.363,0.371,0.217,0.409,0.422,0.337,0.321,0.326,0.279,0.437,0.435,0.445,0.461,0.465,0.464,0.429,0.419,0.432,0.472,0.433,0.415,0.423,0.42,0.425,0.423,0.412,0.409,0.446,0.44,0.453,0.455,0.452,0.382,0.382,0.385,0.4,0.402,0.405
0.358,0.419,0.447,0.474,0.348,0.481,0.481,0.533,0.571,0.521,0.515,0.427,0.419,0.417,0.445,0.454,0.265,0.504,0.52,0.415,0.395,0.402,0.342,0.54,0.534,0.548,0.565,0.569,0.57,0.528,0.514,0.53,0.577,0.528,0.508,0.52,0.517,0.523,0.52,0.507,0.503,0.547,0.54,0.553,0.56,0.554,0.481,0.478,0.481,0.491,0.496,0.497
0.494,0.589,0.63,0.664,0.482,0.666,0.667,0.732,0.789,0.718,0.708,0.586,0.575,0.574,0.611,0.626,0.364,0.7,0.723,0.571,0.545,0.553,0.47,0.753,0.741,0.759,0.777,0.782,0.786,0.735,0.715,0.734,0.796,0.728,0.7,0.714,0.709,0.717,0.711,0.696,0.691,0.756,0.746,0.762,0.774,0.764,0.684,0.676,0.68,0.676,0.685,0.686
0.699,0.846,0.928,0.964,0.685,0.96,0.97,1.045,1.151,1.045,1.034,0.841,0.818,0.816,0.875,0.91,0.518,1.025,1.045,0.827,0.79,0.802,0.668,1.092,1.071,1.097,1.133,1.139,1.144,1.067,1.039,1.065,1.154,1.058,1.014,1.04,1.034,1.044,1.036,1.016,1.011,1.1,1.087,1.107,1.118,1.114,1.004,0.997,1.003,0.992,1.002,1.006
0.845,1.051,1.166,1.195,0.834,1.186,1.203,1.275,1.428,1.299,1.284,1.031,0.996,0.994,1.067,1.128,0.629,1.278,1.291,1.021,0.977,0.993,0.812,1.359,1.322,1.357,1.405,1.415,1.419,1.324,1.292,1.319,1.427,1.306,1.252,1.291,1.283,1.294,1.285,1.263,1.258,1.363,1.351,1.367,1.381,1.38,1.252,1.254,1.258,1.237,1.243,1.253
0.959,1.226,1.371,1.39,0.95,1.369,1.394,1.452,1.647,1.502,1.482,1.177,1.133,1.129,1.212,1.298,0.714,1.484,1.489,1.169,1.121,1.14,0.921,1.583,1.531,1.571,1.626,1.638,1.642,1.541,1.509,1.531,1.644,1.505,1.441,1.489,1.48,1.49,1.481,1.457,1.454,1.574,1.562,1.571,1.59,1.59,1.453,1.461,1.461,1.428,1.432,1.446
1.063,1.379,1.566,1.573,1.053,1.541,1.582,1.614,1.857,1.705,1.68,1.319,1.252,1.251,1.343,1.461,0.797,1.689,1.676,1.319,1.261,1.286,1.019,1.797,1.728,1.773,1.837,1.851,1.856,1.748,1.714,1.737,1.849,1.692,1.619,1.682,1.669,1.676,1.671,1.645,1.644,1.769,1.762,1.758,1.781,1.784,1.628,1.646,1.643,1.609,1.606,1.629
1.139,1.495,1.719,1.712,1.129,1.678,1.739,1.735,2.015,1.869,1.829,1.431,1.338,1.333,1.433,1.581,0.852,1.85,1.817,1.433,1.356,1.384,1.083,1.974,1.896,1.944,2.011,2.026,2.037,1.928,1.893,1.917,2.012,1.837,1.759,1.838,1.825,1.828,1.823,1.797,1.8,1.922,1.916,1.904,1.93,1.936,1.752,1.787,1.78,1.746,1.737,1.765
1.214,1.595,1.85,1.833,1.197,1.797,1.892,1.839,2.148,2.032,1.952,1.543,1.411,1.405,1.51,1.687,0.901,1.998,1.941,1.544,1.439,1.472,1.133,2.132,2.049,2.097,2.161,2.178,2.192,2.086,2.055,2.083,2.146,1.951,1.872,1.971,1.957,1.956,1.955,1.925,1.929,2.041,2.038,2.021,2.052,2.053,1.843,1.877,1.871,1.849,1.836,1.868
1.309,1.711,2.014,1.98,1.283,1.948,2.098,1.971,2.32,2.251,2.097,1.695,1.506,1.494,1.61,1.822,0.953,2.194,2.096,1.692,1.534,1.569,1.19,2.33,2.259,2.305,2.364,2.386,2.407,2.305,2.271,2.311,2.317,2.102,2.015,2.146,2.137,2.133,2.129,2.1,2.1,2.191,2.183,2.176,2.206,2.205,1.964,1.993,1.989,1.978,1.967,1.994
1.447,1.87,2.239,2.18,1.402,2.15,2.393,2.157,2.555,2.57,2.291,1.918,1.639,1.625,1.756,2.009,1.024,2.471,2.312,1.905,1.668,1.709,1.27,2.608,2.557,2.597,2.648,2.678,2.706,2.616,2.578,2.636,2.546,2.312,2.213,2.388,2.383,2.378,2.367,2.338,2.329,2.395,2.377,2.39,2.416,2.413,2.131,2.148,2.149,2.147,2.14,2.16
1.608,2.05,2.489,2.403,1.531,2.374,2.754,2.375,2.821,2.963,2.509,2.191,1.79,1.774,1.924,2.215,1.103,2.799,2.555,2.159,1.818,1.868,1.361,2.946,2.911,2.947,2.987,3.02,3.052,3.0,2.956,3.03,2.801,2.554,2.445,2.664,2.656,2.659,2.635,2.6,2.583,2.623,2.59,2.623,2.648,2.643,2.297,2.309,2.314,2.317,2.315,2.331
1.797,2.268,2.767,2.664,1.679,2.626,3.178,2.642,3.124,3.421,2.771,2.517,1.973,1.95,2.126,2.44,1.203,3.158,2.838,2.44,1.993,2.057,1.481,3.36,3.327,3.365,3.388,3.409,3.442,3.471,3.42,3.498,3.101,2.845,2.735,2.967,2.94,2.965,2.926,2.88,2.857,2.899,2.849,2.888,2.919,2.914,2.464,2.486,2.489,2.497,2.495,2.514
2.017,2.523,3.067,2.966,1.857,2.914,3.644,2.955,3.456,3.909,3.069,2.893,2.199,2.152,2.358,2.682,1.319,3.498,3.162,2.727,2.185,2.26,1.629,3.833,3.788,3.836,3.819,3.813,3.846,4.002,3.953,4.018,3.451,3.181,3.07,3.258,3.21,3.255,3.208,3.157,3.125,3.22,3.157,3.19,3.237,3.226,2.644,2.674,2.675,2.682,2.682,2.7
2.27,2.807,3.42,3.325,2.079,3.265,4.197,3.318,3.839,4.463,3.407,3.355,2.481,2.379,2.634,2.972,1.453,3.841,3.541,3.054,2.396,2.471,1.806,4.374,4.337,4.396,4.288,4.265,4.296,4.624,4.584,4.641,3.867,3.576,3.454,3.543,3.489,3.537,3.491,3.449,3.4,3.595,3.524,3.565,3.614,3.599,2.852,2.872,2.876,2.888,2.893,2.9
2.576,3.165,3.856,3.759,2.36,3.701,4.824,3.759,4.312,5.033,3.815,3.883,2.841,2.666,2.996,3.336,1.651,4.17,3.991,3.41,2.655,2.728,2.061,4.985,4.972,5.045,4.753,4.736,4.766,5.339,5.302,5.36,4.373,4.073,3.926,3.778,3.738,3.776,3.728,3.69,3.639,4.054,3.971,4.028,4.059,4.068,3.09,3.092,3.095,3.124,3.12,3.132
2.978,3.625,4.4,4.29,2.729,4.238,5.47,4.312,4.914,5.498,4.351,4.445,3.29,3.06,3.465,3.808,1.917,4.4,4.583,3.741,3.017,3.072,2.399,5.645,5.639,5.731,5.137,5.146,5.191,6.085,6.039,6.112,5.029,4.714,4.522,3.9,3.901,3.925,3.881,3.831,3.797,4.621,4.532,4.586,4.615,4.651,3.355,3.349,3.367,3.403,3.382,3.408
3.581,4.291,5.204,5.07,3.296,5.043,6.269,5.154,5.849,5.996,5.189,5.153,3.953,3.688,4.186,4.548,2.332,4.658,5.513,4.143,3.582,3.598,2.895,6.49,6.469,6.596,5.517,5.6,5.656,7.019,6.915,7.03,6.023,5.638,5.383,3.987,4.04,4.042,4.039,3.954,3.946,5.402,5.371,5.383,5.435,5.482,3.759,3.743,3.779,3.803,3.794,3.812
4.368,5.164,6.191,6.023,4.021,6.059,6.893,6.255,7.046,6.258,6.256,5.75,4.78,4.516,5.134,5.474,2.922,4.773,6.678,4.439,4.316,4.279,3.557,7.236,7.168,7.337,5.632,5.829,5.887,7.76,7.579,7.763,7.219,6.745,6.431,3.9,3.997,3.961,4.04,3.887,3.935,6.319,6.394,6.316,6.411,6.471,4.226,4.201,4.23,4.246,4.263,4.293
5.369,6.299,7.367,7.19,4.948,7.272,7.199,7.59,8.472,6.157,7.517,6.117,5.746,5.567,6.277,6.59,3.678,4.732,8.148,4.53,5.218,5.146,4.363,7.77,7.594,7.795,5.442,5.692,5.808,8.095,7.883,8.145,8.563,7.993,7.628,3.634,3.752,3.692,3.834,3.629,3.733,7.34,7.495,7.348,7.532,7.553,4.725,4.693,4.722,4.748,4.779,4.859
6.459,7.61,8.565,8.459,5.993,8.508,6.941,8.997,9.823,5.585,8.681,6.029,6.684,6.631,7.353,7.665,4.542,4.526,9.667,4.275,6.062,6.085,5.253,7.782,7.481,7.71,4.906,5.091,5.303,7.762,7.582,7.888,9.739,9.077,8.774,3.209,3.258,3.252,3.391,3.172,3.284,8.211,8.387,8.256,8.578,8.47,5.17,5.12,5.129,5.215,5.248,5.407
7.803,9.255,9.848,9.899,7.193,9.866,6.294,10.467,11.008,4.772,9.709,5.645,7.599,7.674,8.343,8.659,5.437,4.272,11.145,3.808,6.844,7.044,6.139,7.38,6.997,7.238,4.261,4.298,4.631,7.007,6.908,7.225,10.779,10.056,9.938,2.759,2.71,2.812,2.895,2.693,2.769,8.996,9.076,9.109,9.542,9.279,5.658,5.573,5.565,5.725,5.779,6.029
9.18,10.861,10.863,11.072,8.304,10.949,5.337,11.585,11.576,3.803,10.18,4.888,8.123,8.389,8.865,9.245,6.183,3.871,12.105,3.161,7.316,7.643,6.748,6.513,6.117,6.385,3.543,3.405,3.857,5.914,5.925,6.158,11.333,10.628,10.696,2.269,2.166,2.38,2.387,2.22,2.236,9.334,9.314,9.597,10.012,9.71,6.04,5.917,5.892,6.126,6.206,6.529
10.489,12.224,11.518,11.856,9.127,11.61,4.312,12.152,11.423,2.881,10.042,3.995,8.127,8.622,8.818,9.301,6.713,3.391,12.302,2.492,7.349,7.748,6.984,5.46,5.064,5.38,2.866,2.584,3.127,4.765,4.899,4.99,11.406,10.689,10.872,1.811,1.684,1.996,1.931,1.8,1.745,9.163,9.108,9.575,9.931,9.705,6.249,6.121,6.061,6.353,6.48,6.843
11.389,13.132,11.649,12.229,9.486,11.643,3.393,12.028,10.622,2.136,9.393,3.182,7.609,8.38,8.286,8.803,6.892,2.938,11.791,1.916,6.969,7.508,6.763,4.421,3.989,4.299,2.245,1.856,2.424,3.695,3.971,3.854,10.774,10.009,10.323,1.418,1.252,1.648,1.504,1.417,1.298,8.428,8.354,8.99,9.312,9.063,6.178,6.055,5.975,6.295,6.505,6.9
11.391,12.921,10.906,11.726,9.133,10.815,2.556,10.975,9.088,1.507,8.169,2.412,6.502,7.455,7.126,7.595,6.527,2.351,10.285,1.392,6.091,6.698,6.042,3.364,2.932,3.21,1.653,1.232,1.749,2.71,3.129,2.785,9.425,8.618,8.961,1.063,0.873,1.313,1.104,1.063,0.898,7.182,7.132,7.803,8.091,7.821,5.694,5.584,5.492,5.812,6.108,6.489
10.649,12.069,9.711,10.71,8.378,9.605,1.911,9.4,7.322,1.041,6.777,1.811,5.309,6.237,5.839,6.236,5.815,1.812,8.456,1.002,5.028,5.608,5.189,2.496,2.101,2.348,1.177,0.779,1.21,1.994,2.537,1.982,7.897,7.11,7.387,0.79,0.585,1.044,0.772,0.789,0.585,5.921,5.802,6.488,6.737,6.475,5.072,5.013,4.897,5.134,5.547,5.871
9.137,10.267,7.848,8.771,7.044,7.787,1.355,7.483,5.422,0.697,5.216,1.268,4.026,4.919,4.532,4.77,4.929,1.282,6.628,0.73,3.994,4.53,4.224,1.673,1.348,1.544,0.72,0.429,0.725,1.349,1.961,1.269,6.025,5.299,5.414,0.534,0.339,0.754,0.472,0.525,0.326,4.498,4.322,4.866,5.203,4.804,4.036,4.01,3.879,4.005,4.48,4.708
7.463,8.333,5.999,6.554,5.585,5.987,0.954,5.723,3.807,0.47,3.869,0.861,2.949,3.801,3.495,3.602,4.128,0.884,5.144,0.571,3.182,3.609,3.424,1.041,0.818,0.973,0.396,0.217,0.403,0.908,1.534,0.782,4.42,3.785,3.726,0.352,0.18,0.539,0.263,0.34,0.163,3.352,3.078,3.472,3.914,3.389,3.077,3.089,2.947,2.915,3.415,3.518
5.822,6.552,4.315,4.533,4.169,4.334,0.677,4.235,2.517,0.342,2.774,0.594,1.957,2.761,2.566,2.578,3.279,0.586,3.876,0.474,2.507,2.849,2.71,0.594,0.465,0.576,0.196,0.099,0.202,0.601,1.196,0.458,3.048,2.547,2.415,0.251,0.088,0.402,0.133,0.222,0.074,2.522,2.074,2.384,2.952,2.25,2.31,2.337,2.188,2.007,2.513,2.49
4.709,5.43,3.139,3.196,3.183,3.209,0.538,3.316,1.742,0.309,2.149,0.466,1.222,2.074,1.973,1.895,2.742,0.392,3.063,0.463,2.147,2.404,2.253,0.346,0.266,0.348,0.095,0.046,0.1,0.429,0.967,0.277,2.158,1.741,1.575,0.228,0.045,0.36,0.07,0.17,0.034,2.089,1.454,1.674,2.444,1.512,1.892,1.923,1.763,1.413,1.943,1.81
3.656,4.454,2.165,2.193,2.302,2.283,0.434,2.564,1.138,0.3,1.644,0.369,0.693,1.51,1.491,1.379,2.294,0.242,2.445,0.492,1.935,2.087,1.978,0.185,0.144,0.199,0.041,0.019,0.043,0.308,0.752,0.159,1.464,1.151,0.988,0.229,0.019,0.351,0.032,0.139,0.013,1.866,0.98,1.16,2.125,0.984,1.631,1.627,1.461,0.944,1.473,1.248
2.798,3.657,1.41,1.456,1.577,1.583,0.343,2.009,0.723,0.314,1.283,0.28,0.343,1.125,1.175,1.03,2.124,0.129,2.07,0.579,1.93,1.954,1.929,0.088,0.067,0.1,0.014,0.007,0.015,0.209,0.529,0.081,0.955,0.718,0.571,0.223,0.006,0.326,0.011,0.106,0.004,1.756,0.63,0.756,1.922,0.595,1.421,1.345,1.178,0.558,1.024,0.776
2.091,2.992,0.857,0.883,1.009,1.039,0.27,1.568,0.432,0.363,0.987,0.211,0.133,0.77,0.876,0.728,1.976,0.057,1.757,0.683,1.984,1.848,1.988,0.036,0.029,0.045,0.004,0.002,0.004,0.138,0.352,0.038,0.585,0.419,0.308,0.246,0.002,0.325,0.003,0.09,0.001,1.778,0.382,0.477,1.823,0.342,1.326,1.144,0.969,0.304,0.668,0.453
1.669,2.708,0.547,0.553,0.692,0.738,0.262,1.366,0.282,0.617,0.881,0.209,0.049,0.611,0.785,0.599,1.927,0.033,1.784,1.158,2.588,2.143,2.221,0.017,0.014,0.023,0.001,0.001,0.001,0.11,0.274,0.02,0.391,0.264,0.182,0.459,0.001,0.493,0.002,0.128,0.0,2.211,0.259,0.34,2.081,0.216,1.62,1.207,1.002,0.19,0.488,0.301
1.608,2.753,0.387,0.385,0.568,0.606,0.406,1.457,0.232,2.032,1.04,0.364,0.02,0.637,0.954,0.63,1.876,0.034,2.25,3.671,4.632,3.338,2.49,0.013,0.011,0.017,0.002,0.001,0.001,0.132,0.305,0.017,0.322,0.203,0.134,2.059,0.001,1.602,0.002,0.441,0.0,3.62,0.236,0.317,3.151,0.17,2.936,1.795,1.545,0.165,0.475,0.272
1.64,2.751,0.27,0.255,0.477,0.506,0.607,1.565,0.195,5.991,1.237,0.631,0.008,0.678,1.193,0.685,1.743,0.031,2.776,9.933,7.873,5.049,2.663,0.011,0.008,0.013,0.001,0.001,0.001,0.153,0.313,0.014,0.274,0.159,0.104,8.092,0.002,4.687,0.004,1.37,0.0,5.679,0.218,0.304,4.791,0.137,5.887,2.856,2.823,0.153,0.465,0.261
1.415,2.258,0.162,0.145,0.327,0.354,0.473,1.334,0.128,6.921,1.074,0.559,0.002,0.531,1.069,0.576,1.448,0.009,2.549,9.796,8.228,4.862,2.524,0.007,0.004,0.007,0.0,0.0,0.0,0.108,0.2,0.007,0.199,0.101,0.069,9.813,0.001,4.922,0.002,1.325,0.0,5.864,0.144,0.231,5.444,0.09,8.987,3.251,4.409,0.107,0.326,0.194
1.045,1.58,0.092,0.084,0.19,0.226,0.146,0.881,0.07,2.121,0.649,0.191,0.001,0.295,0.643,0.361,1.187,0.001,1.682,2.172,4.577,2.586,2.254,0.002,0.001,0.003,0.0,0.0,0.0,0.036,0.087,0.002,0.126,0.057,0.041,2.043,0.0,1.16,0.0,0.194,0.0,3.704,0.065,0.141,4.519,0.049,8.266,2.059,5.114,0.054,0.165,0.106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
