SP25C01,SP25D01,SPST5C01,SPST5C02,SPT0C01,SPT0C02,SPT0D01,SPT0D02,SPT25B01,SPT4A01,SPT4B01,SPT4C01,SPT4D01,SPT4D02,SPT5B01,SPT5B02,SPT5D01,SPT5D02,SPT6A01,SPT6A02,SPT6A03,SPT6A04,SPT6A05,SPT6A06,SPT6D01,SPT6D02,SPT7A01,SPT7A02,SPT7A03,SPT7A04,SPT7A05,SPT7A06,SPT7A07,SPT7A08,SPT7A09,SPT8A01,SPT8A02,SPT8A03,SPT8A04
0.787,0.832,0.558,0.567,0.466,0.471,0.664,0.732,0.945,1.153,0.998,0.968,0.355,0.738,0.444,0.569,0.811,0.73,0.835,0.77,0.482,0.502,0.884,0.851,0.84,0.658,0.595,0.704,1.022,0.474,0.616,1.105,0.965,0.497,0.398,0.803,0.674,0.431,0.426
0.845,0.895,0.605,0.616,0.504,0.509,0.723,0.793,1.025,1.243,1.067,1.052,0.382,0.803,0.473,0.608,0.874,0.799,0.871,0.816,0.516,0.527,0.942,0.907,0.895,0.696,0.636,0.759,1.096,0.503,0.646,1.195,1.039,0.535,0.426,0.88,0.733,0.462,0.458
0.899,0.955,0.655,0.663,0.54,0.543,0.778,0.847,1.096,1.311,1.107,1.132,0.413,0.862,0.508,0.647,0.93,0.859,0.905,0.863,0.554,0.554,1.003,0.96,0.952,0.736,0.679,0.81,1.168,0.536,0.679,1.276,1.11,0.574,0.459,0.949,0.788,0.494,0.493
0.966,1.028,0.708,0.715,0.578,0.581,0.843,0.909,1.186,1.39,1.175,1.231,0.44,0.926,0.538,0.685,0.998,0.925,0.959,0.926,0.595,0.595,1.092,1.039,1.035,0.794,0.729,0.864,1.26,0.567,0.725,1.382,1.2,0.616,0.49,1.027,0.848,0.526,0.525
1.064,1.134,0.787,0.792,0.635,0.635,0.935,0.999,1.315,1.501,1.286,1.368,0.48,1.013,0.585,0.74,1.101,1.014,1.063,1.031,0.656,0.665,1.229,1.163,1.17,0.893,0.804,0.944,1.395,0.618,0.802,1.534,1.334,0.676,0.537,1.131,0.931,0.572,0.573
1.17,1.25,0.88,0.885,0.699,0.697,1.045,1.104,1.456,1.624,1.399,1.511,0.522,1.108,0.638,0.8,1.223,1.113,1.194,1.166,0.733,0.748,1.4,1.328,1.34,1.022,0.893,1.039,1.55,0.678,0.901,1.707,1.487,0.746,0.592,1.247,1.025,0.624,0.627
1.285,1.381,0.993,1.002,0.778,0.775,1.183,1.238,1.601,1.776,1.526,1.656,0.572,1.217,0.702,0.875,1.372,1.232,1.357,1.343,0.835,0.853,1.62,1.553,1.554,1.194,1.01,1.165,1.727,0.762,1.026,1.906,1.661,0.833,0.662,1.389,1.14,0.69,0.693
1.414,1.533,1.123,1.13,0.875,0.868,1.346,1.397,1.748,1.965,1.67,1.814,0.627,1.34,0.78,0.97,1.553,1.373,1.547,1.561,0.962,0.99,1.908,1.846,1.817,1.416,1.153,1.323,1.933,0.87,1.173,2.132,1.859,0.936,0.744,1.553,1.279,0.774,0.772
1.557,1.71,1.266,1.266,0.99,0.98,1.536,1.576,1.906,2.175,1.812,2.011,0.689,1.478,0.869,1.078,1.76,1.538,1.749,1.8,1.108,1.151,2.273,2.189,2.133,1.684,1.324,1.506,2.175,0.996,1.333,2.388,2.092,1.053,0.834,1.739,1.439,0.874,0.861
1.732,1.93,1.441,1.435,1.147,1.129,1.784,1.802,2.104,2.432,2.003,2.274,0.783,1.673,0.99,1.229,2.003,1.763,2.011,2.081,1.298,1.331,2.725,2.615,2.523,2.008,1.551,1.749,2.453,1.17,1.55,2.68,2.376,1.206,0.954,1.973,1.646,1.008,0.981
1.971,2.229,1.633,1.625,1.348,1.311,2.076,2.072,2.352,2.81,2.237,2.605,0.915,1.929,1.146,1.423,2.301,2.048,2.353,2.45,1.532,1.586,3.294,3.161,3.011,2.429,1.826,2.051,2.804,1.404,1.865,3.027,2.721,1.389,1.103,2.247,1.893,1.176,1.135
2.384,2.707,1.898,1.886,1.638,1.567,2.48,2.456,2.754,3.434,2.589,3.116,1.131,2.328,1.381,1.719,2.746,2.472,2.845,3.009,1.863,1.999,4.165,3.957,3.739,3.067,2.219,2.486,3.331,1.757,2.336,3.53,3.217,1.647,1.32,2.626,2.242,1.429,1.373
2.974,3.373,2.242,2.224,2.016,1.9,2.979,2.969,3.269,4.285,3.042,3.783,1.448,2.887,1.72,2.149,3.317,3.045,3.519,3.756,2.314,2.555,5.314,5.008,4.732,3.913,2.742,3.079,4.009,2.275,3.018,4.128,3.834,1.977,1.627,3.115,2.71,1.791,1.726
3.76,4.295,2.664,2.641,2.455,2.309,3.55,3.618,3.879,5.433,3.567,4.605,1.85,3.607,2.183,2.735,4.013,3.746,4.464,4.764,2.902,3.34,6.781,6.338,6.011,5.023,3.401,3.837,4.9,2.991,3.984,4.871,4.6,2.376,2.032,3.718,3.302,2.277,2.202
4.661,5.341,3.173,3.145,2.911,2.81,4.164,4.415,4.506,6.715,4.094,5.419,2.259,4.45,2.797,3.518,4.789,4.536,5.67,6.06,3.643,4.274,8.472,7.84,7.427,6.322,4.202,4.771,5.894,3.937,5.151,5.674,5.462,2.853,2.552,4.448,4.046,2.904,2.795
5.852,6.663,3.819,3.785,3.43,3.464,4.892,5.436,5.268,8.341,4.7,6.347,2.693,5.491,3.611,4.55,5.853,5.474,7.345,7.947,4.659,5.595,10.598,9.828,9.273,8.022,5.179,5.938,7.215,5.179,6.744,6.735,6.606,3.482,3.22,5.404,5.037,3.709,3.518
7.391,8.308,4.575,4.546,4.131,4.303,5.79,6.625,6.224,10.321,5.384,7.438,3.253,6.789,4.615,5.791,7.268,6.669,9.417,10.431,5.978,7.459,13.285,12.333,11.611,10.174,6.269,7.272,8.689,6.679,8.718,8.013,7.987,4.297,4.001,6.575,6.288,4.67,4.329
9.44,10.417,5.564,5.532,5.182,5.45,7.03,8.127,7.532,12.872,6.362,8.887,4.094,8.537,5.876,7.336,9.146,8.304,12.118,13.63,7.719,9.98,16.829,15.573,14.647,12.881,7.549,8.926,10.42,8.57,11.151,9.612,9.686,5.401,4.976,8.129,7.921,5.844,5.301
12.077,12.864,6.836,6.813,6.321,6.742,8.399,9.951,9.338,15.913,7.681,10.752,5.101,10.698,7.293,9.152,11.267,9.998,15.555,17.379,9.641,12.778,20.885,19.39,18.165,15.753,9.02,10.938,12.388,10.782,14.071,11.625,11.755,6.593,6.131,10.012,9.798,7.153,6.425
14.852,15.054,8.264,8.19,7.584,8.149,9.827,11.879,11.378,18.746,9.06,12.79,6.134,12.919,8.611,10.836,13.336,11.55,18.37,20.561,11.482,15.333,24.861,23.164,21.638,18.215,10.375,12.977,13.952,12.868,16.774,13.679,13.879,7.72,7.271,12.024,11.643,8.394,7.591
18.083,16.98,9.964,9.775,9.079,9.981,11.561,13.998,14.122,21.735,10.949,15.29,7.193,15.42,9.779,12.261,15.577,12.911,20.807,23.051,13.509,17.712,28.833,27.065,24.887,20.283,11.651,15.117,15.276,14.595,18.912,16.3,16.423,9.086,8.381,14.389,13.572,9.539,8.638
20.475,17.591,11.226,10.827,9.944,11.059,12.484,15.272,16.688,23.286,12.649,17.344,7.782,17.07,10.137,12.694,16.509,13.135,21.267,22.68,14.165,17.739,30.035,28.477,25.628,20.076,12.296,16.541,15.453,15.058,19.351,18.208,18.197,9.648,9.005,15.865,14.466,9.929,9.291
22.688,17.868,12.188,11.466,10.91,11.897,13.341,15.966,19.779,24.486,15.147,19.471,8.529,18.651,9.878,12.575,16.971,12.986,20.853,20.357,14.345,16.444,29.632,28.243,24.823,18.671,12.545,17.463,15.052,14.568,18.689,19.921,19.741,10.123,9.338,16.767,14.725,9.77,9.695
22.487,16.349,12.281,11.292,10.802,11.687,13.087,15.304,21.371,23.185,16.864,19.462,8.257,18.49,8.81,11.537,15.897,11.62,18.656,16.681,13.325,13.988,26.611,25.408,21.838,15.765,11.926,16.976,13.598,12.558,16.26,20.398,19.978,9.978,9.041,16.274,13.783,8.821,9.272
21.633,14.803,12.164,11.079,10.318,10.924,12.506,14.103,22.352,21.824,19.035,18.941,8.05,18.228,7.596,10.426,14.2,10.194,16.792,13.503,11.954,11.942,23.412,22.159,19.052,13.074,11.223,16.306,12.178,10.414,13.801,20.469,19.447,9.618,8.729,15.287,12.372,7.861,8.85
19.489,12.788,11.696,10.622,9.573,10.052,11.784,12.449,21.881,19.86,20.758,17.409,7.456,17.378,6.217,9.096,12.343,8.691,14.872,10.438,10.557,9.802,19.53,18.246,15.768,10.311,10.132,14.836,10.589,8.103,11.073,20.06,18.24,9.303,8.259,14.04,10.923,6.837,8.054
17.133,11.102,11.264,10.313,8.827,8.891,11.093,10.885,20.557,18.549,22.577,15.936,7.255,16.978,5.005,7.941,10.226,7.433,13.245,7.802,9.17,7.673,15.731,14.326,12.499,7.801,9.131,13.496,9.054,6.283,8.757,19.289,16.32,8.899,7.977,12.669,9.522,5.954,7.403
