Time,30L,30I,45L,45I,60L,60I
2023-05-05 09:00:00,,3.658762247485991e-07,,3.8139066250795673e-07,,
2023-05-05 09:15:00,,3.6631674550368847e-07,,3.857375067312521e-07,,
2023-05-05 09:30:00,,3.6700136683860023e-07,,3.908487298533608e-07,,
2023-05-05 09:45:00,,3.6792746452844215e-07,,3.9660377018417716e-07,,
2023-05-05 10:00:00,,3.6907691194649466e-07,,4.028751622262868e-07,,
2023-05-05 10:15:00,,3.7041623577070904e-07,,4.095141947875748e-07,,
2023-05-05 10:30:00,,3.7189700591180913e-07,,4.1635733252436217e-07,,
2023-05-05 10:45:00,,3.7346026219503877e-07,,4.232673693675874e-07,,
2023-05-05 11:00:00,,3.750408234445823e-07,,4.3011602399762023e-07,,
2023-05-05 11:15:00,,3.765783364432172e-07,,4.3681780976642665e-07,,
2023-05-05 11:30:00,,3.780261481855173e-07,,4.4326551989068317e-07,,
2023-05-05 11:45:00,,3.793603121905705e-07,,4.4937391230982206e-07,,
2023-05-05 12:00:00,,3.8057722148327143e-07,,4.550661187095069e-07,,
2023-05-05 12:15:00,,3.8168431060933494e-07,,4.602709290007072e-07,,
2023-05-05 12:30:00,,3.826943264867665e-07,,4.648997321858326e-07,,
2023-05-05 12:45:00,,3.8361725063913334e-07,,4.6887010016050256e-07,,
2023-05-05 13:00:00,,3.844352226632788e-07,,4.722049589187033e-07,,
2023-05-05 13:15:00,,3.851458130437937e-07,,4.748746760114911e-07,,
2023-05-05 13:30:00,,3.8575715537395074e-07,,4.768371651115165e-07,,
2023-05-05 13:45:00,,3.862584949453857e-07,,4.781242805797557e-07,,
2023-05-05 14:00:00,,3.8665459520780516e-07,,4.787415456315925e-07,,
2023-05-05 14:15:00,,3.869476838985929e-07,,4.787142017135001e-07,,
2023-05-05 14:30:00,,3.8712998554453525e-07,,4.781013025227227e-07,,
2023-05-05 14:45:00,,3.8722120584862386e-07,,4.76914258303989e-07,,
2023-05-05 15:00:00,,3.872245002725189e-07,,4.7520782020627996e-07,,
2023-05-05 15:15:00,,3.871477493741379e-07,,4.730397926685936e-07,,
2023-05-05 15:30:00,,3.869973527781687e-07,,4.7048232516228826e-07,,
2023-05-05 15:45:00,,3.867782904097138e-07,,4.6762052172429394e-07,,
2023-05-05 16:00:00,,3.8648456661514984e-07,,4.64564716537203e-07,,
2023-05-05 16:15:00,,3.8612307409413294e-07,,4.614112753061104e-07,,
2023-05-05 16:30:00,,3.8571514614685594e-07,,4.582368636004259e-07,,
2023-05-05 16:45:00,,3.8524005972052887e-07,,4.5517538768777024e-07,,
2023-05-05 17:00:00,,3.847192951469882e-07,,4.523027552084328e-07,,
2023-05-05 17:15:00,,3.8416150170489225e-07,,4.4970199668240267e-07,,
2023-05-05 17:30:00,,3.835640510585873e-07,,4.4746182815533856e-07,,
2023-05-05 17:45:00,,3.8293860179830475e-07,,4.4564216531800754e-07,,
2023-05-05 18:00:00,,3.822880102782499e-07,,4.44300241536408e-07,,
2023-05-05 18:15:00,,3.8162654929410126e-07,,4.434643091902445e-07,,
2023-05-05 18:30:00,,3.809681267229714e-07,,4.4314790989596877e-07,,
2023-05-05 18:45:00,,3.8033068879630555e-07,,4.4334527317836287e-07,,
2023-05-05 19:00:00,,3.797313821972071e-07,,4.440393366642135e-07,,
2023-05-05 19:15:00,,3.7917794478131303e-07,,4.4521932259775913e-07,,
2023-05-05 19:30:00,,3.786891675741737e-07,,4.468472059548018e-07,,
2023-05-05 19:45:00,,3.7828074903732936e-07,,4.488818675630865e-07,,
2023-05-05 20:00:00,,3.7796902941897306e-07,,4.512743936596743e-07,,
2023-05-05 20:15:00,,3.777707121929577e-07,,4.5396924102174554e-07,,
2023-05-05 20:30:00,,3.776987535733058e-07,,4.569151895516301e-07,,
2023-05-05 20:45:00,,3.7776598448429476e-07,,4.6005813372152713e-07,,
2023-05-05 21:00:00,,3.779772967944457e-07,,4.6336448208311833e-07,,
2023-05-05 21:15:00,,3.783401704370847e-07,,4.667879900342835e-07,,
2023-05-05 21:30:00,,3.7885315790800667e-07,,4.703065852522295e-07,,
2023-05-05 21:45:00,,3.795186699832121e-07,,4.738764866452108e-07,,
2023-05-05 22:00:00,,3.803435131627179e-07,,4.774284695419815e-07,,
2023-05-05 22:15:00,,3.8131856729905607e-07,,4.809566501374911e-07,,
2023-05-05 22:30:00,,3.8243742108647724e-07,,4.844297758798496e-07,,
2023-05-05 22:45:00,,3.836905037027643e-07,,4.878203184901822e-07,,
2023-05-05 23:00:00,,3.8506514331061784e-07,,4.911053614574011e-07,,
2023-05-05 23:15:00,,3.865457193795612e-07,,4.942661039867507e-07,,
2023-05-05 23:30:00,,3.8811391701313904e-07,,4.972877442923249e-07,,
2023-05-05 23:45:00,,3.8974903701455177e-07,,5.001591744032475e-07,,
2023-05-06 00:00:00,,3.9142827154279743e-07,,5.02871725674401e-07,,
2023-05-06 00:15:00,,3.9312607491990327e-07,,5.053795071655887e-07,,
2023-05-06 00:30:00,,3.948170182816082e-07,,5.076825747871378e-07,,
2023-05-06 00:45:00,,3.964751426472991e-07,,5.097802145864944e-07,,
2023-05-06 01:00:00,,3.9807584573696005e-07,,5.116913753323776e-07,,
2023-05-06 01:15:00,,3.995923228181713e-07,,5.133889226941049e-07,,
2023-05-06 01:30:00,,4.01005847623342e-07,,5.149402976356801e-07,,
2023-05-06 01:45:00,,4.022961097937055e-07,,5.16371951339995e-07,,
2023-05-06 02:00:00,,4.0344250668107236e-07,,5.17659390099006e-07,,
2023-05-06 02:15:00,,4.044319006627022e-07,,5.188363075210005e-07,,
2023-05-06 02:30:00,,4.0525683374725857e-07,,5.199957314270988e-07,,
2023-05-06 02:45:00,,4.0590651877300013e-07,,5.211264974833634e-07,,
2023-05-06 03:00:00,,4.063749273222279e-07,,5.222166211468043e-07,,
2023-05-06 03:15:00,,4.066625073916106e-07,,5.232971219234091e-07,,
2023-05-06 03:30:00,,4.0677610233391155e-07,,5.244630255658958e-07,,
2023-05-06 03:45:00,,4.067163340400046e-07,,5.2569875691748e-07,,
2023-05-06 04:00:00,,4.0649139560984764e-07,,5.270429326410371e-07,,
2023-05-06 04:15:00,,4.06111985336285e-07,,5.285316337514067e-07,,
2023-05-06 04:30:00,,4.0559266084161224e-07,,5.302067650838365e-07,,
2023-05-06 04:45:00,,4.049561173444902e-07,,5.321611965485857e-07,,
2023-05-06 05:00:00,,4.0420902122656314e-07,,5.34333255315624e-07,,
2023-05-06 05:15:00,,4.033710289583564e-07,,5.367318167121261e-07,,
2023-05-06 05:30:00,,4.0246218255768056e-07,,5.39358875964118e-07,,
2023-05-06 05:45:00,,4.015018580954377e-07,,5.422092675548778e-07,,
2023-05-06 06:00:00,,4.00516692903311e-07,,5.453689755242099e-07,,
2023-05-06 06:15:00,,3.995108269791705e-07,,5.487305799350048e-07,,
2023-05-06 06:30:00,,3.9849552653369354e-07,,5.522473242227328e-07,,
2023-05-06 06:45:00,,3.9748109344156095e-07,,5.55879782906164e-07,,
2023-05-06 07:00:00,,3.9647466944852e-07,,5.595819452242623e-07,,
2023-05-06 07:15:00,,3.954797030414724e-07,,5.633026728198664e-07,,
2023-05-06 07:30:00,,3.944955971682558e-07,,5.669862728017699e-07,,
2023-05-06 07:45:00,,3.9350843224954725e-07,,5.704595509923071e-07,,
2023-05-06 08:00:00,,3.9251098322382213e-07,,5.736591243817608e-07,,
2023-05-06 08:15:00,,3.914917110248138e-07,,5.765274652674035e-07,,
2023-05-06 08:30:00,,3.904354114055118e-07,,5.790132443248794e-07,,
2023-05-06 08:45:00,,3.8932375966901153e-07,,5.810707097426273e-07,,
2023-05-06 09:00:00,,3.881357590746224e-07,,5.826608060496139e-07,,
2023-05-06 09:15:00,,3.868483321103044e-07,,5.837516522049399e-07,,
2023-05-06 09:30:00,,3.8545785238339427e-07,,5.844514256885665e-07,,
