Time,T1-T2,T2-T3,T3-T4
2023-03-23 18:15:00,-2.1280926450423473e-06,2.783800536649274e-05,2.6368490000922213e-06
2023-03-23 18:30:00,-2.127524284729016e-06,2.7760047774320926e-05,2.6174639940306884e-06
2023-03-23 18:45:00,-2.1263670081627403e-06,2.7685808055589397e-05,2.5985143858684847e-06
2023-03-23 19:00:00,-2.1247146233348206e-06,2.7613021524047615e-05,2.5807857737783787e-06
2023-03-23 19:15:00,-2.1223844129746406e-06,2.754515291032145e-05,2.5641484572013436e-06
2023-03-23 19:30:00,-2.1191036809370386e-06,2.747865418398679e-05,2.548038404043751e-06
2023-03-23 19:45:00,-2.1150107143811112e-06,2.7413555136681653e-05,2.5327582536841013e-06
2023-03-23 20:00:00,-2.1102747681141977e-06,2.7350882420246788e-05,2.518317566717603e-06
2023-03-23 20:15:00,-2.1051014780546705e-06,2.7290041026394807e-05,2.5050064628193643e-06
2023-03-23 20:30:00,-2.0994271362284155e-06,2.7232547419361495e-05,2.4927859650395292e-06
2023-03-23 20:45:00,-2.093487565250176e-06,2.7177030410081653e-05,2.481098490666453e-06
2023-03-23 21:00:00,-2.0870216900741423e-06,2.71240498212388e-05,2.4699780080115204e-06
2023-03-23 21:15:00,-2.0803515327269673e-06,2.7073181230448607e-05,2.4599364313028533e-06
2023-03-23 21:30:00,-2.072942524295991e-06,2.7023804576428534e-05,2.450673936838339e-06
2023-03-23 21:45:00,-2.0653148250602167e-06,2.6976002008664825e-05,2.442188900332431e-06
2023-03-23 22:00:00,-2.0572703161431016e-06,2.6930025654024374e-05,2.434244531911526e-06
2023-03-23 22:15:00,-2.0492868042604016e-06,2.6885286153565745e-05,2.4271124480954287e-06
2023-03-23 22:30:00,-2.0417744230201943e-06,2.6843241249770683e-05,2.420681292763063e-06
2023-03-23 22:45:00,-2.034047772986723e-06,2.680117111271714e-05,2.415143004187778e-06
2023-03-23 23:00:00,-2.0269747688063103e-06,2.676207780451226e-05,2.410205056301361e-06
2023-03-23 23:15:00,-2.0197366218471885e-06,2.6724437652051356e-05,2.4058111716747095e-06
2023-03-23 23:30:00,-2.012364823524885e-06,2.6688177910930714e-05,2.4019961498354777e-06
2023-03-23 23:45:00,-2.0053292321874224e-06,2.6651499190513408e-05,2.3987748846053225e-06
2023-03-24 00:00:00,-1.9981606626352345e-06,2.6615746734015058e-05,2.3960324998758285e-06
2023-03-24 00:15:00,-1.991979156127246e-06,2.658081219468935e-05,2.3938909751936182e-06
2023-03-24 00:30:00,-1.9866042672195434e-06,2.6548178096801054e-05,2.392146665768222e-06
2023-03-24 00:45:00,-1.981129247567367e-06,2.651470080470491e-05,2.390839948944116e-06
2023-03-24 01:00:00,-1.976087846798413e-06,2.6479826906588306e-05,2.390085793753008e-06
2023-03-24 01:15:00,-1.9716776647486822e-06,2.6448887168327562e-05,2.389547749672681e-06
2023-03-24 01:30:00,-1.967097781331149e-06,2.641639525857455e-05,2.3893315741428543e-06
2023-03-24 01:45:00,-1.963333148291095e-06,2.638420017156371e-05,2.3894014342867866e-06
2023-03-24 02:00:00,-1.9603517144566214e-06,2.6352237684754475e-05,2.3897208013166494e-06
2023-03-24 02:15:00,-1.957252427099938e-06,2.63189600539887e-05,2.3904239001052857e-06
2023-03-24 02:30:00,-1.954934105774171e-06,2.628578683741297e-05,2.3913453664876994e-06
2023-03-24 02:45:00,-1.952995723355866e-06,2.625271223516002e-05,2.3924501859133497e-06
2023-03-24 03:00:00,-1.9511922380112592e-06,2.6220114552928358e-05,2.3936050204797025e-06
2023-03-24 03:15:00,-1.9497297279020428e-06,2.6187593030483354e-05,2.3946442572295347e-06
2023-03-24 03:30:00,-1.948108605622187e-06,2.615328837592473e-05,2.3957406890617765e-06
2023-03-24 03:45:00,-1.9472892729639866e-06,2.6123181610088076e-05,2.3970270403400405e-06
2023-03-24 04:00:00,-1.946447467587116e-06,2.609099567353553e-05,2.398079230337499e-06
2023-03-24 04:15:00,-1.945896567742977e-06,2.6058893543597915e-05,2.399393040356063e-06
2023-03-24 04:30:00,-1.9457818883200595e-06,2.6029064522192406e-05,2.400600423243811e-06
2023-03-24 04:45:00,-1.9456690188256372e-06,2.5995061967955213e-05,2.4021621792696226e-06
2023-03-24 05:00:00,-1.9454073298367684e-06,2.5962072707107922e-05,2.4035792797561464e-06
2023-03-24 05:15:00,-1.945478154949214e-06,2.5929283300056037e-05,2.4049303021990604e-06
2023-03-24 05:30:00,-1.9457351606856727e-06,2.5896710779187786e-05,2.4065101515756023e-06
2023-03-24 05:45:00,-1.9458993099661853e-06,2.5864828912221477e-05,2.407920354633217e-06
2023-03-24 06:00:00,-1.9463073684640393e-06,2.5837037049892217e-05,2.40908463617956e-06
2023-03-24 06:15:00,-1.9466480945906106e-06,2.5805691645068615e-05,2.4102032538142503e-06
2023-03-24 06:30:00,-1.9472291177234947e-06,2.5774598753647395e-05,2.4115084702643125e-06
2023-03-24 06:45:00,-1.9479962632827967e-06,2.574376734463607e-05,2.41233357901844e-06
2023-03-24 07:00:00,-1.948894890743727e-06,2.571458334670226e-05,2.4132684209037723e-06
2023-03-24 07:15:00,-1.9499792647682273e-06,2.5684553662587602e-05,2.4140212200695545e-06
2023-03-24 07:30:00,-1.95122908891765e-06,2.5656050109855616e-05,2.4145424038454665e-06
2023-03-24 07:45:00,-1.952868528326303e-06,2.562686667239519e-05,2.4148593067581664e-06
2023-03-24 08:00:00,-1.954708959705583e-06,2.5597948116445206e-05,2.415250538477122e-06
2023-03-24 08:15:00,-1.956890539591988e-06,2.557010033416646e-05,2.415376017677484e-06
2023-03-24 08:30:00,-1.959631074927372e-06,2.5541498558181672e-05,2.4152451093646763e-06
2023-03-24 08:45:00,-1.9629867736054133e-06,2.551311523818376e-05,2.4148235819841693e-06
2023-03-24 09:00:00,-1.9670149689757227e-06,2.5484936452085918e-05,2.414095701226577e-06
2023-03-24 09:15:00,-1.971774123775774e-06,2.545694905824949e-05,2.4130469140717498e-06
2023-03-24 09:30:00,-1.977655697963339e-06,2.5429003308309406e-05,2.4116639797514415e-06
2023-03-24 09:45:00,-1.984433768460491e-06,2.5400910539226758e-05,2.4099103821342765e-06
2023-03-24 10:00:00,-1.992283713235993e-06,2.537240073213636e-05,2.407781735063449e-06
2023-03-24 10:15:00,-2.001306289754483e-06,2.5342746182915796e-05,2.4052634337142193e-06
2023-03-24 10:30:00,-2.0117462254114984e-06,2.5312869240336608e-05,2.402248524370054e-06
2023-03-24 10:45:00,-2.0233374354442346e-06,2.528265741217793e-05,2.3987479538716954e-06
2023-03-24 11:00:00,-2.0356526481005585e-06,2.5251338049306778e-05,2.394740515074988e-06
2023-03-24 11:15:00,-2.048390173272827e-06,2.521874161308645e-05,2.390136420513374e-06
2023-03-24 11:30:00,-2.0612057479946327e-06,2.5185518780796242e-05,2.3849136769229935e-06
2023-03-24 11:45:00,-2.0742495033361e-06,2.5152135033719286e-05,2.3790358526757384e-06
2023-03-24 12:00:00,-2.0874377429770754e-06,2.5117377218534397e-05,2.372565898798937e-06
2023-03-24 12:15:00,-2.100901233908032e-06,2.5080958225908933e-05,2.3654757140532126e-06
2023-03-24 12:30:00,-2.1143450481019325e-06,2.504560637160856e-05,2.3577447121241753e-06
2023-03-24 12:45:00,-2.1273592582531946e-06,2.501069334708123e-05,2.3493476821812007e-06
2023-03-24 13:00:00,-2.138490582389744e-06,2.4973168088608458e-05,2.340336200985719e-06
2023-03-24 13:15:00,-2.1495015332132332e-06,2.4935760958251155e-05,2.330806412020184e-06
2023-03-24 13:30:00,-2.159084916267495e-06,2.4895339269411804e-05,2.3207775313610044e-06
2023-03-24 13:45:00,-2.1682450649251415e-06,2.4857262973842686e-05,2.310355139859536e-06
2023-03-24 14:00:00,-2.1757499761058785e-06,2.4818385435667163e-05,2.299457659744245e-06
2023-03-24 14:15:00,-2.181485366206756e-06,2.478180946085139e-05,2.2881102006550024e-06
2023-03-24 14:30:00,-2.185253049133947e-06,2.474449405288943e-05,2.276573311615479e-06
2023-03-24 14:45:00,-2.187838623328311e-06,2.4710493847592735e-05,2.2646746560535766e-06
2023-03-24 15:00:00,-2.1889047300275306e-06,2.4675608667098118e-05,2.253099996870802e-06
2023-03-24 15:15:00,-2.188182519454173e-06,2.464401005257725e-05,2.2413380848809644e-06
2023-03-24 15:30:00,-2.1854864557045478e-06,2.4613759999242294e-05,2.229528076418205e-06
2023-03-24 15:45:00,-2.1811577546749834e-06,2.4586588707220384e-05,2.2179444100509926e-06
2023-03-24 16:00:00,-2.1755042360213023e-06,2.4560443804025988e-05,2.2067686516240486e-06
2023-03-24 16:15:00,-2.1679854768696713e-06,2.4535827505312938e-05,2.195709434790487e-06
2023-03-24 16:30:00,-2.15970583459301e-06,2.4513825841044788e-05,2.185177136367994e-06
2023-03-24 16:45:00,-2.150399176612491e-06,2.4490790797841582e-05,2.1750408090298194e-06
2023-03-24 17:00:00,-2.1406124379603003e-06,2.4470241770482077e-05,2.165529399084912e-06
2023-03-24 17:15:00,-2.130177053066418e-06,2.4448677187640714e-05,2.156763743170426e-06
2023-03-24 17:30:00,-2.1197366116395007e-06,2.442967521908239e-05,2.1480891775073154e-06
2023-03-24 17:45:00,-2.1092299139830843e-06,2.4410952486440138e-05,2.140203779670391e-06
2023-03-24 18:00:00,-2.0988348780660146e-06,2.439421110155598e-05,2.1327278992789e-06
2023-03-24 18:15:00,-2.088476485668125e-06,2.4376370860465237e-05,2.125726770088814e-06
2023-03-24 18:30:00,-2.078587082597477e-06,2.4358690836555577e-05,2.1191888128113627e-06
2023-03-24 18:45:00,-2.069820092932675e-06,2.4341659209396593e-05,2.113159127348232e-06
2023-03-24 19:00:00,-2.062070898119013e-06,2.43253191831308e-05,2.107553713865288e-06
2023-03-24 19:15:00,-2.0553877747996226e-06,2.4309605840696323e-05,2.102708340918526e-06
2023-03-24 19:30:00,-2.049940702043543e-06,2.429320193162596e-05,2.098255509257347e-06
2023-03-24 19:45:00,-2.045656911314179e-06,2.427633269642443e-05,2.094115567784367e-06
2023-03-24 20:00:00,-2.042539730191608e-06,2.42585705694971e-05,2.0902799897440455e-06
2023-03-24 20:15:00,-2.0405285464628647e-06,2.4240007066584783e-05,2.0866877576173293e-06
2023-03-24 20:30:00,-2.0396050474995984e-06,2.4221460266532306e-05,2.083269453299263e-06
2023-03-24 20:45:00,-2.0397091222006227e-06,2.4202394246652038e-05,2.0799862769501408e-06
2023-03-24 21:00:00,-2.040822164830699e-06,2.4182283815849457e-05,2.0765236255238352e-06
2023-03-24 21:15:00,-2.0428633130676773e-06,2.4161382914490447e-05,2.072813975995126e-06
2023-03-24 21:30:00,-2.0459480392430684e-06,2.413944009659813e-05,2.069141119745928e-06
2023-03-24 21:45:00,-2.0500794570804232e-06,2.4116615844380396e-05,2.065459070049907e-06
2023-03-24 22:00:00,-2.0544917975048255e-06,2.4092512150075315e-05,2.0617272846314258e-06
2023-03-24 22:15:00,-2.0595427476453647e-06,2.4067466118919346e-05,2.0576789879008254e-06
2023-03-24 22:30:00,-2.0654655586453605e-06,2.4041593230563366e-05,2.0535578340464892e-06
2023-03-24 22:45:00,-2.072613408763878e-06,2.4014850420978928e-05,2.049127334833295e-06
2023-03-24 23:00:00,-2.079813975630927e-06,2.398638277223007e-05,2.0445528867445202e-06
2023-03-24 23:15:00,-2.0870675689456407e-06,2.3956970143404683e-05,2.0397927184506893e-06
2023-03-24 23:30:00,-2.09492734330633e-06,2.3925820968550576e-05,2.0348807976081835e-06
2023-03-24 23:45:00,-2.1030270189755054e-06,2.3894503440373413e-05,2.029672404814395e-06
2023-03-25 00:00:00,-2.11078236615713e-06,2.3861275407071366e-05,2.0241172911661285e-06
2023-03-25 00:15:00,-2.1189387329175396e-06,2.382709122499891e-05,2.0183284529969706e-06
2023-03-25 00:30:00,-2.126517832199186e-06,2.3792196734765796e-05,2.0122301873383536e-06
2023-03-25 00:45:00,-2.133722113978044e-06,2.37540821309216e-05,2.005954992910307e-06
2023-03-25 01:00:00,-2.141046312037201e-06,2.371828105383188e-05,1.999299770272496e-06
2023-03-25 01:15:00,-2.147935143357663e-06,2.3680557616662876e-05,1.9924749985641245e-06
2023-03-25 01:30:00,-2.154459785144599e-06,2.3643727860327213e-05,1.9854032359803903e-06
2023-03-25 01:45:00,-2.159768522506998e-06,2.3604713367958316e-05,1.9781583172775077e-06
2023-03-25 02:00:00,-2.1649465005037647e-06,2.356691363150279e-05,1.9706982977937238e-06
2023-03-25 02:15:00,-2.1689982912026058e-06,2.352904452158778e-05,1.963022332608465e-06
2023-03-25 02:30:00,-2.1722958837900013e-06,2.348935535264458e-05,1.955382245136283e-06
2023-03-25 02:45:00,-2.174728921948637e-06,2.3447795195368043e-05,1.9476819775138137e-06
2023-03-25 03:00:00,-2.1764723740218198e-06,2.340979113773269e-05,1.9399059253632395e-06
2023-03-25 03:15:00,-2.1767124726598266e-06,2.3370071411426118e-05,1.932125513225713e-06
2023-03-25 03:30:00,-2.1762804997454054e-06,2.333024018564261e-05,1.9243513320655623e-06
2023-03-25 03:45:00,-2.175176213641037e-06,2.3292651353249657e-05,1.916694393664756e-06
2023-03-25 04:00:00,-2.1731862257645706e-06,2.325736507156875e-05,1.9089859884237844e-06
2023-03-25 04:15:00,-2.1700620916169657e-06,2.322024557403625e-05,1.9013566357676459e-06
2023-03-25 04:30:00,-2.1659369676769316e-06,2.3179308679616593e-05,1.893930870583465e-06
2023-03-25 04:45:00,-2.161710264115305e-06,2.3144249201927357e-05,1.8866811119667817e-06
2023-03-25 05:00:00,-2.1569759059549255e-06,2.31091868145623e-05,1.8792928487797657e-06
2023-03-25 05:15:00,-2.151410704443832e-06,2.307266668751682e-05,1.87262147524174e-06
2023-03-25 05:30:00,-2.145458221148173e-06,2.303617439951684e-05,1.8661306890572356e-06
2023-03-25 05:45:00,-2.139147847803791e-06,2.2999693982763967e-05,1.8598263940515894e-06
2023-03-25 06:00:00,-2.1325280079768238e-06,2.296320754207726e-05,1.8537135478197086e-06
2023-03-25 06:15:00,-2.1253930495571034e-06,2.2927142157621492e-05,1.8477265167409067e-06
2023-03-25 06:30:00,-2.1183195421756345e-06,2.2892165235015453e-05,1.8423191251278962e-06
2023-03-25 06:45:00,-2.1106758219258314e-06,2.285484348053105e-05,1.8371238882518777e-06
2023-03-25 07:00:00,-2.1031553117546977e-06,2.2818597190841606e-05,1.8321363877655365e-06
2023-03-25 07:15:00,-2.095630476893937e-06,2.2782250824006445e-05,1.8276717399358994e-06
2023-03-25 07:30:00,-2.08818812007884e-06,2.2745776943507434e-05,1.8233980147447535e-06
2023-03-25 07:45:00,-2.080754455311229e-06,2.2708398227801836e-05,1.8193042940905616e-06
2023-03-25 08:00:00,-2.0735091878982315e-06,2.267206718814529e-05,1.815346685284043e-06
2023-03-25 08:15:00,-2.0664910896322557e-06,2.2634593607322775e-05,1.8115840220493685e-06
2023-03-25 08:30:00,-2.059888036241157e-06,2.259756482387546e-05,1.8082624448419224e-06
2023-03-25 08:45:00,-2.053978270294624e-06,2.256071233264951e-05,1.8047564944359965e-06
2023-03-25 09:00:00,-2.048626887694663e-06,2.2523328949858558e-05,1.8016656487030377e-06
2023-03-25 09:15:00,-2.044138760531057e-06,2.2485730583363272e-05,1.7986608252274494e-06
2023-03-25 09:30:00,-2.040853312671254e-06,2.2448021154047375e-05,1.7960251831814652e-06
2023-03-25 09:45:00,-2.039074044213363e-06,2.2409450302239705e-05,1.7931112183801076e-06
2023-03-25 10:00:00,-2.0388519712960507e-06,2.2370200751516648e-05,1.7904615497054677e-06
2023-03-25 10:15:00,-2.0398220748034147e-06,2.2330001694179873e-05,1.787736699120509e-06
2023-03-25 10:30:00,-2.042056615587167e-06,2.228849716541187e-05,1.7848598365176812e-06
2023-03-25 10:45:00,-2.045993044562252e-06,2.2246476863716917e-05,1.7815690816975524e-06
2023-03-25 11:00:00,-2.051619434897389e-06,2.2203743547420663e-05,1.7782589575276768e-06
2023-03-25 11:15:00,-2.0580868970393833e-06,2.2158040780704446e-05,1.7746957326786626e-06
2023-03-25 11:30:00,-2.0655253705628562e-06,2.211123644578603e-05,1.7706724145768321e-06
2023-03-25 11:45:00,-2.073970831036002e-06,2.206186401033029e-05,1.7662495711015676e-06
2023-03-25 12:00:00,-2.082957938295922e-06,2.201087938606336e-05,1.7612112695517404e-06
2023-03-25 12:15:00,-2.092507119308873e-06,2.1960307674655308e-05,1.7555855241562625e-06
2023-03-25 12:30:00,-2.1017995190752034e-06,2.190646082059041e-05,1.7494042364610208e-06
2023-03-25 12:45:00,-2.1104722032325563e-06,2.18521825618235e-05,1.7425279649902381e-06
