Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
01,2023,07,13,17,22,22,0.371,0.089,0.343,48.289,47.705,1.087,118.805,-86.609,16526.19,14.553
01,2023,07,13,17,22,22,0.362,0.051,-0.745,46.254,46.615,0.609,139.871,19.211,16552.32,14.553
01,2023,07,13,17,22,23,0.41,-0.006,1.174,48.224,47.007,0.565,146.655,71.854,16542.14,14.553
01,2023,07,13,17,22,23,0.128,0.071,2.319,47.151,47.291,0.413,87.646,107.358,16541.06,14.553
01,2023,07,13,17,22,24,0.302,0.068,0.79,48.792,47.116,0.696,42.975,150.905,16549.64,14.553
01,2023,07,13,17,22,24,0.28,0.011,-0.234,47.917,47.901,0.478,-4.718,155.636,16523.46,14.553
01,2023,07,13,17,22,25,0.374,0.027,2.148,48.092,47.814,0.456,1.706,170.061,16528.15,14.553
01,2023,07,13,17,22,25,0.324,0.081,2.633,47.523,48.577,0.152,53.273,180.638,16499.77,14.553
01,2023,07,13,17,22,26,0.389,0.053,0.555,47.436,46.637,0.717,145.662,156.476,16526.68,14.553
01,2023,07,13,17,22,26,0.182,-0.002,0.233,47.239,45.939,0.283,154.992,73.036,16511.81,14.553
01,2023,07,13,17,22,27,0.358,0.103,0.575,47.873,45.067,0.304,95.973,129.476,16521.67,14.553
01,2023,07,13,17,22,27,0.366,0.098,0.108,47.261,47.203,0.826,41.68,136.079,16514.6,14.553
01,2023,07,13,17,22,28,0.284,0.091,0.182,48.924,46.898,0.5,28.843,174.819,16536.38,14.553
01,2023,07,13,17,22,28,0.366,0.022,0.136,47.523,46.528,0.391,21.014,197.199,16531.22,14.553
01,2023,07,13,17,22,29,0.353,0.052,0.181,46.473,46.375,1.435,87.738,55.746,16508.09,14.553
01,2023,07,13,17,22,29,0.361,0.003,-0.828,47.852,46.288,0.522,84.941,-100.615,16543.6,14.553
01,2023,07,13,17,22,30,0.316,-0.061,-0.141,47.064,47.465,0.435,105.389,-238.747,16510.33,14.553
01,2023,07,13,17,22,30,0.393,-0.034,-0.433,45.751,47.465,0.369,111.282,-291.318,16531.85,14.553
01,2023,07,13,17,22,31,0.45,0.018,-0.621,47.808,48.119,0.63,125.535,-296.053,16543.26,14.553
01,2023,07,13,17,22,31,0.486,0.058,0.487,47.02,47.182,1.304,120.677,-326.544,16533.98,14.553
01,2023,07,13,17,22,32,0.352,0.042,0.514,45.226,46.201,0.587,147.651,-336.086,16550.4,14.553
02,2023,07,13,17,37,31,0.512,-0.066,0.052,44.679,45.503,47.426,139.424,-49.133,16560.8,14.541
02,2023,07,13,17,37,31,0.285,0.004,0.099,45.729,44.238,46.274,206.736,-62.849,16544.46,14.528
02,2023,07,13,17,37,32,0.427,-0.058,-0.212,47.348,45.285,46.861,159.048,-24.323,16533.86,14.517
02,2023,07,13,17,37,32,0.39,-0.036,-0.037,45.62,46.026,47.947,148.011,-6.745,16527.12,14.517
02,2023,07,13,17,37,33,0.263,-0.064,-0.091,47.655,45.83,45.861,179.464,-14.336,16573.96,14.517
02,2023,07,13,17,37,33,0.504,-0.033,-0.287,44.548,45.808,46.274,151.499,60.511,16532.73,14.517
02,2023,07,13,17,37,34,0.446,-0.074,0.481,47.37,46.658,46.817,113.866,11.76,16585.73,14.517
02,2023,07,13,17,37,34,0.387,-0.053,-0.101,47.042,46.615,47.208,117.525,12.828,16544.15,14.517
02,2023,07,13,17,37,35,0.508,-0.08,-0.423,47.567,44.762,46.643,64.904,78.894,16558.77,14.517
02,2023,07,13,17,37,35,0.441,-0.008,0.051,46.123,45.328,46.904,127.56,78.274,16535.45,14.509
02,2023,07,13,17,37,36,0.588,-0.098,-0.355,46.429,49.275,47.708,58.912,165.379,16562.43,14.491
02,2023,07,13,17,37,36,0.416,0.004,-0.123,47.13,44.936,45.557,107.087,106.981,16518.87,14.488
02,2023,07,13,17,37,37,0.518,-0.027,-0.274,46.692,46.179,46.948,55.964,163.499,16538.42,14.484
02,2023,07,13,17,37,37,0.433,-0.028,0.011,45.379,46.484,47.143,73.593,211.66,16558.82,14.48
02,2023,07,13,17,37,38,0.713,-0.013,-0.292,47.086,46.876,47.73,78.728,232.176,16537.81,14.48
02,2023,07,13,17,37,38,0.437,0.049,0.038,45.664,45.001,48.295,88.284,227.347,16539.58,14.48
02,2023,07,13,17,37,39,0.408,-0.09,-0.191,45.664,47.509,46.839,90.184,267.236,16531.11,14.48
02,2023,07,13,17,37,39,0.396,-0.012,-0.128,45.051,46.484,48.578,42.27,306.02,16541.31,14.48
02,2023,07,13,17,37,40,0.514,-0.033,-0.573,46.495,46.244,47.817,121.773,187.057,16530.84,14.48
02,2023,07,13,17,37,40,0.364,-0.013,-0.161,45.97,45.786,46.382,96.46,283.439,16550.17,14.48
02,2023,07,13,17,37,41,0.423,-0.023,-0.122,45.423,43.671,48.839,98.259,291.252,16535.69,14.48
02,2023,07,13,17,37,41,0.248,0.013,0.098,48.136,45.634,47.839,138.434,324.641,16535.71,14.48
02,2023,07,13,17,37,42,0.437,-0.039,0.031,45.817,46.549,47.339,104.71,294.379,16532.53,14.48
02,2023,07,13,17,37,42,0.406,-0.042,0.173,44.832,45.394,47.295,36.01,299.455,16525.32,14.48
02,2023,07,13,17,37,43,0.438,-0.015,-0.013,46.407,45.655,46.143,82.692,297.278,16498.65,14.48
02,2023,07,13,17,37,43,0.369,-0.06,0.127,44.81,46.637,46.361,69.662,267.027,16505.28,14.47
02,2023,07,13,17,37,44,0.464,-0.023,-0.087,45.554,46.048,48.339,64.584,283.466,16538.63,14.459
02,2023,07,13,17,37,44,0.427,-0.044,0.226,47.13,46.026,46.948,98.435,255.639,16502.53,14.448
02,2023,07,13,17,37,45,0.35,-0.001,-0.086,46.648,46.157,48.034,13.686,326.848,16531.14,14.444
02,2023,07,13,17,37,45,0.637,0.028,0.164,46.407,47.945,47.361,27.995,365.507,16558.02,14.444
02,2023,07,13,17,37,46,0.382,0.032,0.131,47.305,45.045,45.535,88.452,281.881,16550.11,14.444
02,2023,07,13,17,37,46,0.525,-0.036,-0.141,45.292,43.846,45.013,104.941,324.697,16525.75,14.444
02,2023,07,13,17,37,47,0.456,0.053,0.119,45.313,47.705,47.426,82.325,336.329,16550.96,14.444
02,2023,07,13,17,37,47,0.418,-0.077,-0.138,45.904,45.503,47.208,49.252,369.704,16518.19,14.444
