Date_Time,rms,maa,peak,mean_envelope,std_envelope,p90_envelope,date_str,tau
2022-05-05 16:15:00,4.908546156170636e-06,3.7794282927774737e-06,0.0001215963699893847,5.956904974357812e-06,3.564115396260389e-06,1.029817223602004e-05,050522-161500,0.410942042
2022-05-05 18:00:00,5.084054653459272e-06,3.948634188223986e-06,6.658848832752019e-05,6.222253843197748e-06,3.6026060530874886e-06,1.0820251890851286e-05,050522-180000,0.357878836
2022-05-05 20:30:00,5.23453725025693e-06,4.086121067529821e-06,6.851858943846281e-05,6.43590372697149e-06,3.657840860799785e-06,1.112604565016016e-05,050522-203000,0.351041533
2022-05-05 21:15:00,5.0403603482784085e-06,3.930878498053158e-06,5.886808388374974e-05,6.197981263221967e-06,3.5207196890429503e-06,1.075539847760505e-05,050522-211500,0.342125769
2022-05-05 23:45:00,4.980931620884954e-06,3.881955249201923e-06,6.948363999393412e-05,6.118791511580203e-06,3.4899482520891874e-06,1.0638154654656178e-05,050522-234500,0.294029353
2022-05-06 00:30:00,5.167773660239105e-06,4.032104496302488e-06,4.728747721809405e-05,6.348981148704019e-06,3.619686381476621e-06,1.0997579832385581e-05,050622-003000,0.287850869
2022-05-06 01:45:00,5.044276943245981e-06,3.932409230170056e-06,7.334384221581935e-05,6.202416973122763e-06,3.5241283969914397e-06,1.0743845659587202e-05,050622-014500,0.288544776
2022-05-06 02:45:00,5.1132170272184604e-06,3.986495463021007e-06,7.816909499317589e-05,6.277296121009362e-06,3.5896409008959347e-06,1.0828113282235587e-05,050622-024500,0.30209801
2022-05-06 03:30:00,5.136944286781152e-06,4.009434926262475e-06,8.202929721506111e-05,6.3196270969288644e-06,3.5831139685854987e-06,1.0923994936560656e-05,050622-033000,0.309926425
2022-05-06 05:30:00,5.1203007555772845e-06,4.004286895805001e-06,7.720404443770458e-05,6.316093731642226e-06,3.5414492609679635e-06,1.0899080430641322e-05,050622-053000,0.311552097
2022-05-06 06:30:00,5.15439328138612e-06,4.0450600994133926e-06,4.3427274996208825e-05,6.371393996220716e-06,3.5413078535466106e-06,1.1015028017422269e-05,050622-063000,0.305215313
2022-05-06 06:45:00,5.14751134823541e-06,4.018190042885336e-06,6.75535388829915e-05,6.332173834874403e-06,3.591282945457988e-06,1.0948742165190541e-05,050622-064500,0.300246771
2022-05-06 07:30:00,5.1577920266826125e-06,4.020371801170608e-06,5.790303332827843e-05,6.33784240684233e-06,3.6107299126235057e-06,1.0963688629099458e-05,050622-073000,0.296047002
