Date,Year,Day of Year,Day of Run,Average Air Temperature,Average Air Temperature,Average Air Temperature,Snow Depth,Precipitation
2/24/2023,2023,55,177,29.2,38.2,20.6,33.55,0
2/25/2023,2023,56,178,30.6,45.1,19.8,33.28,0
2/26/2023,2023,57,179,26.7,39.6,15.9,33.88,0.1
2/27/2023,2023,58,180,22,35.7,5.1,34.95,0
2/28/2023,2023,59,181,27.4,36.4,21.3,34.42,0
3/1/2023,2023,60,182,23.9,33.7,6.7,34.09,0.02
3/2/2023,2023,61,183,26.7,35,12.2,37.23,0.4
3/3/2023,2023,62,184,26.2,40.9,9.8,35.86,0
3/4/2023,2023,63,185,27.7,40.4,10.2,35.13,0
3/5/2023,2023,64,186,34.6,41.8,22.7,34.71,0
