Date_Time,Pressure,Temperature,Barom,WC,WSE
2022-03-15 14:45:00,749.417,7.137,750.836,-1.4185154281345391,2737.107314845719
2022-03-15 15:00:00,749.067,7.287,750.6413333333334,-1.5737957169555108,2737.1057620428305
2022-03-15 15:15:00,748.892,7.477,750.4663333333333,-1.5737957169553973,2737.1057620428305
2022-03-15 15:30:00,749.067,7.583,750.486,-1.4185154281345391,2737.107314845719
2022-03-15 15:45:00,748.717,7.55,750.292,-1.574462155963348,2737.105755378441
2022-03-15 16:00:00,748.892,7.57,750.292,-1.3995219164118018,2737.1075047808363
2022-03-15 16:15:00,748.717,7.503,750.1946666666666,-1.4771620608222877,2737.106728379392
2022-03-15 16:30:00,748.483,7.327,750.0,-1.5164819622834371,2737.1063351803773
2022-03-15 16:45:00,748.133,7.123,749.8833333333333,-1.7497356150186425,2737.10400264385
2022-03-15 17:00:00,747.958,6.91,749.7083333333334,-1.7497356150187562,2737.10400264385
2022-03-15 17:15:00,747.958,6.68,749.7083333333334,-1.7497356150187562,2737.10400264385
2022-03-15 17:30:00,747.783,6.463,749.475,-1.6914222018348695,2737.104585777982
2022-03-15 17:45:00,747.783,6.24,749.5333333333333,-1.7497356150186425,2737.10400264385
2022-03-15 18:00:00,747.783,6.017,749.5526666666666,-1.7690623462452417,2737.103809376538
2022-03-15 18:15:00,747.783,5.813,749.358,-1.5744621559632346,2737.105755378441
2022-03-15 18:30:00,747.783,5.603,749.2996666666667,-1.5161487427794615,2737.1063385125726
2022-03-15 18:45:00,747.783,5.4,749.183,-1.3995219164118018,2737.1075047808363
2022-03-15 19:00:00,747.783,5.197,749.1443333333333,-1.36086845395849,2737.1078913154606
2022-03-15 19:15:00,747.783,4.993,749.067,-1.2835615290519795,2737.1086643847098
2022-03-15 19:30:00,747.783,4.813,749.067,-1.2835615290519795,2737.1086643847098
2022-03-15 19:45:00,747.783,4.623,749.067,-1.2835615290519795,2737.1086643847098
2022-03-15 20:00:00,747.608,4.44,749.067,-1.4585017686035258,2737.1069149823143
2022-03-15 20:15:00,747.608,4.257,749.067,-1.4585017686035258,2737.1069149823143
2022-03-15 20:30:00,747.783,4.09,749.067,-1.2835615290519795,2737.1086643847098
2022-03-15 20:45:00,747.783,3.92,749.1056666666667,-1.3222149915052916,2737.108277850085
2022-03-15 21:00:00,747.783,3.77,749.183,-1.3995219164118018,2737.1075047808363
2022-03-15 21:15:00,747.958,3.597,749.183,-1.2245816768603692,2737.1092541832318
2022-03-15 21:30:00,747.783,3.453,749.183,-1.3995219164118018,2737.1075047808363
2022-03-15 21:45:00,747.608,3.323,749.1443333333333,-1.5358086935100361,2737.106141913065
2022-03-15 22:00:00,747.608,3.217,749.067,-1.4585017686035258,2737.1069149823143
2022-03-15 22:15:00,747.608,3.117,749.1056666666667,-1.4971552310568377,2737.1065284476895
2022-03-15 22:30:00,747.608,3.033,749.1443333333333,-1.5358086935100361,2737.106141913065
