sample,sediment (mg),SSC (mg/L)_x,D50,datetime,depth,volconc,0.37,0.44,0.52,0.61,0.72,0.85,1.01,1.19,1.4,1.65,1.95,2.3,2.72,3.2,3.78,4.46,5.27,6.21,7.33,8.65,10.21,12.05,14.22,16.78,19.81,23.37,27.58,32.55,38.41,45.32,53.48,63.11,74.48,87.89,103.72,122.39,144.43,170.44,201.13,237.35,280.09,330.52,390.04,460.27,SSC (mg/L)_y,Q,P3,Turbidity (FNU),Clay,Silt,Fine_Sand,Coarse_Sand,Fine/Sand
ST6-U3,0.0072,36,52.12,8/28/2023 12:50,20.12,104.005,0.000590356,0.000630739,0.000692274,0.000782655,0.000890342,0.001017259,0.001228787,0.001709533,0.002586414,0.003340224,0.004074804,0.00503245,0.005845873,0.006866978,0.008053459,0.00979376,0.01188789,0.014118552,0.01624345,0.018729869,0.02153358,0.024308447,0.028110187,0.032217682,0.036657853,0.040959569,0.045670881,0.050234123,0.055258882,0.060008653,0.063243113,0.06541224,0.062954666,0.058422191,0.050462959,0.042765252,0.034988702,0.027933272,0.021372049,0.016703043,0.013430124,0.011418682,0.010386039,0.011432143,35.967,0.005815754,0.1712,15.3060188,0.631561932,8.61840108,24.46871587,1.869763968,0.351195782
ST6-U4,0.0062,28.837,57.696,8/28/2023 13:05,20.02333333,88.1434,0.000601293,0.000635328,0.000703399,0.000782815,0.000884922,0.001009718,0.001225276,0.001724463,0.002598039,0.003369509,0.004129634,0.005105317,0.005910823,0.006920541,0.008032365,0.009632031,0.011503981,0.013478037,0.015384022,0.017630361,0.02020571,0.022690298,0.026093843,0.029769671,0.033638367,0.037404956,0.041455174,0.045403286,0.050111523,0.054944556,0.058972084,0.062795399,0.062795399,0.061241114,0.055080698,0.048216883,0.04071774,0.033751818,0.02663841,0.021136012,0.016529882,0.013398621,0.012003168,0.013716285,29.308,0.005630325,0.170233333,12.9180354,0.509388187,6.517028398,19.59557893,1.818682775,0.328118554
ST6-U5,0.0065,29.545,56.002,8/28/2023 13:20,19.94666667,92.2554,0.000574492,0.000607011,0.000661208,0.000737084,0.000834639,0.000953874,0.001148984,0.001593403,0.002384684,0.003067571,0.003728779,0.004606776,0.005322182,0.006254376,0.007294966,0.008812492,0.010611845,0.01257379,0.014524895,0.016833703,0.019521892,0.022210082,0.025938861,0.030112058,0.034653798,0.039260574,0.044225053,0.049048619,0.054533393,0.059595427,0.063302528,0.066088272,0.064614104,0.06139478,0.053926383,0.046035246,0.038068232,0.030990056,0.024182866,0.019044956,0.01483924,0.01195594,0.010763598,0.01257379,25.099,0.006016802,0.169466667,11.4082773,0.481339133,6.478382849,20.54162017,1.672357321,0.313303729
ST6-U8,0.0051,26.842,55.464,8/28/2023 14:05,19.66,82.4976,0.0006182,0.000654564,0.000727294,0.000824266,0.000957604,0.001090941,0.001321251,0.001842478,0.002763717,0.003575862,0.004351642,0.005406218,0.006242606,0.00735779,0.008533582,0.010254844,0.01224278,0.014279203,0.016145924,0.018339927,0.02083697,0.023152189,0.026473497,0.030255426,0.034522216,0.038922344,0.04345581,0.047116522,0.050656019,0.054607649,0.057310758,0.059541126,0.058971413,0.05693499,0.051298462,0.045698299,0.038970831,0.033322181,0.026788658,0.021806695,0.01743081,0.014557999,0.013539788,0.01626714,23.063,0.006209686,0.1666,10.6780675,0.502692118,6.282186823,17.81221865,1.807413908,0.345820897
ST6-U10,0.0048,24,47.873,8/28/2023 14:35,20.02333333,69.3955,0.000561996,0.000605227,0.000677277,0.000778148,0.00090784,0.001066352,0.001296914,0.00180127,0.002709109,0.003501668,0.004250996,0.005274117,0.007075387,0.011167871,0.014121953,0.013257344,0.013632008,0.016312297,0.020361551,0.022292512,0.024425215,0.027581039,0.030059586,0.033907098,0.038431887,0.042178527,0.045766656,0.04797141,0.050507598,0.053331988,0.055536742,0.056343711,0.054600082,0.051790102,0.045824297,0.040189926,0.033791816,0.028805902,0.023142711,0.019021406,0.015332406,0.01288268,0.012147762,0.01479923,23.778,0.006293233,0.170233333,10.9346277,0.435763128,6.66959676,15.11475523,1.425222096,0.429587039
ST7-U1,0.008,30.769,42.82066667,9/14/2023 17:45,19.89,95.963,0.000593979,0.000646082,0.000719027,0.000833655,0.000969124,0.001125434,0.001385951,0.001948668,0.003011577,0.00397028,0.004897721,0.006158624,0.00716943,0.008451174,0.009857966,0.011806634,0.014026239,0.016245845,0.018298719,0.020726738,0.023488219,0.026176756,0.030094932,0.034825922,0.040609402,0.04775799,0.05614664,0.063159759,0.068557673,0.072705105,0.073121932,0.070433396,0.064295614,0.055208778,0.044131592,0.033961006,0.024248929,0.0164751,0.01006638,0.005731376,0.002959474,0.001479737,0.000823234,0.000677344,27.39,0.009057274,0.1689,12.23,0.618502992,8.244141245,21.54660437,0.338268878,0.40496667
ST7-U2,0.008,30.189,33.83033333,9/14/2023 18:00,20.18,80.181,0.000748307,0.000748307,0.000873025,0.000997743,0.00112246,0.001371896,0.001621332,0.002369639,0.003616817,0.004863995,0.005986456,0.00748307,0.008730248,0.01035158,0.011972911,0.01434255,0.017086342,0.019954852,0.022573926,0.025691872,0.029558125,0.03329966,0.038537808,0.044524264,0.051383744,0.058617378,0.065601576,0.068719522,0.068968958,0.068095933,0.064104963,0.057619636,0.050261284,0.041531036,0.032177199,0.024319976,0.016836906,0.011224604,0.006485327,0.003367381,0.001496614,0.000623589,0.000249436,0.000249436,32.576,0.010513211,0.1718,14.09,0.734195786,10.12813635,19.15686159,0.173194897,0.56194001
ST7-U3,0.007,29.167,29.13533333,9/14/2023 18:15,20.07,70.50933333,0.000709126,0.000850951,0.000850951,0.000992776,0.001276427,0.001418252,0.001843728,0.002552854,0.003971105,0.005247532,0.006382134,0.008084036,0.009502288,0.011487841,0.013615219,0.016593548,0.020422828,0.024393934,0.027939564,0.031910669,0.036165425,0.03956923,0.044391286,0.049780644,0.055737302,0.062119436,0.067934269,0.069636171,0.068076094,0.065381415,0.059424757,0.051198896,0.042547559,0.033328921,0.024252108,0.017302674,0.011062365,0.006665784,0.003403805,0.001560077,0.000567301,0.000141825,0.000141825,0,29.732,0.00776987,0.1707,13.07,0.761137249,11.36328277,16.98494319,0.070322454,0.710890131
ST7-U5,0.0049,20.417,36.50933333,9/14/2023 18:45,19.72,64.43533333,0.000651816,0.000698375,0.000775972,0.000884608,0.001024283,0.001210516,0.001458827,0.002033046,0.003088368,0.003972975,0.004795506,0.005990502,0.006906149,0.00824082,0.009715167,0.011918926,0.014758983,0.017987026,0.021308185,0.025141486,0.029347253,0.03299432,0.037619112,0.042585331,0.048296483,0.055233671,0.063303777,0.069340838,0.073344852,0.075362379,0.072925827,0.067400908,0.057934053,0.046309996,0.033909967,0.023232595,0.0142934,0.00796147,0.003740184,0.001536424,0.000527661,0.000170714,6.21E-05,3.10E-05,22.678,0.007068186,0.1672,10.54,0.42047366,6.386636523,13.5628889,0.046895787,0.500162959
ST7-U7,0.0045,18,35.379,9/14/2023 19:15,19.54,52.79766667,0.000568207,0.000625028,0.000700789,0.00081443,0.000965952,0.001136414,0.001382637,0.001931904,0.002992556,0.003920628,0.004810819,0.006231336,0.007254108,0.008826148,0.010436067,0.012765716,0.015530989,0.018353084,0.020985776,0.024186675,0.028031542,0.031933229,0.037350135,0.04344889,0.050343134,0.058165449,0.066631732,0.072503204,0.075874565,0.076594294,0.072692606,0.065987765,0.055305474,0.043259487,0.031005158,0.021004716,0.012879357,0.007121527,0.003333481,0.001363697,0.000473506,0.000151522,5.68E-05,3.79E-05,16.906,0.006847049,0.1654,8.47,0.357288552,5.682182922,11.92245867,0.03681945,0.505003012
