Date_Time,Q (L/s),SSC (mg/L)
4/20/2023 13:45,257.7929539,10.2231
4/20/2023 14:00,244.3327864,9.713185
4/20/2023 14:15,218.7053465,10.45653
4/20/2023 14:30,238.6011181,9.819047
4/20/2023 14:45,204.7194164,13.54365
4/20/2023 15:00,249.6438286,12.775191
4/20/2023 15:15,221.1129549,11.84244
4/20/2023 15:30,236.0335857,11.00121
4/20/2023 15:45,241.1921873,11.52557
4/20/2023 16:00,223.5428987,9.594249
4/20/2023 16:15,244.3327864,12.2525
4/20/2023 16:30,197.5742996,10.25287
4/20/2023 16:45,286.5983936,10.2577
4/20/2023 17:00,223.5428987,10.12477
4/20/2023 17:15,257.7929539,9.836295
4/20/2023 17:30,257.7929539,9.056674
4/20/2023 17:45,249.6438286,9.61454
4/20/2023 18:00,252.3356821,13.88583
4/20/2023 18:15,244.3327864,10.60501
4/20/2023 18:30,244.3327864,12.5096456
4/20/2023 18:45,257.7929539,10.56295
4/20/2023 19:00,218.7053465,9.809132
4/20/2023 19:15,249.6438286,8.553005
4/20/2023 19:30,257.7929539,9.765636
4/20/2023 19:45,241.7132411,8.031711
4/20/2023 20:00,211.6148615,9.48889
4/20/2023 20:15,266.1655026,11.49526
4/20/2023 20:30,255.0519969,13.57149
4/20/2023 20:45,241.1921873,11.60927
4/20/2023 21:00,241.7132411,8.326635
4/20/2023 21:15,228.4704679,9.244319
4/20/2023 21:30,221.1129549,13.03298
4/20/2023 21:45,263.3495232,11.09029
4/20/2023 22:00,236.0335857,9.469188
4/20/2023 22:15,236.0335857,8.138268
4/20/2023 22:30,233.4894154,11.15217
4/20/2023 22:45,221.1129549,9.633142
4/20/2023 23:00,213.956466,9.5272174
4/20/2023 23:15,241.1921873,9.925587
4/20/2023 23:30,241.1921873,14.17064
4/20/2023 23:45,255.0519969,9.449998
4/21/2023 0:00,241.1921873,9.933173
4/21/2023 0:15,213.956466,8.505061
4/21/2023 0:30,221.1129549,8.421017
4/21/2023 0:45,216.3199058,8.263618
4/21/2023 1:00,213.956466,11.85403
4/21/2023 1:15,233.4894154,8.333714
4/21/2023 1:30,246.9762563,8.181873
4/21/2023 1:45,263.3495232,8.8883928
4/21/2023 2:00,213.956466,8.37754334
4/21/2023 2:15,221.1129549,7.793505
4/21/2023 2:30,233.4894154,9.683845
4/21/2023 2:45,228.4704679,10.15499
4/21/2023 3:00,228.4704679,10.76337
4/21/2023 3:15,209.2949274,11.61666
4/21/2023 3:30,233.4894154,14.13397
4/21/2023 3:45,228.4704679,8.810134
4/21/2023 4:00,233.4894154,8.210626
4/21/2023 4:15,233.4894154,7.658206
4/21/2023 4:30,228.4704679,7.927142
4/21/2023 4:45,257.7929539,8.430359
4/21/2023 5:00,241.1921873,8.09129
4/21/2023 5:15,241.1921873,12.03306
4/21/2023 5:30,241.1921873,8.372559
4/21/2023 5:45,236.0335857,9.225978
4/21/2023 6:00,223.5428987,7.462435
4/21/2023 6:15,202.014862,7.172431
4/21/2023 6:30,228.4704679,9.739391
4/21/2023 6:45,228.4704679,10.53329
4/21/2023 7:00,225.9953465,9.517488
4/21/2023 7:15,204.7194164,8.381696
4/21/2023 7:30,213.956466,9.7278473
4/21/2023 7:45,213.956466,14.15087
4/21/2023 8:00,233.4894154,9.392239
4/21/2023 8:15,213.956466,9.418756
4/21/2023 8:30,213.956466,11.96921
4/21/2023 8:45,206.9965,8.060939
4/21/2023 9:00,178.1933354,8.436213
4/21/2023 9:15,202.014862,8.828076
4/21/2023 9:30,225.9953465,7.885979
4/21/2023 9:45,197.5742996,8.526469
4/21/2023 10:00,197.5742996,8.485124
4/21/2023 10:15,186.8318754,8.3712367
4/21/2023 10:30,195.3851031,10.21869
4/21/2023 10:45,197.5742996,8.959034
4/21/2023 11:00,184.74368,8.734291
4/21/2023 11:15,184.74368,8.742898
4/21/2023 11:30,202.014862,9.457735
4/21/2023 11:45,178.1933354,7.409592
4/21/2023 12:00,184.74368,9.909884
4/21/2023 12:15,180.2189086,8.652264
4/21/2023 12:30,174.1997964,9.401575
4/21/2023 12:45,164.168488,7.901646
4/21/2023 13:00,180.2189086,9.444654
4/21/2023 13:15,193.216419,7.989983
4/21/2023 13:30,180.2189086,9.345096
4/21/2023 13:45,197.5742996,7.488872
4/21/2023 14:00,170.2820752,10.57808
4/21/2023 14:15,180.2189086,9.118625
4/21/2023 14:30,197.5742996,9.073471
4/21/2023 14:45,218.7053465,12.32141
4/21/2023 15:00,216.3199058,12.1642317
4/21/2023 15:15,209.2949274,13.89808
4/21/2023 15:30,204.7194164,9.065085
