sample,ST5-D1,ST5-D2,ST5-D3,ST5-D4,ST5-D5,ST5-U1,ST5-U2,ST5-U3,ST5-U4,ST5-U5,ST5-U6,ST5-U7,ST5-U8,ST5-U9,ST5-U10,ST5-U11,ST5-U12,ST4-U1,ST4-U2,ST4-U3,ST4-U4,ST4-U5,ST4-U6,ST4-U7,ST4-U8,ST4-U9,ST4-U10,ST4-U11,ST4-U12,ST4-U13,ST4-U14,ST4-U15,ST4-U16,ST4-U17,ST4-U18,ST4-U19,ST4-U20,ST4-U21,ST4-U22,ST4-U24,ST4-D1,ST4-D2,ST4-D3,ST4-D4,ST4-D5,ST6-U1,ST6-U2,ST6-U3,ST6-U4,ST6-U5,ST6-U6,ST6-U7,ST6-U8,ST6-U9,ST6-U10,ST6-U11,ST6-U12,ST7-U1,ST7-U2,ST7-U3,ST7-U4,ST7-U5,ST7-U6,ST7-U7,ST7-U8,ST7-U9,ST7-D1,ST7-D2,ST7-D3,ST7-D4,ST7-D5,ST7-D6
lab_ID,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,446,447,448,449,450,451,452,-,453,-,454,-,-,455,-,-,-,-,-,-,-,-,-,440,441,442,443,444,476,477,478,479,480,-,-,481,-,482,-,-,490,491,492,-,493,-,494,-,-,484,485,486,-,487,488
3.78,1.833,1.1974,0.9278,0.72675,0.589,1.097,0.839,0.729,0.587,0.547,0.425,0.451,0.262,0.51,0.609,0.559,0.461,2.501,2.663,2.481,1.5292,1.431,1.024,0.671,0.729,0.652,0.6344,0.6812,0.522,0.4866,0.483,0.559,0.3952,0.2478,0.3668,0.333,0.272,0.289,0.2404,0.231,2.418,2.565,2.265,1.315,1.2332,1.4804,0.8694,0.8376,0.708,0.673,0.635,0.641,0.704,0.641,0.980,0.529,0.430,0.946,0.96,0.96,0.868,0.626,0.557,0.551,0.443,0.426,1.004,0.971,1.115,0.652,0.609,0.641
4.46,2.20275,1.4574,1.135,0.88075,0.7105,1.342,1.018,0.8795,0.709,0.653,0.516,0.554,0.317,0.617,0.738,0.671,0.556,3.018,3.199,2.971,1.8422,1.707,1.253,0.812,0.878,0.782,0.7546,0.816,0.6285,0.5946,0.576,0.666,0.476,0.2948,0.4348,0.402,0.330,0.353,0.2894,0.279,2.93,3.075,2.744,1.583,1.524,1.8092,1.0472,1.0186,0.849,0.813,0.763,0.615,0.846,0.769,0.920,0.626,0.511,1.133,1.15,1.17,1.038,0.768,0.664,0.674,0.530,0.494,1.205,1.171,0.990,0.792,0.740,0.748
5.27,2.63225,1.7646,1.3832,1.062,0.8508,1.618,1.225,1.0505,0.851,0.774,0.621,0.669,0.382,0.739,0.889,0.802,0.667,3.615,3.821,3.527,2.1954,2.008,1.518,0.977,1.039,0.928,0.8846,0.959,0.748,0.7244,0.685,0.789,0.5708,0.3496,0.5122,0.482,0.399,0.426,0.3466,0.331,3.538,3.678,3.316,1.915,1.8714,2.2042,1.2598,1.2364,1.014,0.979,0.916,0.644,1.010,0.919,0.946,0.739,0.608,1.346,1.37,1.44,1.224,0.951,0.787,0.820,0.633,0.576,1.436,1.407,0.972,0.960,0.903,0.864
6.21,3.0715,2.0794,1.6412,1.25175,0.995,1.878,1.437,1.2195,0.995,0.894,0.731,0.778,0.449,0.864,1.051,0.938,0.786,4.215,4.457,4.061,2.5316,2.284,1.781,1.149,1.188,1.074,1.0042,1.0842,0.8655,0.8636,0.8038,0.921,0.6748,0.4116,0.595,0.567,0.474,0.499,0.4078,0.383,4.176,4.322,3.920,2.294,2.221,2.6192,1.4884,1.4684,1.188,1.160,1.081,0.776,1.178,1.077,1.132,0.857,0.718,1.559,1.60,1.72,1.387,1.159,0.912,0.969,0.736,0.669,1.663,1.651,1.185,1.137,1.088,0.976
7.33,3.4805,2.3648,1.8864,1.431,1.127,2.104,1.63,1.3635,1.126,1.003,0.84,0.87,0.516,0.982,1.208,1.067,0.9,4.760,5.037,4.503,2.8084,2.510,2.012,1.312,1.306,1.203,1.0982,1.1754,0.9665,1.0024,0.925,1.055,0.781,0.4792,0.6808,0.651,0.550,0.569,0.47,0.433,4.8,4.952,4.513,2.703,2.5448,3.0214,1.7102,1.6894,1.356,1.340,1.246,0.978,1.332,1.228,1.413,0.967,0.836,1.756,1.81,1.97,1.501,1.373,1.028,1.108,0.827,0.77,1.849,1.876,1.557,1.304,1.279,1.078
8.65,3.95125,2.6854,2.1798,1.64575,1.285,2.388,1.859,1.5288,1.28,1.135,0.979,0.979,0.6,1.125,1.398,1.217,1.032,5.388,5.696,4.985,3.114,2.770,2.280,1.506,1.444,1.352,1.2042,1.2784,1.08275,1.1716,1.0718,1.219,0.9112,0.5608,0.7898,0.751,0.645,0.657,0.5462,0.497,5.55,5.681,5.226,3.210,2.9372,3.5024,1.9684,1.948,1.554,1.553,1.441,1.103,1.513,1.407,1.547,1.093,0.975,1.989,2.06,2.25,1.613,1.620,1.165,1.277,0.926,0.895,2.042,2.131,1.732,1.501,1.505,1.203
10.21,4.44425,3.0084,2.4904,1.89375,1.4673,2.69,2.122,1.714,1.46,1.3,1.152,1.109,0.706,1.291,1.62,1.387,1.176,6.061,6.375,5.450,3.4146,3.006,2.541,1.726,1.602,1.514,1.3166,1.383,1.20575,1.3714,1.2514,1.421,1.0718,0.6584,0.9282,0.873,0.761,0.765,0.6402,0.575,6.359,6.449,5.972,3.821,3.3206,4.0234,2.2686,2.2396,1.781,1.801,1.669,1.255,1.719,1.613,1.695,1.236,1.136,2.254,2.37,2.55,1.718,1.891,1.329,1.480,1.035,1.05,2.229,2.398,1.939,1.729,1.774,1.361
12.05,4.93425,3.3172,2.7892,2.1315,1.6463,2.99,2.379,1.8928,1.649,1.477,1.357,1.254,0.822,1.457,1.849,1.549,1.311,6.749,7.014,5.837,3.6778,3.213,2.795,1.931,1.753,1.650,1.4052,1.4582,1.30575,1.5762,1.4506,1.641,1.2466,0.7676,1.093,1.000,0.891,0.891,0.7434,0.665,7.154,7.212,6.718,4.551,3.6666,4.5548,2.5696,2.5282,2.000,2.049,1.900,1.486,1.910,1.815,1.914,1.370,1.302,2.512,2.67,2.79,1.780,2.126,1.501,1.686,1.133,1.216,2.356,2.620,2.298,1.954,2.061,1.543
14.22,5.67575,3.7696,3.2202,2.4615,1.8988,3.463,2.749,2.1718,1.947,1.758,1.672,1.485,0.997,1.695,2.173,1.767,1.496,7.813,7.952,6.423,4.0796,3.556,3.190,2.206,1.992,1.833,1.5356,1.5748,1.44575,1.8796,1.7428,1.957,1.4906,0.92,1.347,1.182,1.086,1.088,0.8934,0.802,8.324,8.346,7.840,5.666,4.1932,5.3402,2.997,2.9236,2.300,2.393,2.220,1.728,2.184,2.097,2.086,1.562,1.531,2.888,3.09,3.13,1.890,2.424,1.745,1.972,1.274,1.439,2.538,2.912,2.576,2.266,2.481,1.819
16.78,6.48375,4.2028,3.6658,2.80225,2.1553,3.976,3.144,2.4928,2.308,2.094,2.077,1.767,1.205,1.943,2.535,1.99,1.678,9.074,8.922,6.968,4.4698,3.868,3.591,2.480,2.255,2.003,1.6618,1.683,1.58275,2.264,2.101,2.325,1.7668,1.0986,1.6754,1.396,1.333,1.332,1.0734,0.959,9.602,9.599,9.067,7.111,4.713,6.2188,3.5076,3.3508,2.624,2.778,2.581,2.097,2.496,2.415,2.353,1.792,1.807,3.342,3.57,3.51,2.018,2.744,2.022,2.294,1.449,1.706,2.733,3.215,3.011,2.610,3.012,2.165
