sample,UP68,D11,D8,D7,D16,D9,UP22,UP25,UP8,UP2,UP32,UP24,UP20,GSUT,GSUB,GSLT,GSLB,GSBEDLOAD,GSSIDE,UP77,UP78,UP69,UP84,UP82,UP62,UP71,UP74,UP79,UP81,UP76,UP56,D55,D57,D56,D65,D71,D70,D64,D58,D50,D51,D54,UP33,UP17,UP13,UP57,UP34,UP14,UP48,UP3,UP4,D4,D3,UP1,D2,D1,UP30,UP10,UP9,UP7
lab_ID,334,229,226,225,234,227,242,245,214,191,252,244,240,-,-,-,-,-,-,338,339,335,342,341,328,-,-,-,-,-,309,343,345,344,350,-,356,351,346,323,324,327,253,237,219,310,269,220,291,192,193,207,222,190,206,205,250,216,215,213
4.46,0.293,0.31225,0.223,0.771,0.197,0.374,0.224,0.384,0.364,0.425,0.232,0.207,0.288,0.509,0.708,0.607,0.472,0.589,0.499,0.369,0.250,0.855,0.296,0.303,0.372,0.459,0.25,0.27,0.415,0.268,0.364,0.194,0.265,0.362,0.495,0.519,0.628,0.354,0.196,0.562,0.345,0.485,0.425,0.314,0.420,1.023,0.312,0.358,0.125,0.172,0.281,0.355,0.234,0.663,0.584,0.458,0.159,0.240,0.232,0.490
5.27,0.345,0.38475,0.265,0.920,0.240,0.447,0.267,0.454,0.436,0.511,0.296,0.256,0.343,0.616,0.850,0.709,0.583,0.708,0.604,0.438,0.298,1.012,0.346,0.354,0.447,0.555,0.309,0.319,0.499,0.319,0.46,0.239,0.31,0.407,0.58,0.602,0.41,0.416,0.233,0.658,0.41,0.594,0.508,0.387,0.501,1.199,0.371,0.422,0.157,0.200,0.343,0.404,0.279,0.777,0.670,0.542,0.188,0.295,0.282,0.622
6.21,0.399,0.4645,0.310,1.062,0.286,0.519,0.310,0.520,0.514,0.610,0.372,0.310,0.401,0.714,0.982,0.824,0.706,0.834,0.719,0.516,0.352,1.177,0.396,0.403,0.511,0.63,0.371,0.375,0.553,0.376,0.526,0.291,0.352,0.436,0.654,0.676,0.491,0.464,0.264,0.723,0.482,0.68,0.579,0.447,0.555,1.377,0.430,0.475,0.208,0.228,0.400,0.430,0.327,0.868,0.737,0.629,0.221,0.347,0.339,0.784
7.33,0.456,0.5535,0.358,1.197,0.337,0.592,0.354,0.587,0.597,0.724,0.451,0.375,0.464,0.808,1.105,0.954,0.833,0.962,0.846,0.597,0.409,1.338,0.443,0.446,0.555,0.678,0.428,0.436,0.578,0.438,0.547,0.344,0.394,0.46,0.715,0.742,0.724,0.5,0.289,0.758,0.559,0.739,0.629,0.48,0.578,1.545,0.484,0.519,0.290,0.256,0.448,0.441,0.378,0.938,0.790,0.721,0.255,0.399,0.405,0.968
8.65,0.53,0.67225,0.424,1.375,0.404,0.691,0.409,0.679,0.695,0.875,0.544,0.460,0.552,0.942,1.267,1.115,0.989,1.116,1.023,0.701,0.481,1.535,0.500,0.500,0.607,0.749,0.493,0.516,0.626,0.525,0.575,0.409,0.445,0.503,0.796,0.833,0.706,0.553,0.324,0.811,0.651,0.828,0.683,0.506,0.605,1.743,0.554,0.582,0.420,0.296,0.511,0.470,0.447,1.037,0.865,0.838,0.296,0.476,0.497,1.208
10.21,0.632,0.8275,0.503,1.604,0.482,0.812,0.468,0.792,0.796,1.076,0.659,0.565,0.671,1.124,1.473,1.309,1.171,1.294,1.271,0.833,0.570,1.775,0.573,0.566,0.664,0.829,0.551,0.624,0.682,0.645,0.611,0.486,0.486,0.563,0.899,0.944,0.694,0.623,0.365,0.88,0.765,0.927,0.732,0.521,0.626,1.943,0.624,0.649,0.631,0.358,0.593,0.519,0.538,1.166,0.967,0.993,0.350,0.571,0.614,1.504
12.05,0.759,1.0105,0.581,1.861,0.558,0.937,0.524,0.913,0.878,1.310,0.789,0.683,0.819,1.339,1.709,1.520,1.351,1.484,1.587,0.963,0.663,2.025,0.653,0.635,0.72,0.883,0.567,0.74,0.723,0.8,0.646,0.564,0.51,0.638,1.001,1.047,0.809,0.706,0.398,0.956,0.898,1.009,0.766,0.521,0.635,2.096,0.671,0.702,0.937,0.451,0.700,0.597,0.656,1.322,1.098,1.195,0.427,0.671,0.753,1.831
14.22,0.948,1.2645,0.671,2.238,0.659,1.117,0.613,1.100,0.976,1.636,0.978,0.863,1.038,1.672,2.092,1.815,1.599,1.769,2.081,1.132,0.789,2.378,0.771,0.740,0.824,0.958,0.567,0.882,0.804,1.036,0.72,0.671,0.562,0.745,1.157,1.178,0.805,0.848,0.442,1.103,1.095,1.15,0.828,0.54,0.676,2.294,0.711,0.768,1.361,0.624,0.910,0.770,0.875,1.614,1.344,1.541,0.592,0.811,0.938,2.261
16.78,1.197,1.5555,0.748,2.678,0.788,1.350,0.751,1.361,1.079,2.050,1.217,1.118,1.313,2.097,2.607,2.195,1.897,2.141,2.724,1.296,0.928,2.794,0.912,0.869,0.967,1.024,0.547,1.056,0.885,1.336,0.8,0.793,0.63,0.849,1.329,1.287,0.881,1.038,0.491,1.305,1.361,1.318,0.899,0.576,0.735,2.484,0.707,0.816,1.787,0.912,1.252,1.065,1.241,2.052,1.725,2.062,0.931,0.955,1.144,2.721
19.81,1.486,1.89125,0.836,3.178,0.972,1.693,0.965,1.747,1.233,2.568,1.507,1.482,1.645,2.636,3.291,2.690,2.273,2.628,3.471,1.447,1.073,3.275,1.078,1.019,1.167,1.099,0.55,1.272,0.975,1.663,0.904,0.93,0.729,0.943,1.514,1.39,1.028,1.272,0.554,1.559,1.705,1.528,0.98,0.651,0.834,2.718,0.687,0.889,2.149,1.316,1.716,1.482,1.762,2.642,2.230,2.759,1.497,1.124,1.395,3.223
23.37,1.752,2.28125,0.987,3.728,1.253,2.244,1.307,2.319,1.515,3.202,1.849,2.008,2.029,3.292,4.173,3.345,2.762,3.241,4.242,1.569,1.214,3.794,1.273,1.183,1.445,1.198,0.629,1.561,1.067,1.934,1.022,1.08,0.875,1.014,1.721,1.532,1.185,1.525,0.639,1.842,2.13,1.787,1.062,0.793,0.996,3.051,0.679,1.054,2.547,1.747,2.182,1.896,2.309,3.295,2.727,3.502,2.215,1.350,1.748,3.805
27.58,1.963,2.784,1.266,4.331,1.611,3.038,1.768,3.076,1.996,3.930,2.246,2.675,2.476,4.062,5.229,4.164,3.356,3.975,5.012,1.673,1.355,4.338,1.509,1.371,1.806,1.308,0.817,1.975,1.163,2.189,1.167,1.251,1.061,1.108,1.977,1.811,1.422,1.796,0.759,2.14,2.661,2.108,1.13,0.995,1.195,3.543,0.707,1.37,3.150,2.127,2.506,2.160,2.701,3.903,3.069,4.149,2.835,1.696,2.286,4.544
32.55,2.141,3.287,1.645,4.812,1.855,3.753,2.150,3.734,2.522,4.527,2.609,3.240,2.932,4.810,6.184,4.904,3.783,4.651,5.645,1.694,1.434,4.794,1.746,1.531,2.172,1.349,1,2.489,1.229,2.578,1.381,1.41,1.22,1.283,2.243,2.234,1.67,2.091,0.898,2.435,3.285,2.427,1.136,1.15,1.284,3.994,0.733,1.711,3.977,2.590,2.769,2.347,3.022,4.477,3.230,4.739,3.418,2.096,2.898,5.283
38.41,2.412,3.79475,2.127,5.231,2.003,4.331,2.448,4.284,3.014,5.059,2.989,3.711,3.450,5.607,7.091,5.632,4.081,5.324,6.271,1.662,1.486,5.224,1.989,1.687,2.587,1.348,1.128,3.187,1.296,3.299,1.757,1.6,1.363,1.607,2.6,2.864,2.045,2.512,1.072,2.81,4.086,2.773,1.104,1.236,1.238,4.403,0.739,1.955,5.041,3.303,3.117,2.609,3.423,5.190,3.359,5.466,4.133,2.542,3.531,6.034
45.32,2.629,4.1525,2.643,5.519,2.291,5.053,2.948,4.963,3.544,5.583,3.391,4.308,3.980,6.402,8.016,6.583,4.462,6.104,6.869,1.608,1.509,5.592,2.227,1.826,3.149,1.317,1.285,4.037,1.372,4.056,2.126,1.813,1.54,1.872,3.067,3.598,2.297,2.986,1.263,3.255,5.042,3.092,1.069,1.379,1.194,4.894,0.722,2.17,6.156,4.066,3.435,2.910,3.793,5.994,3.482,6.247,4.987,2.927,4.021,6.623
53.48,2.795,4.27975,3.089,5.534,2.512,5.552,3.445,5.434,3.905,5.862,3.649,4.727,4.434,7.078,8.644,7.463,4.702,6.773,7.344,1.454,1.460,5.763,2.339,1.863,3.74,1.242,1.345,4.934,1.456,4.926,2.544,2.037,1.686,2.161,3.501,4.342,2.608,3.501,1.454,3.743,6.044,3.344,1.001,1.455,1.084,5.222,0.676,2.241,7.073,5.089,3.839,3.351,4.306,6.995,3.614,7.215,6.175,3.165,4.200,6.878
63.11,2.866,4.39525,3.741,5.416,2.624,5.914,3.802,5.549,4.326,5.896,3.789,4.839,4.863,7.659,8.935,8.238,4.901,7.343,7.738,1.337,1.413,5.784,2.412,1.861,4.276,1.172,1.447,5.936,1.641,5.968,3.091,2.304,1.808,2.662,4.026,5.526,2.885,4.018,1.68,4.161,6.965,3.54,0.92,1.423,0.942,5.522,0.655,2.276,7.655,5.965,3.914,3.465,4.518,7.842,3.476,7.882,6.435,3.468,4.366,7.089
74.48,2.748,4.157,4.006,5.021,2.814,6.104,4.307,5.430,4.374,5.722,3.730,4.880,5.093,7.973,8.821,8.871,5.002,7.804,7.827,1.126,1.274,5.532,2.255,1.694,4.753,1.076,1.39,6.71,1.855,6.554,3.385,2.526,1.879,2.863,4.293,6.097,2.73,4.355,1.817,4.443,7.513,3.549,0.836,1.374,0.829,5.438,0.570,2.088,7.351,6.524,3.831,3.540,4.582,8.536,3.243,8.304,6.508,3.411,4.017,6.772
87.89,2.613,3.853,4.067,4.534,2.805,5.827,4.460,4.821,4.109,5.341,3.517,4.582,5.236,8.079,8.308,9.086,4.871,8.024,7.762,0.94,1.127,5.128,2.030,1.464,4.989,0.987,1.199,7.246,2.036,7.162,3.744,2.752,1.845,3.164,4.426,6.577,2.474,4.545,1.917,4.608,7.627,3.434,0.75,1.191,0.688,5.062,0.498,1.777,6.436,7.092,3.691,3.605,4.648,9.128,2.934,8.599,6.228,3.219,3.477,6.256
103.72,2.182,3.376,3.958,3.824,2.625,5.340,4.350,3.971,3.782,4.684,3.023,3.990,4.971,7.619,7.240,8.734,4.503,7.773,7.140,0.721,0.929,4.416,1.659,1.119,4.86,0.883,1.128,7.297,2.015,6.75,3.581,2.85,1.75,3.067,4.155,6.561,2.056,4.21,1.888,4.337,6.989,3.067,0.677,1.026,0.608,4.482,0.439,1.555,5.082,6.465,2.974,3.080,4.015,8.618,2.289,7.740,4.822,2.878,2.885,5.484
122.39,1.811,2.82575,3.371,3.147,2.416,4.706,4.124,3.211,3.232,4.074,2.508,3.426,4.568,6.950,6.199,8.169,4.101,7.420,6.469,0.546,0.766,3.734,1.325,0.813,4.647,0.811,1.062,6.965,1.811,5.88,3.09,2.937,1.682,2.556,3.843,5.917,1.413,3.675,1.79,3.942,6.023,2.615,0.657,0.921,0.577,3.856,0.372,1.301,3.715,5.742,2.403,2.721,3.487,8.006,1.812,6.873,3.862,2.337,2.193,4.554
144.43,1.404,2.299,2.901,2.462,1.940,3.860,3.411,2.362,2.733,3.341,1.912,2.658,3.926,5.938,4.959,7.051,3.460,6.534,5.496,0.385,0.600,2.993,0.994,0.552,4.092,0.752,1.135,6.429,1.586,4.656,2.566,2.915,1.537,2.071,3.397,5.349,0.932,2.882,1.615,3.333,4.815,2.1,0.64,0.797,0.540,3.224,0.334,1.14,2.623,4.598,1.726,2.113,2.714,6.744,1.286,5.483,2.635,1.870,1.671,3.718
170.44,1.116,1.74375,2.114,1.856,1.479,3.014,2.677,1.700,2.042,2.691,1.386,1.994,3.237,4.902,3.922,5.877,2.831,5.588,4.582,0.248,0.460,2.387,0.711,0.397,3.492,0.711,1.151,5.813,1.561,3.419,2.028,2.83,1.394,1.394,3.033,4.244,0.464,2.083,1.372,2.813,3.722,1.614,0.679,0.737,0.519,2.58,0.226,0.86,1.788,3.682,1.320,1.800,2.208,5.761,0.999,4.474,1.961,1.317,1.134,2.843
201.13,0.833,1.2105,1.425,1.283,0.978,2.130,1.842,1.095,1.392,1.996,0.902,1.338,2.424,3.711,2.851,4.456,2.119,4.343,3.485,0.132,0.318,1.790,0.438,0.287,2.768,0.649,1.309,5.197,1.722,2.183,1.528,2.566,1.221,0.804,2.638,3.103,0.181,1.286,1.054,2.257,2.717,1.164,0.749,0.697,0.505,1.981,0.137,0.628,1.173,2.764,0.960,1.445,1.692,4.582,0.740,3.406,1.397,0.837,0.705,2.043
237.35,0.617,0.81475,0.943,0.855,0.613,1.506,1.209,0.690,0.943,1.453,0.553,0.859,1.752,2.744,2.071,3.328,1.568,3.304,2.592,0.062,0.213,1.309,0.254,0.225,2.179,0.589,1.833,4.901,1.946,1.278,1.144,2.312,1.141,0.403,2.51,2.347,0.06,0.708,0.772,1.77,1.992,0.837,0.902,0.72,0.534,1.585,0.078,0.475,0.787,2.042,0.679,1.112,1.263,3.590,0.549,2.561,1.009,0.513,0.428,1.440
280.09,0.448,0.501,0.556,0.523,0.350,0.991,0.736,0.401,0.566,0.999,0.309,0.505,1.186,1.939,1.432,2.379,1.090,2.401,1.815,0.023,0.128,0.918,0.130,0.176,1.676,0.492,2.553,4.746,2.266,0.673,0.865,2.021,1.085,0.168,2.466,1.641,0.014,0.342,0.517,1.376,1.453,0.594,1.151,0.771,0.575,1.233,0.034,0.319,0.517,1.510,0.489,0.868,0.949,2.812,0.413,1.940,0.763,0.275,0.228,0.954
330.52,0.327,0.3035,0.330,0.311,0.191,0.657,0.439,0.230,0.333,0.682,0.168,0.291,0.795,1.368,0.996,1.708,0.749,1.732,1.256,0.007,0.070,0.640,0.063,0.137,1.299,0.342,3.549,4.694,2.567,0.322,0.648,1.711,1.03,0.059,2.557,1.156,0.003,0.147,0.312,1.079,1.103,0.434,1.378,0.812,0.585,0.977,0.012,0.211,0.360,1.142,0.350,0.665,0.714,2.215,0.312,1.508,0.601,0.143,0.121,0.631
390.04,0.252,0.19125,0.202,0.196,0.101,0.430,0.262,0.138,0.186,0.479,0.094,0.170,0.529,0.994,0.703,1.236,0.506,1.259,0.891,0.002,0.038,0.474,0.031,0.093,0.985,0.189,3.417,4.159,2.044,0.129,0.429,1.304,0.871,0.016,2.503,0.715,0.001,0.058,0.159,0.873,0.889,0.333,1.37,0.722,0.496,0.757,0.003,0.126,0.280,0.886,0.263,0.510,0.560,1.783,0.243,1.218,0.488,0.078,0.069,0.447
460.27,0.245,0.155,0.159,0.165,0.059,0.319,0.184,0.108,0.115,0.408,0.068,0.125,0.410,0.852,0.606,1.019,0.390,1.047,0.771,0.001,0.025,0.443,0.021,0.059,0.8,0.099,2.169,3.392,1.252,0.049,0.252,0.914,0.673,0.004,2.493,0.421,0,0.028,0.082,0.804,0.865,0.304,1.161,0.554,0.361,0.659,0.000,0.078,0.301,0.815,0.249,0.447,0.530,1.646,0.234,1.163,0.481,0.060,0.058,0.408
