time,ustar
7/4/2021 7:00,0.062495085
7/4/2021 7:15,0.062495085
7/4/2021 7:30,0.062495085
7/4/2021 7:45,0.06353761
7/4/2021 8:00,0.063500952
7/4/2021 8:15,0.063546782
7/4/2021 8:30,0.062516319
7/4/2021 8:45,0.062484471
7/4/2021 9:00,0.06353761
7/4/2021 9:15,0.063519275
7/4/2021 9:30,0.063500952
7/4/2021 9:45,0.063519275
7/4/2021 10:00,0.06353761
7/4/2021 10:15,0.06347349
7/4/2021 10:30,0.063409515
7/4/2021 10:45,0.063363908
7/4/2021 11:00,0.063318377
7/4/2021 11:15,0.063282007
7/4/2021 11:30,0.063245687
7/4/2021 11:45,0.063200356
7/4/2021 12:00,0.063155103
7/4/2021 12:15,0.063191299
7/4/2021 12:30,0.063227545
7/4/2021 12:45,0.063146062
7/4/2021 13:00,0.063064834
7/4/2021 13:15,0.063055824
7/4/2021 13:30,0.063046818
7/4/2021 13:45,0.062983865
7/4/2021 14:00,0.062921072
7/4/2021 14:15,0.062921072
7/4/2021 14:30,0.062921072
7/4/2021 14:45,0.062858439
7/4/2021 15:00,0.06279597
7/4/2021 15:15,0.062813802
7/4/2021 15:30,0.062831647
7/4/2021 15:45,0.062769249
7/4/2021 16:00,0.062707016
7/4/2021 16:15,0.062733667
7/4/2021 16:30,0.062760348
7/4/2021 16:45,0.062733667
7/4/2021 17:00,0.062707016
7/4/2021 17:15,0.062733667
7/4/2021 17:30,0.062760348
7/4/2021 17:45,0.062760348
7/4/2021 18:00,0.062760348
7/4/2021 18:15,0.062733667
7/4/2021 18:30,0.062707016
7/4/2021 18:45,0.062689266
7/4/2021 19:00,0.06267153
7/4/2021 19:15,0.062689266
7/4/2021 19:30,0.062707016
7/4/2021 19:45,0.062689266
7/4/2021 20:00,0.06267153
7/4/2021 20:15,0.062707016
7/4/2021 20:30,0.062742557
7/4/2021 20:45,0.06269814
7/4/2021 21:00,0.062653808
7/4/2021 21:15,0.062707016
7/4/2021 21:30,0.062760348
7/4/2021 21:45,0.062751451
7/4/2021 22:00,0.062742557
7/4/2021 22:15,0.062751451
7/4/2021 22:30,0.062760348
7/4/2021 22:45,0.062804885
7/4/2021 23:00,0.062849505
7/4/2021 23:15,0.062885262
7/4/2021 23:30,0.062921072
7/4/2021 23:45,0.062930032
7/5/2021 0:00,0.062938996
7/5/2021 0:15,0.062930032
7/5/2021 0:30,0.062921072
7/5/2021 0:45,0.062885262
7/5/2021 1:00,0.062849505
7/5/2021 1:15,0.062885262
7/5/2021 1:30,0.062921072
7/5/2021 1:45,0.062921072
7/5/2021 2:00,0.062921072
7/5/2021 2:15,0.062965908
7/5/2021 2:30,0.063010826
7/5/2021 2:45,0.062965908
7/5/2021 3:00,0.062921072
7/5/2021 3:15,0.062947964
7/5/2021 3:30,0.062974885
7/5/2021 3:45,0.062885262
7/5/2021 4:00,0.06279597
7/5/2021 4:15,0.062769249
7/5/2021 4:30,0.062742557
7/5/2021 4:45,0.062769249
7/5/2021 5:00,0.06279597
7/5/2021 5:15,0.062822723
7/5/2021 5:30,0.062849505
7/5/2021 5:45,0.062912114
7/5/2021 6:00,0.062974885
7/5/2021 6:15,0.062947964
7/5/2021 6:30,0.062921072
7/5/2021 6:45,0.06290316
7/5/2021 7:00,0.062885262
7/5/2021 7:15,0.062930032
7/5/2021 7:30,0.062974885
7/5/2021 7:45,0.062956934
7/5/2021 8:00,0.062938996
7/5/2021 8:15,0.062912114
7/5/2021 8:30,0.062885262
7/5/2021 8:45,0.06290316
7/5/2021 9:00,0.062921072
7/5/2021 9:15,0.062930032
7/5/2021 9:30,0.062938996
