Date,Depth (m)
2022/07/13 23:45:00,0.26430291500894587
2022/07/14 0:00:00,0.26605408116944995
2022/07/14 0:15:00,0.2643019355885207
2022/07/14 0:30:00,0.2660530583988334
2022/07/14 0:45:00,0.2643010928314107
2022/07/14 1:00:00,0.26547219474132355
2022/07/14 1:15:00,0.2654621155305307
2022/07/14 1:30:00,0.2660525881594695
2022/07/14 1:45:00,0.2654720434963896
2022/07/14 2:00:00,0.2654720434963896
2022/07/14 2:15:00,0.26546203410564584
2022/07/14 2:30:00,0.26430079672756124
2022/07/14 2:45:00,0.26430034118317747
2022/07/14 3:00:00,0.26429988563879364
2022/07/14 3:15:00,0.2642993845399715
2022/07/14 3:30:00,0.2654699144330881
2022/07/14 3:45:00,0.2637179552096997
2022/07/14 4:00:00,0.26254643587838
