time,tau_m,,,,
3/3/2023 7:15,2.383516303,,,,
3/3/2023 7:30,2.598035178,,,,
3/3/2023 7:45,2.598035178,,,,
3/3/2023 8:00,2.437750804,,,,
3/3/2023 8:15,1.950484501,,,,
3/3/2023 8:30,2.195091098,,,,
3/3/2023 8:45,2.128493404,,,,
3/3/2023 9:00,2.003207437,,,,
3/3/2023 9:15,1.658427698,,,,
3/3/2023 9:30,1.994280752,,,,
3/3/2023 9:45,0.923679708,,,,
3/3/2023 10:00,1.08088321,,,,
3/3/2023 10:15,0.872176922,,,,
3/3/2023 10:30,1.134670138,,,,
3/3/2023 10:45,0.882954821,,,,
3/3/2023 11:00,1.134670138,,,,
3/3/2023 11:15,1.117299131,,,,
3/3/2023 11:30,1.12549852,,,,
3/3/2023 11:45,0.78169091,,,,
3/3/2023 12:00,0.621219266,,,,
3/3/2023 12:15,0.784820438,,,,
3/3/2023 12:30,0.844912162,,,,
3/3/2023 12:45,0.700291584,,,,
3/3/2023 13:00,0.705711851,,,,
3/3/2023 13:15,0.800772118,,,,
3/3/2023 13:30,0.766693681,,,,
3/3/2023 13:45,0.839026662,,,,
3/3/2023 14:00,0.668413403,,,,
3/3/2023 14:15,0.757870187,,,,
3/3/2023 14:30,1.043830899,,,,
3/3/2023 14:45,1.043830899,,,,
3/3/2023 15:00,0.760795461,,,,
3/3/2023 15:15,0.732883104,,,,
3/3/2023 15:30,0.741415245,,,,
3/3/2023 15:45,1.117299131,,,,
3/3/2023 16:00,0.969288133,,,,
3/3/2023 16:15,0.766693681,,,,
3/3/2023 16:30,0.587745477,,,,
3/3/2023 16:45,0.699740686,,,,
3/3/2023 17:00,0.883897621,,,,
3/3/2023 17:15,0.801872354,,,,
3/3/2023 17:30,0.894358714,,,,
3/3/2023 17:45,0.969288133,,,,
3/3/2023 18:00,0.946092637,,,,
3/3/2023 18:15,1.392252036,,,,
3/3/2023 18:30,0.965441047,,,,
3/3/2023 18:45,1.253310789,,,,
3/3/2023 19:00,1.21198841,,,,
3/3/2023 19:15,1.800625557,,,,
3/3/2023 19:30,1.373502993,,,,
3/3/2023 19:45,1.373502993,,,,
3/3/2023 20:00,1.226151318,,,,
3/3/2023 20:15,1.373502993,,,,
3/3/2023 20:30,1.211022319,,,,
3/3/2023 20:45,1.373502993,,,,
3/3/2023 21:00,1.226151318,,,,
3/3/2023 21:15,1.373502993,,,,
3/3/2023 21:30,1.524518191,,,,
3/3/2023 21:45,1.367673909,,,,
3/3/2023 22:00,1.206012174,,,,
3/3/2023 22:15,1.10818892,,,,
3/3/2023 22:30,1.432273916,,,,
3/3/2023 22:45,1.146676205,,,,
3/3/2023 23:00,1.258583688,,,,
3/3/2023 23:15,1.746865469,,,,
3/3/2023 23:30,1.553930207,,,,
3/3/2023 23:45,1.547358509,,,,
3/4/2023 0:00,1.10818892,,,,
3/4/2023 0:15,1.274519936,,,,
3/4/2023 0:30,1.398116535,,,,
3/4/2023 0:45,1.463287664,,,,
3/4/2023 1:00,1.397015751,,,,
3/4/2023 1:15,1.800625557,,,,
3/4/2023 1:30,1.340060046,,,,
3/4/2023 1:45,1.455974761,,,,
3/4/2023 2:00,1.856985308,,,,
3/4/2023 2:15,1.784906947,,,,
3/4/2023 2:30,1.626197152,,,,
3/4/2023 2:45,1.647540716,,,,
3/4/2023 3:00,2.010976751,,,,
3/4/2023 3:15,2.010976751,,,,
3/4/2023 3:30,2.010976751,,,,
3/4/2023 3:45,1.777045086,,,,
3/4/2023 4:00,1.624947943,,,,
3/4/2023 4:15,2.010826533,,,,
3/4/2023 4:30,1.777045086,,,,
3/4/2023 4:45,1.560691952,,,,
3/4/2023 5:00,2.010976751,,,,
3/4/2023 5:15,1.858394299,,,,
3/4/2023 5:30,1.985127173,,,,
3/4/2023 5:45,1.739561435,,,,
3/4/2023 6:00,1.929411106,,,,
3/4/2023 6:15,1.89115091,,,,
3/4/2023 6:30,1.827222561,,,,
3/4/2023 6:45,1.807188917,,,,
3/4/2023 7:00,1.586105959,,,,
3/4/2023 7:15,1.77506873,,,,
3/4/2023 7:30,1.79592104,,,,
3/4/2023 7:45,1.384829548,,,,
3/4/2023 8:00,1.511634918,,,,
3/4/2023 8:15,1.380251577,,,,
3/4/2023 8:30,1.366448227,,,,
3/4/2023 8:45,1.263457481,,,,
3/4/2023 9:00,1.555811597,,,,
3/4/2023 9:15,1.246772008,,,,
3/4/2023 9:30,1.255110217,,,,
3/4/2023 9:45,0.802417758,,,,
3/4/2023 10:00,0.571471804,,,,
3/4/2023 10:15,1.073922718,,,,
3/4/2023 10:30,1.086996779,,,,
3/4/2023 10:45,0.872845855,,,,
3/4/2023 11:00,1.086996779,,,,
3/4/2023 11:15,0.942018379,,,,
3/4/2023 11:30,0.753165315,,,,
3/4/2023 11:45,0.64820444,,,,
3/4/2023 12:00,0.655910176,,,,
3/4/2023 12:15,0.673537936,,,,
3/4/2023 12:30,0.791063923,,,,
3/4/2023 12:45,0.513149593,,,,
3/4/2023 13:00,0.698011147,,,,
3/4/2023 13:15,0.606677555,,,,
3/4/2023 13:30,0.965263834,,,,
3/4/2023 13:45,0.875713773,,,,
3/4/2023 14:00,0.91610131,,,,
3/4/2023 14:15,0.755570817,,,,
3/4/2023 14:30,0.875713773,,,,
3/4/2023 14:45,0.865869269,,,,
3/4/2023 15:00,0.82739872,,,,
3/4/2023 15:15,0.689659351,,,,
3/4/2023 15:30,0.834119029,,,,
3/4/2023 15:45,0.855036095,,,,
3/4/2023 16:00,0.887341358,,,,
3/4/2023 16:15,0.765436558,,,,
3/4/2023 16:30,0.774937562,,,,
3/4/2023 16:45,0.982332254,,,,
3/4/2023 17:00,0.910134486,,,,
3/4/2023 17:15,0.910134486,,,,
3/4/2023 17:30,0.784728428,,,,
3/4/2023 17:45,1.11991603,,,,
3/4/2023 18:00,0.982332254,,,,
3/4/2023 18:15,1.105904901,,,,
3/4/2023 18:30,1.257771736,,,,
3/4/2023 18:45,1.05836893,,,,
3/4/2023 19:00,1.385623175,,,,
3/4/2023 19:15,1.189900647,,,,
3/4/2023 19:30,1.242287705,,,,
3/4/2023 19:45,1.105904901,,,,
3/4/2023 20:00,1.362538544,,,,
3/4/2023 20:15,1.242287705,,,,
3/4/2023 20:30,1.092301269,,,,
3/4/2023 20:45,1.362538544,,,,
3/4/2023 21:00,1.362538544,,,,
3/4/2023 21:15,1.379717089,,,,
3/4/2023 21:30,1.214799606,,,,
3/4/2023 21:45,1.053938277,,,,
3/4/2023 22:00,1.114318134,,,,
3/4/2023 22:15,0.957340982,,,,
3/4/2023 22:30,1.091414208,,,,
3/4/2023 22:45,1.241294385,,,,
3/4/2023 23:00,1.078214251,,,,
3/4/2023 23:15,0.942018379,,,,
3/4/2023 23:30,1.020340867,,,,
3/4/2023 23:45,0.934544945,,,,
3/5/2023 0:00,1.086996779,,,,
3/5/2023 0:15,1.100456575,,,,
3/5/2023 0:30,1.241294385,,,,
3/5/2023 0:45,1.241294385,,,,
3/5/2023 1:00,1.065291934,,,,
3/5/2023 1:15,1.184998212,,,,
3/5/2023 1:30,1.351292169,,,,
3/5/2023 1:45,1.408840662,,,,
3/5/2023 2:00,1.065291934,,,,
3/5/2023 2:15,0.945777153,,,,
3/5/2023 2:30,1.408840662,,,,
3/5/2023 2:45,1.511431938,,,,
3/5/2023 3:00,1.491992205,,,,
3/5/2023 3:15,1.511431938,,,,
3/5/2023 3:30,1.161023756,,,,
3/5/2023 3:45,1.431260387,,,,
3/5/2023 4:00,1.632058032,,,,
3/5/2023 4:15,1.492101779,,,,
3/5/2023 4:30,1.492101779,,,,
3/5/2023 4:45,1.653561755,,,,
3/5/2023 5:00,1.227131013,,,,
3/5/2023 5:15,1.227131013,,,,
3/5/2023 5:30,1.44365327,,,,
3/5/2023 5:45,1.696905126,,,,
3/5/2023 6:00,1.345724352,,,,
3/5/2023 6:15,1.175385039,,,,
3/5/2023 6:30,1.531012002,,,,
3/5/2023 6:45,1.511431938,,,,
3/5/2023 7:00,1.73009853,,,,
3/5/2023 7:15,1.563739295,,,,
3/5/2023 7:30,1.67638878,,,,
3/5/2023 7:45,1.768141804,,,,
3/5/2023 8:00,1.379717089,,,,
3/5/2023 8:15,1.345724352,,,,
3/5/2023 8:30,1.251587155,,,,
3/5/2023 8:45,1.402978299,,,,
3/5/2023 9:00,1.328926988,,,,
3/5/2023 9:15,1.159208923,,,,
3/5/2023 9:30,1.135507586,,,,
3/5/2023 9:45,0.797485491,,,,
3/5/2023 10:00,0.807330707,,,,
3/5/2023 10:15,0.744297772,,,,
3/5/2023 10:30,0.879285419,,,,
3/5/2023 10:45,1.076227558,,,,
3/5/2023 11:00,0.749560362,,,,
3/5/2023 11:15,0.919839399,,,,
3/5/2023 11:30,0.858251585,,,,
3/5/2023 11:45,0.879285419,,,,
3/5/2023 12:00,0.700850511,,,,
3/5/2023 12:15,0.767899155,,,,
3/5/2023 12:30,0.700850511,,,,
3/5/2023 12:45,0.604238686,,,,
3/5/2023 13:00,0.807330707,,,,
3/5/2023 13:15,0.814078718,,,,
3/5/2023 13:30,1.017559762,,,,
3/5/2023 13:45,0.935299635,,,,
3/5/2023 14:00,0.923679708,,,,
3/5/2023 14:15,0.695199746,,,,
3/5/2023 14:30,0.709641617,,,,
3/5/2023 14:45,0.70376791,,,,
3/5/2023 15:00,0.974081983,,,,
3/5/2023 15:15,0.778149836,,,,
3/5/2023 15:30,0.70376791,,,,
3/5/2023 15:45,0.71259772,,,,
3/5/2023 16:00,0.986483878,,,,
3/5/2023 16:15,0.604238686,,,,
3/5/2023 16:30,0.778149836,,,,
3/5/2023 16:45,0.962044444,,,,
3/5/2023 17:00,0.86580971,,,,
3/5/2023 17:15,1.004980625,,,,
3/5/2023 17:30,0.86934061,,,,
3/5/2023 17:45,1.017559762,,,,
3/5/2023 18:00,0.762296653,,,,
3/5/2023 18:15,0.797485491,,,,
3/5/2023 18:30,0.991951691,,,,
3/5/2023 18:45,0.980099181,,,,
3/5/2023 19:00,0.968495116,,,,
3/5/2023 19:15,0.980099181,,,,
3/5/2023 19:30,0.980099181,,,,
3/5/2023 19:45,1.078214251,,,,
3/5/2023 20:00,1.241294385,,,,
3/5/2023 20:15,0.980099181,,,,
3/5/2023 20:30,1.241294385,,,,
3/5/2023 20:45,0.897824166,,,,
3/5/2023 21:00,0.848892334,,,,
3/5/2023 21:15,0.858968118,,,,
3/5/2023 21:30,1.144865564,,,,
3/5/2023 21:45,0.980902937,,,,
3/5/2023 22:00,0.919904166,,,,
3/5/2023 22:15,1.00089277,,,,
3/5/2023 22:30,1.00089277,,,,
3/5/2023 22:45,0.865869269,,,,
3/5/2023 23:00,0.977045725,,,,
3/5/2023 23:15,0.916165453,,,,
3/5/2023 23:30,1.126406839,,,,
3/5/2023 23:45,0.905103109,,,,
3/6/2023 0:00,0.781743694,,,,
3/6/2023 0:15,0.905103109,,,,
3/6/2023 0:30,1.032715278,,,,
3/6/2023 0:45,1.189900647,,,,
3/6/2023 1:00,1.032715278,,,,
3/6/2023 1:15,0.894358714,,,,
3/6/2023 1:30,1.140203777,,,,
3/6/2023 1:45,1.140203777,,,,
3/6/2023 2:00,1.00089277,,,,
3/6/2023 2:15,1.154408303,,,,
3/6/2023 2:30,1.154408303,,,,
3/6/2023 2:45,1.00089277,,,,
3/6/2023 3:00,1.154408303,,,,
3/6/2023 3:15,1.140203777,,,,
3/6/2023 3:30,0.988796346,,,,
3/6/2023 3:45,1.126406839,,,,
3/6/2023 4:00,1.279897994,,,,
3/6/2023 4:15,1.279897994,,,,
3/6/2023 4:30,0.977045725,,,,
3/6/2023 4:45,0.977045725,,,,
3/6/2023 5:00,1.117299131,,,,
3/6/2023 5:15,0.977045725,,,,
3/6/2023 5:30,0.894358714,,,,
3/6/2023 5:45,1.126406839,,,,
3/6/2023 6:00,1.112782756,,,,
3/6/2023 6:15,1.175467083,,,,
3/6/2023 6:30,0.905103109,,,,
3/6/2023 6:45,1.120988525,,,,
3/6/2023 7:00,1.120988525,,,,
3/6/2023 7:15,1.032644103,,,,
3/6/2023 7:30,1.045281096,,,,
3/6/2023 7:45,1.135507586,,,,
3/6/2023 8:00,0.996775018,,,,
3/6/2023 8:15,0.787927049,,,,
3/6/2023 8:30,0.834119029,,,,
3/6/2023 8:45,0.942018379,,,,
3/6/2023 9:00,0.719090838,,,,
3/6/2023 9:15,0.82411581,,,,
3/6/2023 9:30,0.908733638,,,,
3/6/2023 9:45,0.716823497,,,,
3/6/2023 10:00,0.618765331,,,,
3/6/2023 10:15,0.64820444,,,,
3/6/2023 10:30,1.074719973,,,,
3/6/2023 10:45,0.640720448,,,,
3/6/2023 11:00,0.872845855,,,,
3/6/2023 11:15,0.556327446,,,,
3/6/2023 11:30,0.640720448,,,,
3/6/2023 11:45,0.815028894,,,,
3/6/2023 12:00,0.640720448,,,,
3/6/2023 12:15,0.597953936,,,,
3/6/2023 12:30,0.611627161,,,,
3/6/2023 12:45,0.501453233,,,,
3/6/2023 13:00,0.64820444,,,,
3/6/2023 13:15,0.815028894,,,,
3/6/2023 13:30,0.702412482,,,,
3/6/2023 13:45,0.697048748,,,,
3/6/2023 14:00,0.702412482,,,,
3/6/2023 14:15,0.689154533,,,,
3/6/2023 14:30,0.769626109,,,,
3/6/2023 14:45,0.769626109,,,,
3/6/2023 15:00,0.694427352,,,,
3/6/2023 15:15,0.930892892,,,,
3/6/2023 15:30,0.808059805,,,,
3/6/2023 15:45,0.604206633,,,,
3/6/2023 16:00,0.808059805,,,,
3/6/2023 16:15,0.808059805,,,,
3/6/2023 16:30,0.814400338,,,,
3/6/2023 16:45,0.702412482,,,,
3/6/2023 17:00,0.814400338,,,,
3/6/2023 17:15,0.814400338,,,,
3/6/2023 17:30,0.524069267,,,,
3/6/2023 17:45,0.814400338,,,,
3/6/2023 18:00,0.873427135,,,,
3/6/2023 18:15,0.930892892,,,,
3/6/2023 18:30,0.814400338,,,,
3/6/2023 18:45,0.804961195,,,,
3/6/2023 19:00,0.923547775,,,,
3/6/2023 19:15,1.016283134,,,,
3/6/2023 19:30,0.890805807,,,,
3/6/2023 19:45,0.880388064,,,,
3/6/2023 20:00,1.016283134,,,,
3/6/2023 20:15,1.156265676,,,,
3/6/2023 20:30,1.028536153,,,,
3/6/2023 20:45,0.890805807,,,,
3/6/2023 21:00,0.890805807,,,,
3/6/2023 21:15,0.890805807,,,,
3/6/2023 21:30,1.170625527,,,,
3/6/2023 21:45,1.016283134,,,,
3/6/2023 22:00,1.004039707,,,,
3/6/2023 22:15,1.016283134,,,,
3/6/2023 22:30,0.880388064,,,,
3/6/2023 22:45,1.156265676,,,,
3/6/2023 23:00,0.80558228,,,,
3/6/2023 23:15,0.77864415,,,,
3/6/2023 23:30,1.024466945,,,,
3/6/2023 23:45,1.117299131,,,,
3/7/2023 0:00,1.016283134,,,,
3/7/2023 0:15,0.901445813,,,,
3/7/2023 0:30,1.170625527,,,,
3/7/2023 0:45,1.444676818,,,,
3/7/2023 1:00,1.016283134,,,,
3/7/2023 1:15,1.028536153,,,,
3/7/2023 1:30,1.184998212,,,,
3/7/2023 1:45,1.028536153,,,,
3/7/2023 2:00,0.97313456,,,,
3/7/2023 2:15,1.121814899,,,,
3/7/2023 2:30,0.97313456,,,,
3/7/2023 2:45,1.184998212,,,,
3/7/2023 3:00,0.890805807,,,,
3/7/2023 3:15,0.901445813,,,,
3/7/2023 3:30,0.817589141,,,,
3/7/2023 3:45,1.121814899,,,,
3/7/2023 4:00,0.984796824,,,,
3/7/2023 4:15,0.905040825,,,,
3/7/2023 4:30,0.78169091,,,,
3/7/2023 4:45,0.714017124,,,,
3/7/2023 5:00,1.008350161,,,,
3/7/2023 5:15,0.894358714,,,,
3/7/2023 5:30,0.78169091,,,,
3/7/2023 5:45,0.673537936,,,,
3/7/2023 6:00,0.894298204,,,,
3/7/2023 6:15,0.894298204,,,,
3/7/2023 6:30,0.894298204,,,,
3/7/2023 6:45,0.883838151,,,,
3/7/2023 7:00,0.961527833,,,,
3/7/2023 7:15,1.032644103,,,,
3/7/2023 7:30,0.901445813,,,,
3/7/2023 7:45,1.041051977,,,,
3/7/2023 8:00,1.041051977,,,,
3/7/2023 8:15,0.787927049,,,,
3/7/2023 8:30,0.953470843,,,,
3/7/2023 8:45,0.82411581,,,,
3/7/2023 9:00,1.028536153,,,,
3/7/2023 9:15,0.942731326,,,,
3/7/2023 9:30,0.890805807,,,,
3/7/2023 9:45,0.815028894,,,,
3/7/2023 10:00,0.80558228,,,,
3/7/2023 10:15,0.694973926,,,,
3/7/2023 10:30,0.702965522,,,,
3/7/2023 10:45,0.694973926,,,,
3/7/2023 11:00,0.920599221,,,,
3/7/2023 11:15,0.628703077,,,,
3/7/2023 11:30,0.640720448,,,,
3/7/2023 11:45,0.872845855,,,,
3/7/2023 12:00,0.815028894,,,,
3/7/2023 12:15,0.711190068,,,,
3/7/2023 12:30,0.82475197,,,,
3/7/2023 12:45,0.719657231,,,,
3/7/2023 13:00,0.719657231,,,,
3/7/2023 13:15,0.771702567,,,,
3/7/2023 13:30,0.655910176,,,,
3/7/2023 13:45,0.762296653,,,,
3/7/2023 14:00,0.736778707,,,,
3/7/2023 14:15,0.727803485,,,,
3/7/2023 14:30,0.837499858,,,,
3/7/2023 14:45,0.844421695,,,,
3/7/2023 15:00,0.628094079,,,,
3/7/2023 15:15,0.727803485,,,,
3/7/2023 15:30,0.912399549,,,,
3/7/2023 15:45,0.722568269,,,,
3/7/2023 16:00,0.681457516,,,,
3/7/2023 16:15,0.912399549,,,,
3/7/2023 16:30,0.621219266,,,,
3/7/2023 16:45,0.65333116,,,,
3/7/2023 17:00,0.82739872,,,,
3/7/2023 17:15,0.894298204,,,,
3/7/2023 17:30,1.020340867,,,,
3/7/2023 17:45,0.665844207,,,,
3/7/2023 18:00,0.772586236,,,,
3/7/2023 18:15,0.883838151,,,,
3/7/2023 18:30,0.705109877,,,,
3/7/2023 18:45,0.961527833,,,,
3/7/2023 19:00,0.873427135,,,,
3/7/2023 19:15,0.814400338,,,,
3/7/2023 19:30,0.880388064,,,,
3/7/2023 19:45,0.880388064,,,,
3/7/2023 20:00,0.901445813,,,,
3/7/2023 20:15,0.82475197,,,,
3/7/2023 20:30,0.711190068,,,,
3/7/2023 20:45,0.711190068,,,,
3/7/2023 21:00,0.890805807,,,,
3/7/2023 21:15,1.087803934,,,,
3/7/2023 21:30,1.016283134,,,,
3/7/2023 21:45,0.942731326,,,,
3/7/2023 22:00,0.869977317,,,,
