Date_Time,Q (L/s)
7/9/2023 15:15,6.26
7/9/2023 15:30,5.98
7/9/2023 15:45,6.26
7/9/2023 16:00,5.98
7/9/2023 16:15,5.98
7/9/2023 16:30,5.98
7/9/2023 16:45,5.98
7/9/2023 17:00,5.98
7/9/2023 17:15,6.70
7/9/2023 17:30,6.41
7/9/2023 17:45,5.98
7/9/2023 18:00,5.98
7/9/2023 18:15,6.83
7/9/2023 18:30,5.22
7/9/2023 18:45,5.98
7/9/2023 19:00,5.98
7/9/2023 19:15,6.70
7/9/2023 19:30,6.41
7/9/2023 19:45,6.41
7/9/2023 20:00,6.26
7/9/2023 20:15,6.70
7/9/2023 20:30,6.70
7/9/2023 20:45,7.15
7/9/2023 21:00,6.70
7/9/2023 21:15,7.47
7/9/2023 21:30,6.70
7/9/2023 21:45,7.15
7/9/2023 22:00,6.41
7/9/2023 22:15,6.26
7/9/2023 22:30,6.99
7/9/2023 22:45,7.15
7/9/2023 23:00,6.70
7/9/2023 23:15,7.47
7/9/2023 23:30,7.15
7/9/2023 23:45,6.70
7/10/2023 0:00,6.99
7/10/2023 0:15,6.99
7/10/2023 0:30,7.96
7/10/2023 0:45,7.47
7/10/2023 1:00,7.96
7/10/2023 1:15,6.99
7/10/2023 1:30,6.70
7/10/2023 1:45,7.47
7/10/2023 2:00,7.47
7/10/2023 2:15,6.99
7/10/2023 2:30,7.47
7/10/2023 2:45,7.47
7/10/2023 3:00,7.47
7/10/2023 3:15,7.15
7/10/2023 3:30,7.47
7/10/2023 3:45,7.47
7/10/2023 4:00,7.47
7/10/2023 4:15,7.15
7/10/2023 4:30,7.47
7/10/2023 4:45,6.99
7/10/2023 5:00,7.47
7/10/2023 5:15,7.96
7/10/2023 5:30,6.99
7/10/2023 5:45,7.47
7/10/2023 6:00,7.15
7/10/2023 6:15,8.31
7/10/2023 6:30,7.96
7/10/2023 6:45,7.47
7/10/2023 7:00,8.31
7/10/2023 7:15,7.81
7/10/2023 7:30,7.96
7/10/2023 7:45,8.84
7/10/2023 8:00,7.81
7/10/2023 8:15,8.31
7/10/2023 8:30,8.31
7/10/2023 8:45,7.96
7/10/2023 9:00,7.78
7/10/2023 9:15,8.31
7/10/2023 9:30,8.31
7/10/2023 9:45,7.78
7/10/2023 10:00,7.78
7/10/2023 10:15,7.78
7/10/2023 10:30,7.31
7/10/2023 10:45,7.31
7/10/2023 11:00,7.31
7/10/2023 11:15,6.70
7/10/2023 11:30,7.78
7/10/2023 11:45,7.31
7/10/2023 12:00,7.31
7/10/2023 12:15,6.12
7/10/2023 12:30,6.99
7/10/2023 12:45,6.70
7/10/2023 13:00,6.55
7/10/2023 13:15,6.55
7/10/2023 13:30,5.47
7/10/2023 13:45,6.70
7/10/2023 14:00,6.55
7/10/2023 14:15,5.87
7/10/2023 14:30,5.47
7/10/2023 14:45,6.70
7/10/2023 15:00,6.26
7/10/2023 15:15,5.87
7/10/2023 15:30,6.70
7/10/2023 15:45,6.70
7/10/2023 16:00,6.00
7/10/2023 16:15,5.87
7/10/2023 16:30,5.60
7/10/2023 16:45,6.26
7/10/2023 17:00,5.87
7/10/2023 17:15,5.60
7/10/2023 17:30,6.00
7/10/2023 17:45,5.60
7/10/2023 18:00,6.41
7/10/2023 18:15,5.60
7/10/2023 18:30,6.00
7/10/2023 18:45,5.60
7/10/2023 19:00,6.00
7/10/2023 19:15,7.15
