,Date_Time,Q (L/s),Interpolated_SSC
60,2023-07-06 11:00:00,8.31,4.024
61,2023-07-06 11:15:00,7.47,4.052
62,2023-07-06 11:30:00,7.47,4.219
63,2023-07-06 11:45:00,7.31,4.47
64,2023-07-06 12:00:00,7.81,4.386
65,2023-07-06 12:15:00,7.15,4.386
66,2023-07-06 12:30:00,6.7,4.582
67,2023-07-06 12:45:00,8.31,4.665
68,2023-07-06 13:00:00,7.47,4.833
69,2023-07-06 13:15:00,7.47,5.0
70,2023-07-06 13:30:00,6.55,11.385
71,2023-07-06 13:45:00,7.47,8.457
72,2023-07-06 14:00:00,7.47,6.422
73,2023-07-06 14:15:00,7.47,9.852
74,2023-07-06 14:30:00,7.96,6.729
75,2023-07-06 14:45:00,7.15,5.864
76,2023-07-06 15:00:00,6.26,10.27
77,2023-07-06 15:15:00,6.7,6.896
78,2023-07-06 15:30:00,6.7,6.394
79,2023-07-06 15:45:00,6.26,6.227
80,2023-07-06 16:00:00,7.15,5.669
81,2023-07-06 16:15:00,7.15,5.781
82,2023-07-06 16:30:00,6.7,5.418
83,2023-07-06 16:45:00,6.7,5.307
84,2023-07-06 17:00:00,7.64,5.279
85,2023-07-06 17:15:00,7.64,5.446
86,2023-07-06 17:30:00,7.31,6.31
87,2023-07-06 17:45:00,7.31,6.952
88,2023-07-06 18:00:00,7.15,6.171
89,2023-07-06 18:15:00,7.15,5.836
90,2023-07-06 18:30:00,6.41,5.808
91,2023-07-06 18:45:00,6.83,5.781
92,2023-07-06 19:00:00,7.64,7.928
93,2023-07-06 19:15:00,7.15,6.115
94,2023-07-06 19:30:00,7.15,5.613
95,2023-07-06 19:45:00,7.64,5.558
96,2023-07-06 20:00:00,7.15,5.92
97,2023-07-06 20:15:00,7.47,6.004
98,2023-07-06 20:30:00,7.96,5.725
99,2023-07-06 20:45:00,7.96,5.362
100,2023-07-06 21:00:00,7.47,5.892
101,2023-07-06 21:15:00,7.64,5.864
102,2023-07-06 21:30:00,8.5,5.864
103,2023-07-06 21:45:00,8.13,6.199
104,2023-07-06 22:00:00,8.5,6.812
105,2023-07-06 22:15:00,8.5,6.004
106,2023-07-06 22:30:00,7.96,5.892
107,2023-07-06 22:45:00,8.5,5.725
108,2023-07-06 23:00:00,8.5,5.808
109,2023-07-06 23:15:00,7.96,5.781
110,2023-07-06 23:30:00,7.96,5.725
111,2023-07-06 23:45:00,8.5,5.613
112,2023-07-07 00:00:00,7.96,5.418
113,2023-07-07 00:15:00,8.13,5.251
114,2023-07-07 00:30:00,8.5,5.139
115,2023-07-07 00:45:00,8.13,5.251
116,2023-07-07 01:00:00,8.5,5.167
117,2023-07-07 01:15:00,9.04,5.167
118,2023-07-07 01:30:00,8.5,5.474
119,2023-07-07 01:45:00,8.5,5.558
120,2023-07-07 02:00:00,8.5,5.307
121,2023-07-07 02:15:00,8.84,4.944
122,2023-07-07 02:30:00,8.5,4.777
123,2023-07-07 02:45:00,7.96,4.526
124,2023-07-07 03:00:00,8.84,4.442
125,2023-07-07 03:15:00,8.84,4.359
126,2023-07-07 03:30:00,8.5,4.219
127,2023-07-07 03:45:00,9.04,4.163
128,2023-07-07 04:00:00,8.5,4.024
129,2023-07-07 04:15:00,9.04,4.108
130,2023-07-07 04:30:00,9.04,4.219
131,2023-07-07 04:45:00,8.84,4.442
132,2023-07-07 05:00:00,8.84,4.331
133,2023-07-07 05:15:00,8.84,3.912
134,2023-07-07 05:30:00,8.5,3.912
135,2023-07-07 05:45:00,8.5,4.052
136,2023-07-07 06:00:00,8.5,4.135
137,2023-07-07 06:15:00,9.04,4.805
138,2023-07-07 06:30:00,9.04,5.139
139,2023-07-07 06:45:00,8.5,4.526
140,2023-07-07 07:00:00,9.85,4.888
141,2023-07-07 07:15:00,8.84,5.028
142,2023-07-07 07:30:00,8.13,4.805
143,2023-07-07 07:45:00,9.04,4.972
144,2023-07-07 08:00:00,8.5,4.609
145,2023-07-07 08:15:00,8.84,4.498
146,2023-07-07 08:30:00,7.96,4.331
147,2023-07-07 08:45:00,8.84,4.191
148,2023-07-07 09:00:00,8.5,4.303
149,2023-07-07 09:15:00,7.47,4.108
150,2023-07-07 09:30:00,8.31,4.08
151,2023-07-07 09:45:00,9.04,3.773
152,2023-07-07 10:00:00,7.64,4.135
153,2023-07-07 10:15:00,8.5,4.052
154,2023-07-07 10:30:00,7.64,4.191
155,2023-07-07 10:45:00,6.86,4.331
156,2023-07-07 11:00:00,7.47,4.359
157,2023-07-07 11:15:00,6.7,4.331
158,2023-07-07 11:30:00,6.99,4.916
159,2023-07-07 11:45:00,7.47,4.944
160,2023-07-07 12:00:00,7.15,4.749
161,2023-07-07 12:15:00,7.15,4.749
162,2023-07-07 12:30:00,7.15,4.972
163,2023-07-07 12:45:00,7.47,4.944
164,2023-07-07 13:00:00,6.86,5.0
165,2023-07-07 13:15:00,6.7,5.334
166,2023-07-07 13:30:00,6.41,5.585
167,2023-07-07 13:45:00,7.15,6.506
168,2023-07-07 14:00:00,5.98,5.753
169,2023-07-07 14:15:00,6.0,5.753
170,2023-07-07 14:30:00,5.98,5.697
171,2023-07-07 14:45:00,6.41,6.561
172,2023-07-07 15:00:00,7.31,6.701
173,2023-07-07 15:15:00,6.86,6.171
174,2023-07-07 15:30:00,6.41,5.892
175,2023-07-07 15:45:00,6.26,5.669
176,2023-07-07 16:00:00,6.0,9.907
177,2023-07-07 16:15:00,8.13,8.708
178,2023-07-07 16:30:00,6.86,7.231
179,2023-07-07 16:45:00,7.31,6.924
180,2023-07-07 17:00:00,7.96,6.506
181,2023-07-07 17:15:00,7.15,6.98
182,2023-07-07 17:30:00,8.13,6.645
183,2023-07-07 17:45:00,7.64,6.199
184,2023-07-07 18:00:00,7.64,5.836
185,2023-07-07 18:15:00,8.13,5.725
186,2023-07-07 18:30:00,8.13,5.725
187,2023-07-07 18:45:00,7.96,5.725
188,2023-07-07 19:00:00,7.64,5.418
189,2023-07-07 19:15:00,8.5,5.362
190,2023-07-07 19:30:00,7.96,5.279
191,2023-07-07 19:45:00,7.96,5.139
192,2023-07-07 20:00:00,7.15,5.056
193,2023-07-07 20:15:00,7.64,5.056
194,2023-07-07 20:30:00,7.15,5.167
195,2023-07-07 20:45:00,8.13,5.781
196,2023-07-07 21:00:00,7.64,6.31
197,2023-07-07 21:15:00,7.31,6.032
198,2023-07-07 21:30:00,7.15,5.92
199,2023-07-07 21:45:00,7.96,5.808
200,2023-07-07 22:00:00,7.64,5.781
201,2023-07-07 22:15:00,8.5,5.502
202,2023-07-07 22:30:00,7.96,5.641
203,2023-07-07 22:45:00,7.64,5.641
204,2023-07-07 23:00:00,7.96,5.669
205,2023-07-07 23:15:00,8.5,5.502
206,2023-07-07 23:30:00,8.5,5.418
207,2023-07-07 23:45:00,8.5,5.418
208,2023-07-08 00:00:00,8.5,5.084
209,2023-07-08 00:15:00,8.13,5.139
210,2023-07-08 00:30:00,8.5,5.056
211,2023-07-08 00:45:00,8.5,5.195
212,2023-07-08 01:00:00,8.5,4.833
213,2023-07-08 01:15:00,7.96,4.972
214,2023-07-08 01:30:00,8.5,4.637
215,2023-07-08 01:45:00,8.84,4.805
216,2023-07-08 02:00:00,8.5,4.609
217,2023-07-08 02:15:00,8.13,4.582
218,2023-07-08 02:30:00,8.84,4.526
219,2023-07-08 02:45:00,8.13,4.191
220,2023-07-08 03:00:00,8.84,4.191
221,2023-07-08 03:15:00,8.5,4.08
222,2023-07-08 03:30:00,9.04,3.857
223,2023-07-08 03:45:00,9.04,3.912
224,2023-07-08 04:00:00,7.96,3.829
225,2023-07-08 04:15:00,8.13,3.717
226,2023-07-08 04:30:00,9.04,3.885
227,2023-07-08 04:45:00,8.5,3.745
228,2023-07-08 05:00:00,8.5,3.55
229,2023-07-08 05:15:00,9.04,3.438
230,2023-07-08 05:30:00,9.64,3.411
231,2023-07-08 05:45:00,8.5,4.414
232,2023-07-08 06:00:00,8.13,3.857
233,2023-07-08 06:15:00,8.5,3.801
234,2023-07-08 06:30:00,10.02,4.609
235,2023-07-08 06:45:00,8.5,4.303
236,2023-07-08 07:00:00,8.5,3.968
237,2023-07-08 07:15:00,8.5,4.08
238,2023-07-08 07:30:00,8.84,3.857
239,2023-07-08 07:45:00,7.96,3.773
240,2023-07-08 08:00:00,8.84,3.801
241,2023-07-08 08:15:00,8.84,3.661
242,2023-07-08 08:30:00,9.04,3.494
243,2023-07-08 08:45:00,8.31,3.327
244,2023-07-08 09:00:00,8.84,3.187
245,2023-07-08 09:15:00,8.31,3.383
246,2023-07-08 09:30:00,8.5,3.327
247,2023-07-08 09:45:00,9.04,3.355
248,2023-07-08 10:00:00,7.96,3.578
249,2023-07-08 10:15:00,7.96,3.717
250,2023-07-08 10:30:00,7.15,3.717
251,2023-07-08 10:45:00,9.04,3.773
252,2023-07-08 11:00:00,8.84,3.55
253,2023-07-08 11:15:00,7.96,4.833
254,2023-07-08 11:30:00,6.99,4.944
255,2023-07-08 11:45:00,7.96,4.888
256,2023-07-08 12:00:00,7.64,4.442
257,2023-07-08 12:15:00,6.7,4.359
258,2023-07-08 12:30:00,6.7,6.032
259,2023-07-08 12:45:00,7.47,4.805
260,2023-07-08 13:00:00,7.96,4.749
261,2023-07-08 13:15:00,7.15,4.916
262,2023-07-08 13:30:00,7.64,4.721
263,2023-07-08 13:45:00,6.7,4.665
264,2023-07-08 14:00:00,7.64,4.777
265,2023-07-08 14:15:00,8.13,4.888
266,2023-07-08 14:30:00,9.04,5.279
267,2023-07-08 14:45:00,7.64,5.139
268,2023-07-08 15:00:00,7.15,4.916
269,2023-07-08 15:15:00,7.15,5.167
270,2023-07-08 15:30:00,7.64,5.725
271,2023-07-08 15:45:00,6.83,4.944
272,2023-07-08 16:00:00,6.83,5.39
273,2023-07-08 16:15:00,7.64,5.307
274,2023-07-08 16:30:00,7.96,5.195
275,2023-07-08 16:45:00,7.15,5.307
276,2023-07-08 17:00:00,6.86,5.334
277,2023-07-08 17:15:00,6.86,5.502
278,2023-07-08 17:30:00,6.86,5.446
279,2023-07-08 17:45:00,7.64,5.362
280,2023-07-08 18:00:00,6.83,5.251
281,2023-07-08 18:15:00,7.31,5.139
282,2023-07-08 18:30:00,7.31,5.0
283,2023-07-08 18:45:00,7.64,5.028
284,2023-07-08 19:00:00,7.64,5.362
285,2023-07-08 19:15:00,7.64,5.084
286,2023-07-08 19:30:00,7.64,4.944
287,2023-07-08 19:45:00,7.15,4.833
288,2023-07-08 20:00:00,7.15,5.111
289,2023-07-08 20:15:00,7.15,7.509
290,2023-07-08 20:30:00,7.64,6.673
291,2023-07-08 20:45:00,8.13,6.059
292,2023-07-08 21:00:00,7.15,6.282
293,2023-07-08 21:15:00,8.13,6.729
294,2023-07-08 21:30:00,7.64,7.928
295,2023-07-08 21:45:00,7.64,6.729
296,2023-07-08 22:00:00,7.64,6.422
297,2023-07-08 22:15:00,8.13,6.784
298,2023-07-08 22:30:00,7.47,8.011
299,2023-07-08 22:45:00,7.96,7.928
300,2023-07-08 23:00:00,8.5,7.426
301,2023-07-08 23:15:00,7.96,7.286
302,2023-07-08 23:30:00,8.13,6.645
303,2023-07-08 23:45:00,8.5,6.255
304,2023-07-09 00:00:00,7.96,6.506
305,2023-07-09 00:15:00,8.5,6.645
306,2023-07-09 00:30:00,7.96,6.673
307,2023-07-09 00:45:00,9.04,6.143
308,2023-07-09 01:00:00,7.96,6.478
309,2023-07-09 01:15:00,8.5,6.059
310,2023-07-09 01:30:00,8.13,6.032
311,2023-07-09 01:45:00,8.84,5.808
312,2023-07-09 02:00:00,8.84,5.669
313,2023-07-09 02:15:00,8.5,5.725
314,2023-07-09 02:30:00,8.5,5.808
315,2023-07-09 02:45:00,7.96,6.338
316,2023-07-09 03:00:00,8.84,7.732
317,2023-07-09 03:15:00,8.5,6.756
318,2023-07-09 03:30:00,8.84,7.147
319,2023-07-09 03:45:00,8.5,6.282
320,2023-07-09 04:00:00,8.5,7.175
321,2023-07-09 04:15:00,8.84,7.007
322,2023-07-09 04:30:00,8.5,7.454
323,2023-07-09 04:45:00,9.04,8.429
324,2023-07-09 05:00:00,8.5,10.242
325,2023-07-09 05:15:00,7.96,9.684
326,2023-07-09 05:30:00,8.84,8.151
327,2023-07-09 05:45:00,9.04,9.768
328,2023-07-09 06:00:00,8.5,6.087
329,2023-07-09 06:15:00,9.43,4.275
330,2023-07-09 06:30:00,8.84,3.996
331,2023-07-09 06:45:00,8.31,4.024
332,2023-07-09 07:00:00,7.96,5.195
333,2023-07-09 07:15:00,8.5,6.255
334,2023-07-09 07:30:00,7.96,5.836
335,2023-07-09 07:45:00,8.5,6.701
336,2023-07-09 08:00:00,8.5,5.864
337,2023-07-09 08:15:00,8.31,6.115
338,2023-07-09 08:30:00,7.96,6.087
339,2023-07-09 08:45:00,8.31,6.45
340,2023-07-09 09:00:00,8.31,5.781
341,2023-07-09 09:15:00,7.96,3.665
342,2023-07-09 09:30:00,7.81,3.363
343,2023-07-09 09:45:00,7.47,3.252
344,2023-07-09 10:00:00,8.31,3.693
345,2023-07-09 10:15:00,7.81,3.693
346,2023-07-09 10:30:00,7.47,3.83
347,2023-07-09 10:45:00,6.99,3.94
348,2023-07-09 11:00:00,6.99,4.188
349,2023-07-09 11:15:00,6.26,4.105
350,2023-07-09 11:30:00,6.26,4.711
351,2023-07-09 11:45:00,7.15,4.491
352,2023-07-09 12:00:00,5.47,5.261
353,2023-07-09 12:15:00,6.55,7.352
354,2023-07-09 12:30:00,5.6,5.151
355,2023-07-09 12:45:00,6.7,5.206
356,2023-07-09 13:00:00,6.99,5.619
357,2023-07-09 13:15:00,5.87,5.894
358,2023-07-09 13:30:00,6.26,6.829
359,2023-07-09 13:45:00,6.7,5.481
360,2023-07-09 14:00:00,6.99,5.756
361,2023-07-09 14:15:00,6.7,5.646
362,2023-07-09 14:30:00,6.26,7.462
363,2023-07-09 14:45:00,6.26,6.609
364,2023-07-09 15:00:00,6.26,6.912
365,2023-07-09 15:15:00,6.26,8.728
366,2023-07-09 15:30:00,5.98,6.389
367,2023-07-09 15:45:00,6.26,8.453
368,2023-07-09 16:00:00,5.98,9.608
369,2023-07-09 16:15:00,5.98,7.242
370,2023-07-09 16:30:00,5.98,7.435
371,2023-07-09 16:45:00,5.98,7.297
372,2023-07-09 17:00:00,5.98,10.819
373,2023-07-09 17:15:00,6.7,8.15
374,2023-07-09 17:30:00,6.41,10.599
375,2023-07-09 17:45:00,5.98,11.864
376,2023-07-09 18:00:00,5.98,6.554
377,2023-07-09 18:15:00,6.83,7.627
378,2023-07-09 18:30:00,5.22,9.993
379,2023-07-09 18:45:00,5.98,10.544
380,2023-07-09 19:00:00,5.98,8.865
381,2023-07-09 19:15:00,6.7,6.169
382,2023-07-09 19:30:00,6.41,5.976
383,2023-07-09 19:45:00,6.41,5.591
384,2023-07-09 20:00:00,6.26,5.426
385,2023-07-09 20:15:00,6.7,5.509
386,2023-07-09 20:30:00,6.7,5.371
387,2023-07-09 20:45:00,7.15,6.307
388,2023-07-09 21:00:00,6.7,5.894
389,2023-07-09 21:15:00,7.47,6.444
390,2023-07-09 21:30:00,6.7,6.389
391,2023-07-09 21:45:00,7.15,6.252
392,2023-07-09 22:00:00,6.41,6.141
393,2023-07-09 22:15:00,6.26,6.719
394,2023-07-09 22:30:00,6.99,5.674
395,2023-07-09 22:45:00,7.15,6.389
396,2023-07-09 23:00:00,6.7,5.976
397,2023-07-09 23:15:00,7.47,6.609
398,2023-07-09 23:30:00,7.15,5.564
399,2023-07-09 23:45:00,6.7,5.866
400,2023-07-10 00:00:00,6.99,5.976
401,2023-07-10 00:15:00,6.99,5.866
402,2023-07-10 00:30:00,7.96,5.976
403,2023-07-10 00:45:00,7.47,5.701
404,2023-07-10 01:00:00,7.96,5.399
405,2023-07-10 01:15:00,6.99,6.252
406,2023-07-10 01:30:00,6.7,5.399
407,2023-07-10 01:45:00,7.47,5.454
408,2023-07-10 02:00:00,7.47,5.289
409,2023-07-10 02:15:00,6.99,5.454
410,2023-07-10 02:30:00,7.47,5.894
411,2023-07-10 02:45:00,7.47,5.371
412,2023-07-10 03:00:00,7.47,5.674
413,2023-07-10 03:15:00,7.15,5.234
414,2023-07-10 03:30:00,7.47,5.068
415,2023-07-10 03:45:00,7.47,5.206
416,2023-07-10 04:00:00,7.47,4.463
417,2023-07-10 04:15:00,7.15,4.766
418,2023-07-10 04:30:00,7.47,5.013
419,2023-07-10 04:45:00,6.99,4.656
420,2023-07-10 05:00:00,7.47,4.601
421,2023-07-10 05:15:00,7.96,4.573
422,2023-07-10 05:30:00,6.99,4.353
423,2023-07-10 05:45:00,7.47,4.436
424,2023-07-10 06:00:00,7.15,4.683
425,2023-07-10 06:15:00,8.31,5.178
426,2023-07-10 06:30:00,7.96,4.628
427,2023-07-10 06:45:00,7.47,4.601
428,2023-07-10 07:00:00,8.31,5.261
429,2023-07-10 07:15:00,7.81,4.601
430,2023-07-10 07:30:00,7.96,4.491
431,2023-07-10 07:45:00,8.84,4.876
432,2023-07-10 08:00:00,7.81,4.683
433,2023-07-10 08:15:00,8.31,5.096
434,2023-07-10 08:30:00,8.31,5.454
435,2023-07-10 08:45:00,7.96,4.326
436,2023-07-10 09:00:00,7.78,4.271
437,2023-07-10 09:15:00,8.31,4.381
438,2023-07-10 09:30:00,8.31,4.078
439,2023-07-10 09:45:00,7.78,4.628
440,2023-07-10 10:00:00,7.78,5.167
441,2023-07-10 10:15:00,7.78,4.582
442,2023-07-10 10:30:00,7.31,4.888
443,2023-07-10 10:45:00,7.31,4.805
444,2023-07-10 11:00:00,7.31,5.418
445,2023-07-10 11:15:00,6.7,5.111
446,2023-07-10 11:30:00,7.78,4.86
447,2023-07-10 11:45:00,7.31,5.836
448,2023-07-10 12:00:00,7.31,6.032
449,2023-07-10 12:15:00,6.12,5.669
450,2023-07-10 12:30:00,6.99,5.474
451,2023-07-10 12:45:00,6.7,5.781
452,2023-07-10 13:00:00,6.55,6.143
453,2023-07-10 13:15:00,6.55,6.98
454,2023-07-10 13:30:00,5.47,6.478
455,2023-07-10 13:45:00,6.7,6.617
456,2023-07-10 14:00:00,6.55,5.725
457,2023-07-10 14:15:00,5.87,5.669
458,2023-07-10 14:30:00,5.47,6.087
459,2023-07-10 14:45:00,6.7,6.84
460,2023-07-10 15:00:00,6.26,6.199
461,2023-07-10 15:15:00,5.87,6.812
462,2023-07-10 15:30:00,6.7,6.338
463,2023-07-10 15:45:00,6.7,6.31
464,2023-07-10 16:00:00,6.0,6.199
465,2023-07-10 16:15:00,5.87,6.032
466,2023-07-10 16:30:00,5.6,6.589
467,2023-07-10 16:45:00,6.26,6.868
468,2023-07-10 17:00:00,5.87,6.478
469,2023-07-10 17:15:00,5.6,6.673
470,2023-07-10 17:30:00,6.0,6.812
471,2023-07-10 17:45:00,5.6,6.143
472,2023-07-10 18:00:00,6.41,6.394
473,2023-07-10 18:15:00,5.6,6.366
474,2023-07-10 18:30:00,6.0,6.087
475,2023-07-10 18:45:00,5.6,6.31
476,2023-07-10 19:00:00,6.0,6.004
477,2023-07-10 19:15:00,7.15,6.199
478,2023-07-10 19:30:00,6.26,6.282
479,2023-07-10 19:45:00,6.26,6.422
480,2023-07-10 20:00:00,6.7,6.533
481,2023-07-10 20:15:00,7.15,5.753
482,2023-07-10 20:30:00,6.55,6.338
483,2023-07-10 20:45:00,7.47,7.844
484,2023-07-10 21:00:00,6.7,7.983
485,2023-07-10 21:15:00,7.15,7.621
486,2023-07-10 21:30:00,7.15,7.816
487,2023-07-10 21:45:00,6.26,7.481
488,2023-07-10 22:00:00,6.99,7.816
489,2023-07-10 22:15:00,6.99,7.091
490,2023-07-10 22:30:00,6.7,7.286
491,2023-07-10 22:45:00,6.7,6.98
492,2023-07-10 23:00:00,7.15,8.123
493,2023-07-10 23:15:00,7.47,7.286
494,2023-07-10 23:30:00,7.47,7.119
495,2023-07-10 23:45:00,7.47,6.561
496,2023-07-11 00:00:00,7.47,7.063
497,2023-07-11 00:15:00,7.47,6.561
498,2023-07-11 00:30:00,7.15,7.621
499,2023-07-11 00:45:00,6.7,6.896
500,2023-07-11 01:00:00,6.99,6.31
501,2023-07-11 01:15:00,7.78,6.366
502,2023-07-11 01:30:00,7.47,6.032
503,2023-07-11 01:45:00,7.78,6.31
504,2023-07-11 02:00:00,7.96,5.864
505,2023-07-11 02:15:00,7.47,5.753
506,2023-07-11 02:30:00,7.47,5.892
507,2023-07-11 02:45:00,7.47,5.948
508,2023-07-11 03:00:00,7.47,5.976
509,2023-07-11 03:15:00,7.47,5.558
510,2023-07-11 03:30:00,7.47,5.92
511,2023-07-11 03:45:00,7.78,5.725
512,2023-07-11 04:00:00,7.96,5.502
513,2023-07-11 04:15:00,7.96,5.558
514,2023-07-11 04:30:00,7.78,5.753
515,2023-07-11 04:45:00,7.78,5.781
516,2023-07-11 05:00:00,8.31,5.223
517,2023-07-11 05:15:00,8.84,5.307
518,2023-07-11 05:30:00,7.96,5.781
519,2023-07-11 05:45:00,7.96,4.888
520,2023-07-11 06:00:00,7.81,6.84
521,2023-07-11 06:15:00,8.31,8.151
522,2023-07-11 06:30:00,8.31,7.342
523,2023-07-11 06:45:00,7.47,6.171
524,2023-07-11 07:00:00,7.81,6.338
525,2023-07-11 07:15:00,7.81,6.171
526,2023-07-11 07:30:00,7.81,6.31
527,2023-07-11 07:45:00,7.81,5.362
528,2023-07-11 08:00:00,7.96,5.577
529,2023-07-11 08:15:00,8.13,9.015
530,2023-07-11 08:30:00,7.47,7.732
531,2023-07-11 08:45:00,7.78,7.342
532,2023-07-11 09:00:00,7.31,6.812
533,2023-07-11 09:15:00,7.78,6.282
534,2023-07-11 09:30:00,7.47,5.697
535,2023-07-11 09:45:00,7.47,6.366
536,2023-07-11 10:00:00,6.99,5.864
537,2023-07-11 10:15:00,7.47,5.92
538,2023-07-11 10:30:00,6.55,5.92
539,2023-07-11 10:45:00,6.99,5.585
540,2023-07-11 11:00:00,6.12,6.143
541,2023-07-11 11:15:00,6.55,5.474
542,2023-07-11 11:30:00,6.55,6.143
543,2023-07-11 11:45:00,6.12,5.697
544,2023-07-11 12:00:00,5.87,6.282
545,2023-07-11 12:15:00,6.12,6.227
546,2023-07-11 12:30:00,5.87,6.84
547,2023-07-11 12:45:00,6.26,9.127
548,2023-07-11 13:00:00,6.55,10.158
549,2023-07-11 13:15:00,6.12,7.007
550,2023-07-11 13:30:00,5.47,6.338
551,2023-07-11 13:45:00,5.87,6.366
552,2023-07-11 14:00:00,5.87,7.928
553,2023-07-11 14:15:00,6.26,6.84
554,2023-07-11 14:30:00,6.0,6.589
555,2023-07-11 14:45:00,5.87,6.561
556,2023-07-11 15:00:00,5.24,5.892
557,2023-07-11 15:15:00,5.98,5.892
558,2023-07-11 15:30:00,5.6,5.697
559,2023-07-11 15:45:00,6.26,6.84
560,2023-07-11 16:00:00,5.87,7.007
561,2023-07-11 16:15:00,5.6,7.928
562,2023-07-11 16:30:00,5.87,6.561
563,2023-07-11 16:45:00,5.24,5.892
564,2023-07-11 17:00:00,5.6,0.0
565,2023-07-11 17:15:00,6.0,0.0
566,2023-07-11 17:30:00,6.0,0.0
567,2023-07-11 17:45:00,6.0,5.892
568,2023-07-11 18:00:00,5.0,6.673
569,2023-07-11 18:15:00,5.24,6.143
570,2023-07-11 18:30:00,5.24,6.171
571,2023-07-11 18:45:00,5.6,6.171
572,2023-07-11 19:00:00,6.7,5.892
573,2023-07-11 19:15:00,5.35,5.781
574,2023-07-11 19:30:00,5.24,5.892
575,2023-07-11 19:45:00,4.77,5.864
576,2023-07-11 20:00:00,4.77,5.808
577,2023-07-11 20:15:00,4.45,5.669
578,2023-07-11 20:30:00,5.35,5.725
579,2023-07-11 20:45:00,5.0,5.892
580,2023-07-11 21:00:00,5.24,6.673
581,2023-07-11 21:15:00,4.88,6.729
582,2023-07-11 21:30:00,5.0,6.756
583,2023-07-11 21:45:00,5.6,6.784
584,2023-07-11 22:00:00,5.6,6.84
585,2023-07-11 22:15:00,5.6,6.729
586,2023-07-11 22:30:00,5.0,6.617
587,2023-07-11 22:45:00,5.24,6.645
588,2023-07-11 23:00:00,5.35,6.756
589,2023-07-11 23:15:00,5.22,6.589
590,2023-07-11 23:30:00,5.6,6.45
591,2023-07-11 23:45:00,5.6,6.394
592,2023-07-12 00:00:00,5.22,6.422
593,2023-07-12 00:15:00,5.24,6.255
594,2023-07-12 00:30:00,5.22,6.255
595,2023-07-12 00:45:00,5.22,6.087
596,2023-07-12 01:00:00,5.22,6.087
597,2023-07-12 01:15:00,5.6,6.45
598,2023-07-12 01:30:00,5.87,6.171
599,2023-07-12 01:45:00,5.24,6.004
600,2023-07-12 02:00:00,5.6,5.92
601,2023-07-12 02:15:00,5.24,5.808
602,2023-07-12 02:30:00,5.6,5.781
603,2023-07-12 02:45:00,5.6,5.697
604,2023-07-12 03:00:00,6.0,5.446
605,2023-07-12 03:15:00,5.6,5.446
