Date_Time,Q (L/s)
6/18/2023 15:30,10.1144
6/18/2023 15:45,11.1256
6/18/2023 16:00,10.1144
6/18/2023 16:15,9.1389
6/18/2023 16:30,9.1389
6/18/2023 16:45,9.1389
6/18/2023 17:00,9.7788
6/18/2023 17:15,10.1144
6/18/2023 17:30,10.7583
6/18/2023 17:45,11.8959
6/18/2023 18:00,10.1144
6/18/2023 18:15,10.1144
6/18/2023 18:30,9.1389
6/18/2023 18:45,10.1144
6/18/2023 19:00,9.7788
6/18/2023 19:15,11.5047
6/18/2023 19:30,10.7583
6/18/2023 19:45,9.7788
6/18/2023 20:00,9.7788
6/18/2023 20:15,10.7583
6/18/2023 20:30,11.5047
6/18/2023 20:45,11.8959
6/18/2023 21:00,9.7788
6/18/2023 21:15,11.5047
6/18/2023 21:30,10.7583
6/18/2023 21:45,10.4024
6/18/2023 22:00,10.4024
6/18/2023 22:15,10.4024
6/18/2023 22:30,10.7583
6/18/2023 22:45,12.6456
6/18/2023 23:00,11.5047
6/18/2023 23:15,11.5047
6/18/2023 23:30,12.2995
6/18/2023 23:45,11.5047
6/19/2023 0:00,11.5047
6/19/2023 0:15,12.6456
6/19/2023 0:30,12.2995
6/19/2023 0:45,12.2995
6/19/2023 1:00,11.5047
6/19/2023 1:15,10.4024
6/19/2023 1:30,11.5047
6/19/2023 1:45,12.2995
6/19/2023 2:00,13.5135
6/19/2023 2:15,10.4024
6/19/2023 2:30,11.5047
6/19/2023 2:45,12.2995
6/19/2023 3:00,11.5047
6/19/2023 3:15,12.2995
6/19/2023 3:30,13.5135
6/19/2023 3:45,12.6456
6/19/2023 4:00,13.5135
6/19/2023 4:15,13.5135
6/19/2023 4:30,11.5047
6/19/2023 4:45,9.4537
6/19/2023 5:00,12.2995
6/19/2023 5:15,14.4364
6/19/2023 5:30,12.2995
6/19/2023 5:45,11.5047
6/19/2023 6:00,13.5135
6/19/2023 6:15,12.6456
6/19/2023 6:30,12.2995
6/19/2023 6:45,12.6456
6/19/2023 7:00,11.5047
6/19/2023 7:15,14.9194
6/19/2023 7:30,10.7583
6/19/2023 7:45,10.4024
6/19/2023 8:00,10.4024
6/19/2023 8:15,11.5047
6/19/2023 8:30,10.4024
6/19/2023 8:45,12.6456
6/19/2023 9:00,12.2995
6/19/2023 9:15,13.9679
6/19/2023 9:30,12.2995
6/19/2023 9:45,13.5135
6/19/2023 10:00,10.4024
6/19/2023 10:15,13.9679
6/19/2023 10:30,9.7788
6/19/2023 10:45,9.4537
6/19/2023 11:00,8.8341
6/19/2023 11:15,10.4024
6/19/2023 11:30,9.7788
6/19/2023 11:45,7.4928
6/19/2023 12:00,10.4024
6/19/2023 12:15,10.4024
6/19/2023 12:30,6.1336
6/19/2023 12:45,12.2995
6/19/2023 13:00,8.0223
6/19/2023 13:15,8.0223
6/19/2023 13:30,8.0223
6/19/2023 13:45,7.4928
6/19/2023 14:00,8.3003
6/19/2023 14:15,8.8341
6/19/2023 14:30,9.4537
6/19/2023 14:45,9.7788
6/19/2023 15:00,9.1389
6/19/2023 15:15,8.8341
6/19/2023 15:30,10.7583
6/19/2023 15:45,10.7583
6/19/2023 16:00,8.8341
6/19/2023 16:15,8.8341
6/19/2023 16:30,8.8341
6/19/2023 16:45,10.7583
6/19/2023 17:00,9.4537
6/19/2023 17:15,8.3003
6/19/2023 17:30,10.4024
6/19/2023 17:45,7.4928
6/19/2023 18:00,8.0223
6/19/2023 18:15,9.4537
6/19/2023 18:30,10.4024
6/19/2023 18:45,10.4024
6/19/2023 19:00,8.8341
6/19/2023 19:15,9.7788
6/19/2023 19:30,9.7788
6/19/2023 19:45,9.7788
6/19/2023 20:00,9.1389
6/19/2023 20:15,9.1389
6/19/2023 20:30,10.7583
6/19/2023 20:45,9.4537
6/19/2023 21:00,8.8341
6/19/2023 21:15,9.7788
6/19/2023 21:30,10.4024
6/19/2023 21:45,10.7583
6/19/2023 22:00,8.8341
6/19/2023 22:15,11.5047
6/19/2023 22:30,10.4024
6/19/2023 22:45,11.1256
6/19/2023 23:00,11.5047
6/19/2023 23:15,12.6456
6/19/2023 23:30,11.5047
6/19/2023 23:45,11.5047
6/20/2023 0:00,10.4024
6/20/2023 0:15,11.5047
6/20/2023 0:30,11.5047
6/20/2023 0:45,13.5135
6/20/2023 1:00,11.1256
6/20/2023 1:15,11.5047
6/20/2023 1:30,12.6456
6/20/2023 1:45,13.5135
6/20/2023 2:00,12.6456
6/20/2023 2:15,11.5047
6/20/2023 2:30,12.2995
6/20/2023 2:45,12.6456
6/20/2023 3:00,12.6456
6/20/2023 3:15,12.6456
6/20/2023 3:30,10.4024
6/20/2023 3:45,13.5135
6/20/2023 4:00,12.6456
6/20/2023 4:15,10.4024
6/20/2023 4:30,11.5047
6/20/2023 4:45,11.5047
6/20/2023 5:00,11.1256
6/20/2023 5:15,11.5047
6/20/2023 5:30,11.1256
6/20/2023 5:45,10.4024
6/20/2023 6:00,11.1256
6/20/2023 6:15,10.4024
6/20/2023 6:30,9.4537
6/20/2023 6:45,10.4024
6/20/2023 7:00,12.2995
6/20/2023 7:15,11.5047
6/20/2023 7:30,12.6456
6/20/2023 7:45,9.4537
6/20/2023 8:00,12.2995
6/20/2023 8:15,12.2995
