,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size (um),Vol Conc,Cum Conc,,D5:,9.85,,Size (um),Vol Conc,Cum Conc,,D5:,9.14,,Size (um),Vol Conc,Cum Conc,,D5:,7.92,,Size (um),Vol Conc,Cum Conc,,D5:,10.88,,Size (um),Vol Conc,Cum Conc,,D5:,11.53,,Size (um),Vol Conc,Cum Conc,,D5:,8.98,,Size (um),Vol Conc,Cum Conc,,D5:,11.01,,Size (um),Vol Conc,Cum Conc,,D5:,7.92,,Size (um),Vol Conc,Cum Conc,,D5:,9.28,,Size (um),Vol Conc,Cum Conc,,D5:,8.5,,Size (um),Vol Conc,Cum Conc,,D5:,10.76,,Size (um),Vol Conc,Cum Conc,,D5:,11.03,,Size (um),Vol Conc,Cum Conc,,D5:,10.81,,Size (um),Vol Conc,Cum Conc,,D5:,10.49,,Size (um),Vol Conc,Cum Conc,,D5:,9.54,,Size (um),Vol Conc,Cum Conc,,D5:,9.29,,Size (um),Vol Conc,Cum Conc,,D5:,8.21,,Size (um),Vol Conc,Cum Conc,,D5:,5.45,,Size (um),Vol Conc,Cum Conc,,D5:,9.92,,Size (um),Vol Conc,Cum Conc,,D5:,10.13,,Size (um),Vol Conc,Cum Conc,,D5:,8.07,,Size (um),Vol Conc,Cum Conc,,D5:,7.95,,Size (um),Vol Conc,Cum Conc,,D5:,8.82,,Size (um),Vol Conc,Cum Conc,,D5:,10.52,,Size (um),Vol Conc,Cum Conc,,D5:,7.42,,Size (um),Vol Conc,Cum Conc,,D5:,8.34,,Size (um),Vol Conc,Cum Conc,,D5:,9.34,,Size (um),Vol Conc,Cum Conc,,D5:,8.83,,Size (um),Vol Conc,Cum Conc,,D5:,7.24,,Size (um),Vol Conc,Cum Conc,,D5:,6.39,,Size (um),Vol Conc,Cum Conc,,D5:,9.46,,Size (um),Vol Conc,Cum Conc,,D5:,9.41,,Size (um),Vol Conc,Cum Conc,,D5:,8.37,,Size (um),Vol Conc,Cum Conc,,D5:,7.83,,Size (um),Vol Conc,Cum Conc,,D5:,7.74,,Size (um),Vol Conc,Cum Conc,,D5:,7.84,,Size (um),Vol Conc,Cum Conc,,D5:,8.26,,Size (um),Vol Conc,Cum Conc,,D5:,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.95,0.88,1.26,,,,,1.95,1.03,1.45,,,,,1.95,0.86,1.5,,,,,1.95,0.32,1.23,,,,,1.95,0.66,1.17,,,,,1.95,0.84,1.36,,,,,1.95,0.71,1.26,,,,,1.95,0.75,1.58,,,,,1.95,0.77,1.46,,,,,1.95,0.71,1.57,,,,,1.95,0.44,1.25,,,,,1.95,0.47,1.33,,,,,1.95,0.82,1.29,,,,,1.95,0.79,1.31,,,,,1.95,0.78,1.4,,,,,1.95,0.61,1.47,,,,,1.95,0.54,1.54,,,,,1.95,0.92,2.1,,,,,1.95,0.43,1.41,,,,,1.95,0.57,1.42,,,,,1.95,0.99,1.49,,,,,1.95,0.87,1.53,,,,,1.95,0.44,1.43,,,,,1.95,0.35,1.26,,,,,1.95,0.4,1.68,,,,,1.95,0.51,1.57,,,,,1.95,0.49,1.3,,,,,1.95,0.5,1.36,,,,,1.95,0.73,1.65,,,,,1.95,0.64,1.76,,,,,1.95,0.42,1.33,,,,,1.95,0.42,1.36,,,,,1.95,0.59,1.44,,,,,1.95,0.65,1.56,,,,,1.95,0.71,1.51,,,,,1.95,0.6,1.53,,,,,1.95,0.39,1.54,,,,,1.95,0.38,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,1,1.58,,,,,2.3,1.15,1.77,,,,,2.3,0.97,1.85,,,,,2.3,0.35,1.51,,,,,2.3,0.74,1.43,,,,,2.3,0.95,1.68,,,,,2.3,0.79,1.53,,,,,2.3,0.83,1.93,,,,,2.3,0.83,1.77,,,,,2.3,0.77,1.89,,,,,2.3,0.48,1.51,,,,,2.3,0.5,1.59,,,,,2.3,0.88,1.53,,,,,2.3,0.85,1.57,,,,,2.3,0.84,1.68,,,,,2.3,0.66,1.75,,,,,2.3,0.59,1.88,,,,,2.3,1.02,2.57,,,,,2.3,0.47,1.7,,,,,2.3,0.62,1.7,,,,,2.3,1.1,1.83,,,,,2.3,0.97,1.87,,,,,2.3,0.5,1.75,,,,,2.3,0.4,1.54,,,,,2.3,0.44,2.05,,,,,2.3,0.57,1.91,,,,,2.3,0.56,1.6,,,,,2.3,0.57,1.68,,,,,2.3,0.81,2.03,,,,,2.3,0.73,2.18,,,,,2.3,0.47,1.63,,,,,2.3,0.47,1.66,,,,,2.3,0.66,1.76,,,,,2.3,0.73,1.91,,,,,2.3,0.8,1.87,,,,,2.3,0.67,1.88,,,,,2.3,0.43,1.89,,,,,2.3,0.43,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.72,1.07,1.92,,File:,SPT4B01,,2.72,1.24,2.12,,File:,SPT4A01,,2.72,1.05,2.23,,File:,SPT4C01,,2.72,0.38,1.81,,File:,SPT4D01,,2.72,0.8,1.72,,File:,SPT4D02,,2.72,1.03,2.03,,File:,SPT25B01,,2.72,0.84,1.82,,File:,SP25C01,,2.72,0.89,2.3,,File:,SP25D01,,2.72,0.87,2.1,,File:,SPT6A01,,2.72,0.82,2.22,,File:,SPT6A02,,2.72,0.52,1.8,,File:,SPT6A03,,2.72,0.53,1.86,,File:,SPT6A04,,2.72,0.94,1.8,,File:,SPT6A05,,2.72,0.91,1.84,,File:,SPT6A06,,2.72,0.89,1.98,,File:,SPT6D01,,2.72,0.7,2.05,,File:,SPT6D02,,2.72,0.64,2.23,,File:,SPT7A01,,2.72,1.1,3.08,,File:,SPT7A03,,2.72,0.5,2.01,,File:,SPT7A04,,2.72,0.65,2,,File:,SPT7A05,,2.72,1.19,2.2,,File:,SPT7A06,,2.72,1.04,2.25,,File:,SPT7A07,,2.72,0.53,2.09,,File:,SPT7A08,,2.72,0.43,1.84,,File:,SPT7A09,,2.72,0.47,2.45,,File:,SPT5B01,,2.72,0.61,2.28,,File:,SPT5B02,,2.72,0.6,1.93,,File:,SPST5C01,,2.72,0.62,2.02,,File:,SPST5C02,,2.72,0.87,2.44,,File:,SPT5D01,,2.72,0.8,2.64,,File:,SPT5D02,,2.72,0.5,1.96,,File:,SPT0C01,,2.72,0.51,2,,File:,SPT0C02,,2.72,0.72,2.12,,File:,SPT0D01,,2.72,0.79,2.29,,File:,SPT0D02,,2.72,0.88,2.25,,File:,SPT8A01,,2.72,0.73,2.26,,File:,SPT8A02,,2.72,0.46,2.25,,File:,SPT8A03,,2.72,0.46,2.11,,File:,SPT8A04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,1.11,2.28,,,,,3.2,1.31,2.49,,,,,3.2,1.13,2.63,,,,,3.2,0.41,2.14,,,,,3.2,0.86,2.03,,,,,3.2,1.1,2.4,,,,,3.2,0.9,2.14,,,,,3.2,0.95,2.7,,,,,3.2,0.9,2.44,,,,,3.2,0.86,2.58,,,,,3.2,0.55,2.1,,,,,3.2,0.55,2.14,,,,,3.2,1,2.08,,,,,3.2,0.96,2.13,,,,,3.2,0.95,2.29,,,,,3.2,0.74,2.37,,,,,3.2,0.68,2.62,,,,,3.2,1.17,3.62,,,,,3.2,0.54,2.34,,,,,3.2,0.68,2.31,,,,,3.2,1.28,2.6,,,,,3.2,1.11,2.64,,,,,3.2,0.57,2.46,,,,,3.2,0.46,2.16,,,,,3.2,0.51,2.88,,,,,3.2,0.65,2.67,,,,,3.2,0.66,2.28,,,,,3.2,0.66,2.39,,,,,3.2,0.93,2.84,,,,,3.2,0.86,3.13,,,,,3.2,0.54,2.32,,,,,3.2,0.54,2.35,,,,,3.2,0.78,2.5,,,,,3.2,0.85,2.69,,,,,3.2,0.95,2.67,,,,,3.2,0.79,2.67,,,,,3.2,0.49,2.64,,,,,3.2,0.49,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.78,1.17,2.65,,,,,3.78,1.39,2.88,,,,,3.78,1.23,3.08,,,,,3.78,0.44,2.49,,,,,3.78,0.93,2.36,,,,,3.78,1.19,2.8,,,,,3.78,0.97,2.47,,,,,3.78,1.03,3.13,,,,,3.78,0.96,2.8,,,,,3.78,0.93,2.96,,,,,3.78,0.59,2.42,,,,,3.78,0.6,2.44,,,,,3.78,1.09,2.38,,,,,3.78,1.04,2.44,,,,,3.78,1.04,2.64,,,,,3.78,0.79,2.72,,,,,3.78,0.73,3.03,,,,,3.78,1.26,4.2,,,,,3.78,0.57,2.69,,,,,3.78,0.72,2.64,,,,,3.78,1.38,3.02,,,,,3.78,1.2,3.07,,,,,3.78,0.62,2.86,,,,,3.78,0.49,2.51,,,,,3.78,0.54,3.33,,,,,3.78,0.68,3.09,,,,,3.78,0.71,2.66,,,,,3.78,0.71,2.79,,,,,3.78,1,3.33,,,,,3.78,0.92,3.66,,,,,3.78,0.58,2.7,,,,,3.78,0.58,2.73,,,,,3.78,0.84,2.92,,,,,3.78,0.91,3.13,,,,,3.78,1.03,3.12,,,,,3.78,0.85,3.11,,,,,3.78,0.53,3.06,,,,,3.78,0.53,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.46,1.29,3.07,,,,,4.46,1.5,3.3,,,,,4.46,1.37,3.57,,,,,4.46,0.48,2.87,,,,,4.46,1.01,2.72,,,,,4.46,1.32,3.24,,,,,4.46,1.06,2.84,,,,,4.46,1.13,3.6,,,,,4.46,1.06,3.19,,,,,4.46,1.03,3.39,,,,,4.46,0.66,2.78,,,,,4.46,0.66,2.78,,,,,4.46,1.23,2.73,,,,,4.46,1.16,2.79,,,,,4.46,1.17,3.02,,,,,4.46,0.89,3.11,,,,,4.46,0.8,3.48,,,,,4.46,1.4,4.85,,,,,4.46,0.62,3.07,,,,,4.46,0.8,3,,,,,4.46,1.53,3.5,,,,,4.46,1.33,3.55,,,,,4.46,0.68,3.3,,,,,4.46,0.54,2.88,,,,,4.46,0.59,3.82,,,,,4.46,0.74,3.53,,,,,4.46,0.79,3.08,,,,,4.46,0.79,3.23,,,,,4.46,1.1,3.84,,,,,4.46,1.01,4.24,,,,,4.46,0.64,3.11,,,,,4.46,0.64,3.14,,,,,4.46,0.94,3.38,,,,,4.46,1,3.61,,,,,4.46,1.13,3.62,,,,,4.46,0.93,3.6,,,,,4.46,0.57,3.52,,,,,4.46,0.57,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.27,1.4,3.52,,,,,5.27,1.62,3.75,,,,,5.27,1.51,4.11,,,,,5.27,0.52,3.28,,,,,5.27,1.11,3.12,,,,,5.27,1.46,3.73,,,,,5.27,1.17,3.25,,,,,5.27,1.25,4.13,,,,,5.27,1.19,3.64,,,,,5.27,1.17,3.87,,,,,5.27,0.73,3.19,,,,,5.27,0.75,3.16,,,,,5.27,1.4,3.12,,,,,5.27,1.33,3.19,,,,,5.27,1.34,3.47,,,,,5.27,1.02,3.55,,,,,5.27,0.89,3.99,,,,,5.27,1.55,5.56,,,,,5.27,0.68,3.49,,,,,5.27,0.9,3.42,,,,,5.27,1.71,4.03,,,,,5.27,1.49,4.08,,,,,5.27,0.75,3.78,,,,,5.27,0.59,3.3,,,,,5.27,0.64,4.36,,,,,5.27,0.8,4.02,,,,,5.27,0.88,3.55,,,,,5.27,0.89,3.72,,,,,5.27,1.22,4.41,,,,,5.27,1.11,4.88,,,,,5.27,0.7,3.57,,,,,5.27,0.7,3.6,,,,,5.27,1.05,3.89,,,,,5.27,1.1,4.14,,,,,5.27,1.25,4.17,,,,,5.27,1.03,4.14,,,,,5.27,0.62,4.01,,,,,5.27,0.63,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.21,1.53,4.01,,,,,6.21,1.78,4.25,,,,,6.21,1.66,4.7,,,,,6.21,0.57,3.73,,,,,6.21,1.22,3.56,,,,,6.21,1.6,4.27,,,,,6.21,1.29,3.69,,,,,6.21,1.38,4.7,,,,,6.21,1.36,4.15,,,,,6.21,1.34,4.43,,,,,6.21,0.83,3.64,,,,,6.21,0.85,3.59,,,,,6.21,1.62,3.57,,,,,6.21,1.55,3.66,,,,,6.21,1.55,3.98,,,,,6.21,1.19,4.07,,,,,6.21,1.01,4.56,,,,,6.21,1.73,6.36,,,,,6.21,0.76,3.96,,,,,6.21,1.03,3.88,,,,,6.21,1.91,4.62,,,,,6.21,1.66,4.67,,,,,6.21,0.83,4.32,,,,,6.21,0.66,3.77,,,,,6.21,0.7,4.95,,,,,6.21,0.88,4.55,,,,,6.21,0.99,4.09,,,,,6.21,1,4.28,,,,,6.21,1.37,5.05,,,,,6.21,1.23,5.59,,,,,6.21,0.78,4.08,,,,,6.21,0.77,4.11,,,,,6.21,1.18,4.47,,,,,6.21,1.24,4.73,,,,,6.21,1.39,4.78,,,,,6.21,1.14,4.73,,,,,6.21,0.69,4.56,,,,,6.21,0.69,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.33,1.67,4.54,,,,,7.33,1.96,2.48,,,,,7.33,1.81,5.35,,,,,7.33,0.63,4.22,,,,,7.33,1.34,4.03,,,,,7.33,1.75,7.86,,,,,7.33,1.41,4.19,,,,,7.33,1.53,5.34,,,,,7.33,1.55,4.72,,,,,7.33,1.56,5.07,,,,,7.33,0.96,4.17,,,,,7.33,0.99,4.1,,,,,7.33,1.91,4.1,,,,,7.33,1.85,4.21,,,,,7.33,1.82,4.58,,,,,7.33,1.42,4.69,,,,,7.33,1.15,5.21,,,,,7.33,1.93,7.26,,,,,7.33,0.87,4.49,,,,,7.33,1.17,4.42,,,,,7.33,2.13,5.28,,,,,7.33,1.86,5.34,,,,,7.33,0.94,4.92,,,,,7.33,0.74,4.29,,,,,7.33,0.78,5.61,,,,,7.33,0.97,5.13,,,,,7.33,1.12,4.69,,,,,7.33,1.13,4.91,,,,,7.33,1.55,5.77,,,,,7.33,1.37,6.37,,,,,7.33,0.87,4.65,,,,,7.33,0.87,4.67,,,,,7.33,1.35,5.14,,,,,7.33,1.4,5.4,,,,,7.33,1.55,5.46,,,,,7.33,1.28,5.4,,,,,7.33,0.77,5.17,,,,,7.33,0.77,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.65,1.81,5.13,,,,,8.65,2.18,5.41,,,,,8.65,2.01,6.07,,,,,8.65,0.69,4.77,,,,,8.65,1.48,4.56,,,,,8.65,1.91,5.5,,,,,8.65,1.56,4.73,,,,,8.65,1.71,6.06,,,,,8.65,1.75,5.38,,,,,8.65,1.8,5.82,,,,,8.65,1.11,4.78,,,,,8.65,1.15,4.68,,,,,8.65,2.27,4.74,,,,,8.65,2.19,4.87,,,,,8.65,2.13,5.29,,,,,8.65,1.68,5.42,,,,,8.65,1.32,5.95,,,,,8.65,2.17,8.26,,,,,8.65,1,5.11,,,,,8.65,1.33,5.03,,,,,8.65,2.39,6.02,,,,,8.65,2.09,6.09,,,,,8.65,1.05,5.6,,,,,8.65,0.83,4.88,,,,,8.65,0.87,6.34,,,,,8.65,1.08,5.79,,,,,8.65,1.27,5.37,,,,,8.65,1.27,5.62,,,,,8.65,1.76,6.59,,,,,8.65,1.54,7.26,,,,,8.65,0.99,5.3,,,,,8.65,0.98,5.32,,,,,8.65,1.54,5.89,,,,,8.65,1.58,6.16,,,,,8.65,1.74,6.22,,,,,8.65,1.44,6.15,,,,,8.65,0.87,5.87,,,,,8.65,0.86,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.21,2,5.77,,,,,10.21,2.43,6.09,,,,,10.21,2.27,6.88,,,,,10.21,0.78,5.38,,,,,10.21,1.67,5.16,,,,,10.21,2.1,6.21,,,,,10.21,1.73,5.33,,,,,10.21,1.93,6.87,,,,,10.21,2.01,6.13,,,,,10.21,2.08,6.68,,,,,10.21,1.3,5.49,,,,,10.21,1.33,5.36,,,,,10.21,2.72,5.5,,,,,10.21,2.61,5.66,,,,,10.21,2.52,6.13,,,,,10.21,2.01,6.29,,,,,10.21,1.55,6.83,,,,,10.21,2.45,9.39,,,,,10.21,1.17,5.83,,,,,10.21,1.55,5.74,,,,,10.21,2.68,6.85,,,,,10.21,2.38,6.94,,,,,10.21,1.21,6.38,,,,,10.21,0.95,5.55,,,,,10.21,0.99,7.17,,,,,10.21,1.23,6.53,,,,,10.21,1.44,6.14,,,,,10.21,1.43,6.42,,,,,10.21,2,7.52,,,,,10.21,1.76,8.27,,,,,10.21,1.15,6.05,,,,,10.21,1.13,6.05,,,,,10.21,1.78,6.77,,,,,10.21,1.8,7.02,,,,,10.21,1.97,7.09,,,,,10.21,1.65,7.01,,,,,10.21,1.01,6.66,,,,,10.21,0.98,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05,2.24,6.49,,,,,12.05,2.81,6.88,,,,,12.05,2.6,7.82,,,,,12.05,0.91,6.1,,,,,12.05,1.93,5.85,,,,,12.05,2.35,7,,,,,12.05,1.97,6.01,,,,,12.05,2.23,7.8,,,,,12.05,2.35,7.01,,,,,12.05,2.45,7.69,,,,,12.05,1.53,6.33,,,,,12.05,1.59,6.17,,,,,12.05,3.29,6.42,,,,,12.05,3.16,6.61,,,,,12.05,3.001,7.12,,,,,12.05,2.43,7.35,,,,,12.05,1.83,7.86,,,,,12.05,2.8,10.69,,,,,12.05,1.4,6.69,,,,,12.05,1.86,6.59,,,,,12.05,3.03,7.79,,,,,12.05,2.72,7.91,,,,,12.05,1.39,7.28,,,,,12.05,1.1,6.33,,,,,12.05,1.15,8.14,,,,,12.05,1.42,7.39,,,,,12.05,1.63,7.02,,,,,12.05,1.62,7.33,,,,,12.05,2.3,8.59,,,,,12.05,2.05,9.44,,,,,12.05,1.35,6.93,,,,,12.05,1.31,6.91,,,,,12.05,2.08,7.79,,,,,12.05,2.07,8.02,,,,,12.05,2.25,8.08,,,,,12.05,1.89,8,,,,,12.05,1.18,7.6,,,,,12.05,1.13,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.22,2.59,7.32,,,,,14.22,3.43,7.84,,,,,14.22,3.12,8.93,,,,,14.22,1.13,6.99,,,,,14.22,2.33,6.68,,,,,14.22,2.75,7.93,,,,,14.22,2.38,6.84,,,,,14.22,2.71,8.93,,,,,14.22,2.84,8.07,,,,,14.22,3.01,8.93,,,,,14.22,1.86,7.35,,,,,14.22,2,7.18,,,,,14.22,4.17,7.59,,,,,14.22,3.96,7.8,,,,,14.22,3.74,8.36,,,,,14.22,3.07,8.68,,,,,14.22,2.22,9.11,,,,,14.22,3.33,12.23,,,,,14.22,1.76,7.77,,,,,14.22,2.34,7.65,,,,,14.22,3.53,8.89,,,,,14.22,3.22,9.06,,,,,14.22,1.65,8.35,,,,,14.22,1.32,7.26,,,,,14.22,1.38,9.3,,,,,14.22,1.72,8.43,,,,,14.22,1.9,8.04,,,,,14.22,1.89,8.38,,,,,14.22,2.75,9.86,,,,,14.22,2.47,10.86,,,,,14.22,1.64,8,,,,,14.22,1.57,7.93,,,,,14.22,2.48,9.01,,,,,14.22,2.46,9.2,,,,,14.22,2.63,9.23,,,,,14.22,2.24,9.17,,,,,14.22,1.43,8.73,,,,,14.22,1.37,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.78,3.04,8.3,,,,,16.78,4.29,9.04,,,,,16.78,3.78,10.29,,,,,16.78,1.45,8.14,,,,,16.78,2.89,7.72,,,,,16.78,3.27,9.03,,,,,16.78,2.97,7.87,,,,,16.78,3.37,10.34,,,,,16.78,3.52,9.38,,,,,16.78,3.76,10.48,,,,,16.78,2.31,8.61,,,,,16.78,2.56,8.48,,,,,16.78,5.31,9.07,,,,,16.78,5.01,9.31,,,,,16.78,4.73,9.93,,,,,16.78,3.91,10.38,,,,,16.78,2.74,10.66,,,,,16.78,4.01,14.08,,,,,16.78,2.28,9.17,,,,,16.78,3.02,9.03,,,,,16.78,4.13,10.17,,,,,16.78,3.83,10.43,,,,,16.78,1.98,9.62,,,,,16.78,1.63,8.4,,,,,16.78,1.72,10.75,,,,,16.78,2.15,9.73,,,,,16.78,2.24,9.24,,,,,16.78,2.22,9.62,,,,,16.78,3.32,11.4,,,,,16.78,3.05,12.6,,,,,16.78,2.02,9.32,,,,,16.78,1.9,9.18,,,,,16.78,2.98,10.48,,,,,16.78,2.97,10.62,,,,,16.78,3.11,10.6,,,,,16.78,2.71,10.59,,,,,16.78,1.79,10.15,,,,,16.78,1.73,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.81,3.57,9.44,,,,,19.81,5.43,10.56,,,,,19.81,4.61,11.94,,,,,19.81,1.85,9.59,,,,,19.81,3.61,9.01,,,,,19.81,3.88,10.34,,,,,19.81,3.76,9.18,,,,,19.81,4.3,12.13,,,,,19.81,4.46,11.05,,,,,19.81,4.76,12.45,,,,,19.81,2.9,10.2,,,,,19.81,3.34,10.18,,,,,19.81,6.78,10.97,,,,,19.81,6.34,11.22,,,,,19.81,6.01,11.92,,,,,19.81,5.02,12.56,,,,,19.81,3.4,12.58,,,,,19.81,4.9,16.35,,,,,19.81,2.99,11.01,,,,,19.81,3.98,10.85,,,,,19.81,4.87,11.68,,,,,19.81,4.6,12.08,,,,,19.81,2.38,11.16,,,,,19.81,2.03,9.84,,,,,19.81,2.18,12.59,,,,,19.81,2.73,11.38,,,,,19.81,2.66,10.67,,,,,19.81,2.64,11.09,,,,,19.81,4.01,13.26,,,,,19.81,3.75,14.75,,,,,19.81,2.45,10.93,,,,,19.81,2.31,10.69,,,,,19.81,3.55,12.22,,,,,19.81,3.62,12.35,,,,,19.81,3.72,12.24,,,,,19.81,3.3,12.31,,,,,19.81,2.28,11.96,,,,,19.81,2.2,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.37,4.09,10.76,,,,,23.37,6.71,12.44,,,,,23.37,5.42,13.88,,,,,23.37,2.26,11.37,,,,,23.37,4.45,10.6,,,,,23.37,4.51,11.86,,,,,23.37,4.66,10.8,,,,,23.37,5.34,14.36,,,,,23.37,5.67,13.17,,,,,23.37,6.06,14.96,,,,,23.37,3.64,12.2,,,,,23.37,4.27,12.36,,,,,23.37,8.47,13.34,,,,,23.37,7.84,13.58,,,,,23.37,7.43,14.38,,,,,23.37,6.32,15.31,,,,,23.37,4.2,14.95,,,,,23.37,5.89,19.07,,,,,23.37,3.94,13.44,,,,,23.37,5.15,13.21,,,,,23.37,5.67,13.44,,,,,23.37,5.46,14.03,,,,,23.37,2.85,13,,,,,23.37,2.55,11.63,,,,,23.37,2.8,14.94,,,,,23.37,3.52,13.51,,,,,23.37,3.17,12.37,,,,,23.37,3.15,12.84,,,,,23.37,4.79,15.49,,,,,23.37,4.54,17.35,,,,,23.37,2.91,12.84,,,,,23.37,2.81,12.52,,,,,23.37,4.16,14.27,,,,,23.37,4.41,14.17,,,,,23.37,4.45,14.19,,,,,23.37,4.05,14.43,,,,,23.37,2.9,14.25,,,,,23.37,2.79,13.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.58,4.7,12.27,,,,,27.58,8.34,14.78,,,,,27.58,6.35,16.15,,,,,27.58,2.69,13.5,,,,,27.58,5.49,12.56,,,,,27.58,5.27,13.63,,,,,27.58,5.85,12.83,,,,,27.58,6.66,17.15,,,,,27.58,7.34,15.91,,,,,27.58,7.95,18.24,,,,,27.58,4.66,14.75,,,,,27.58,5.6,15.2,,,,,27.58,10.6,16.3,,,,,27.58,9.83,16.53,,,,,27.58,9.27,17.46,,,,,27.58,8.02,18.79,,,,,27.58,5.18,17.87,,,,,27.58,7.21,22.41,,,,,27.58,5.18,16.62,,,,,27.58,6.74,16.29,,,,,27.58,6.73,15.52,,,,,27.58,6.61,16.39,,,,,27.58,3.48,15.25,,,,,27.58,3.22,13.9,,,,,27.58,3.61,17.98,,,,,27.58,4.55,16.27,,,,,27.58,3.82,14.42,,,,,27.58,3.79,14.96,,,,,27.58,5.85,18.21,,,,,27.58,5.47,20.49,,,,,27.58,3.43,15.08,,,,,27.58,3.46,14.79,,,,,27.58,4.89,16.68,,,,,27.58,5.44,17.08,,,,,27.58,5.4,16.57,,,,,27.58,5.04,17.06,,,,,27.58,3.71,17.2,,,,,27.58,3.52,15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
