Date_Time,P4_WSE,P4_gw_left,P4_gw_right,P4_h_left,P4_h_right,P4_h_average
2021-08-25 19:45:00,2733.044569,2732.178288,2732.355891,-0.8662810000000718,-0.6886779999999817,-0.7774795000000267
2021-08-25 20:00:00,2733.045152,2732.177123,2732.356761,-0.868029000000206,-0.6883910000001379,-0.7782100000001719
2021-08-25 20:15:00,2733.044569,2732.17753,2732.354139,-0.8670390000002044,-0.6904300000001058,-0.7787345000001551
2021-08-25 20:30:00,2733.044183,2732.176153,2732.355791,-0.8680300000000898,-0.6883920000000217,-0.7782110000000557
2021-08-25 20:45:00,2733.042243,2732.179195,2732.356324,-0.8630479999997078,-0.6859190000000126,-0.7744834999998602
2021-08-25 21:00:00,2733.044579,2732.176059,2732.355741,-0.8685199999999895,-0.6888380000000325,-0.778679000000011
2021-08-25 21:15:00,2733.044773,2732.177735,2732.355934,-0.8670379999998659,-0.6888389999999163,-0.7779384999998911
2021-08-25 21:30:00,2733.043993,2732.176955,2732.359498,-0.8670379999998659,-0.6844949999999699,-0.7757664999999179
2021-08-25 21:45:00,2733.043213,2732.174882,2732.355543,-0.8683310000001256,-0.6876699999997982,-0.7780004999999619
2021-08-25 22:00:00,2733.044773,2732.177023,2732.355933,-0.8677499999998872,-0.6888400000002548,-0.778295000000071
2021-08-25 22:15:00,2733.044383,2732.178115,2732.352225,-0.8662679999997636,-0.6921579999998357,-0.7792129999997996
2021-08-25 22:30:00,2733.045162,2732.179876,2732.356323,-0.8652859999997418,-0.6888389999999163,-0.777062499999829
2021-08-25 22:45:00,2733.044773,2732.176256,2732.35696,-0.8685169999998834,-0.6878130000000056,-0.7781649999999445
2021-08-25 23:00:00,2733.045935,2732.1794,2732.355346,-0.8665350000001126,-0.6905890000002728,-0.7785620000001927
2021-08-25 23:15:00,2733.044573,2732.177217,2732.354436,-0.8673560000001999,-0.6901370000000497,-0.7787465000001248
2021-08-25 23:30:00,2733.043213,2732.179088,2732.353074,-0.8641250000000582,-0.6901389999998173,-0.7771319999999378
2021-08-25 23:45:00,2733.043603,2732.177337,2732.356513,-0.866265999999996,-0.6870899999998983,-0.7766779999999471
2021-08-26 00:00:00,2733.042823,2732.177708,2732.352684,-0.8651150000000598,-0.6901390000002721,-0.7776270000001659
2021-08-26 00:15:00,2733.045739,2732.179865,2732.350804,-0.8658740000000762,-0.6949349999999868,-0.7804045000000315
2021-08-26 00:45:00,2733.045935,2732.180553,2732.355345,-0.8653819999999541,-0.6905900000001566,-0.7779860000000554
2021-08-26 01:00:00,2733.045549,2732.176935,2732.3557,-0.8686139999999796,-0.6898489999998674,-0.7792314999999235
2021-08-26 01:15:00,2733.048071,2732.177318,2732.355605,-0.8707530000001498,-0.6924659999999676,-0.7816095000000587
2021-08-26 01:30:00,2733.046322,2732.177319,2732.356472,-0.869003000000248,-0.6898500000002059,-0.779426500000227
2021-08-26 01:45:00,2733.045156,2732.180372,2732.354009,-0.8647840000003271,-0.6911470000000008,-0.777965500000164
2021-08-26 02:00:00,2733.046322,2732.181539,2732.354435,-0.8647829999999885,-0.6918869999999515,-0.77833499999997
2021-08-26 02:30:00,2733.045546,2732.179771,2732.355408,-0.8657749999997577,-0.6901379999999335,-0.7779564999998456
2021-08-26 02:45:00,2733.048658,2732.177906,2732.358069,-0.870752000000266,-0.6905890000002728,-0.7806705000002694
2021-08-26 03:00:00,2733.049824,2732.180551,2732.350094,-0.8692730000002484,-0.6997300000002724,-0.7845015000002604
2021-08-26 03:15:00,2733.047492,2732.179478,2732.352558,-0.8680140000001302,-0.694934000000103,-0.7814740000001166
2021-08-26 03:45:00,2733.047492,2732.176247,2732.351836,-0.8712450000002718,-0.6956560000003265,-0.7834505000002991
2021-08-26 04:00:00,2733.048851,2732.180568,2732.353465,-0.8682829999997921,-0.6953859999998713,-0.7818344999998317
2021-08-26 04:15:00,2733.046712,2732.178698,2732.351778,-0.8680139999996754,-0.6949339999996482,-0.7814739999996618
