,08/03/22 00:01:00,08/03/22 00:16:00,08/03/22 00:31:00,08/03/22 00:46:00,08/03/22 01:01:00,08/03/22 01:16:00,08/03/22 01:31:00,08/03/22 01:46:00,08/03/22 02:01:00,08/03/22 02:16:00,08/03/22 02:31:00,08/03/22 02:46:00,08/03/22 03:01:00,08/03/22 03:16:00,08/03/22 03:31:00,08/03/22 03:46:00,08/03/22 04:01:00,08/03/22 04:16:00,08/03/22 04:31:00,08/03/22 04:46:00,08/03/22 05:01:00,08/03/22 05:16:00,08/03/22 05:31:00,08/03/22 05:46:00,08/03/22 06:01:00,08/03/22 06:16:00,08/03/22 06:31:00,08/03/22 06:46:00,08/03/22 07:01:00,08/03/22 07:16:00,08/03/22 07:31:00,08/03/22 07:46:00,08/03/22 08:01:00,08/03/22 08:16:00,08/03/22 08:31:00,08/03/22 08:46:00,08/03/22 09:01:00,08/03/22 09:16:00,08/03/22 09:31:00,08/03/22 09:46:00,08/03/22 10:01:00,08/03/22 10:16:00,08/03/22 10:31:00,08/03/22 10:46:00,08/03/22 11:01:00,08/03/22 11:16:00,08/03/22 11:31:00,08/03/22 11:46:00,08/03/22 12:01:00,08/03/22 12:16:00,08/03/22 12:31:00,08/03/22 12:46:00,08/03/22 13:01:00,08/03/22 13:16:00,08/03/22 13:31:00,08/03/22 13:46:00,08/03/22 14:01:00,08/03/22 14:16:00,08/03/22 14:31:00,08/03/22 14:46:00,08/03/22 15:01:00,08/03/22 15:16:00,08/03/22 15:31:00,08/03/22 15:46:00,08/03/22 16:01:00,08/03/22 16:16:00,08/03/22 16:31:00,08/03/22 16:46:00,08/03/22 17:01:00,08/03/22 17:16:00,08/03/22 17:31:00,08/03/22 17:46:00,08/03/22 18:01:00,08/03/22 18:16:00,08/03/22 18:31:00,08/03/22 18:46:00,08/03/22 19:01:00,08/03/22 19:16:00,08/03/22 19:31:00,08/03/22 19:46:00,08/03/22 20:01:00,08/03/22 20:16:00,08/03/22 20:31:00,08/03/22 20:46:00,08/03/22 21:01:00,08/03/22 22:01:00,08/03/22 22:46:00,08/03/22 23:01:00,08/03/22 23:16:00,08/03/22 23:31:00,08/03/22 23:46:00,08/04/22 00:01:00
mean_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363773292243613,0.0,0.0,0.0,0.05414373194851488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13501675982083947,0.0,0.0,0.0,0.05414373194851488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_env_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737334230281029,0.7530636263700745,0.545127878197616,0.39126669559989696,0.2722260869126411,0.3087968198481025,0.34731842724059353,0.3627831870184468,0.29563447817949345,0.3237271314390843,0.260747782910582,0.2170578819112711,0.18985327605247873,0.13828629160325956,0.15488434548895794,0.11961683415770254,0.0,0.0,0.0,0.0,0.05782689963382193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_env_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737334230281029,0.48624786057325914,0.39003381958177175,0.3015702748146804,0.21507219208024506,0.24971207154612685,0.2922191866585979,0.26171693119784645,0.24683070540275232,0.23841353942080729,0.21687261434223842,0.18627853130306407,0.1576903832975514,0.13060847774804263,0.133234813671574,0.11961683415770254,0.0,0.0,0.0,0.0,0.05782689963382193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median_env_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737334230281029,0.48751215645364754,0.3805368925838497,0.29744346883328293,0.21239209654787358,0.2517045474711363,0.28945576172399046,0.2546619333871119,0.24660965884200564,0.23513689173843857,0.20488103735609148,0.18637151279245157,0.16084744111129506,0.13212180925325434,0.133234813671574,0.11961683415770254,0.0,0.0,0.0,0.0,0.05782689963382193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_env_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14949336921124115,3.012254505480298,2.180511512790464,1.5650667823995879,1.0889043476505644,1.23518727939241,1.3892737089623741,1.4511327480737872,1.1825379127179738,1.2949085257563373,1.042991131642328,0.8682315276450844,0.7989686931579885,0.5873278575525117,0.6195373819558317,0.5170373749814,0.29860197411441614,0.2803490251326287,0.25686539603128733,0.24871900673418113,0.23206803588084648,0.2563466498767097,0.24098934292776655,0.21157871639850967,0.1990455320152504,0.18764703814825767,0.22268064543896168,0.253530511392879,0.2658773503155127,0.21213770304035395,0.20809403019605924,0.2618818504624221,0.2031936729667377
mean_env_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10803408380095901,1.9275246398106514,1.53476358945311,1.1347182270877196,0.7700160492471266,0.9131386625853571,1.1138800180298039,0.9958094614366159,0.9037369776620038,0.8544172761060961,0.7928925565156489,0.672341275709482,0.5342541033839909,0.4222550918563594,0.36942764045442544,0.3007910993082281,0.23249299986562164,0.22814958773679514,0.1971849037280895,0.17025775798485213,0.1703523062002663,0.19084638869394074,0.19594564589357377,0.1712838925803092,0.16386231209452629,0.1572876324350556,0.18002384716746447,0.1835725309842778,0.19448448513305758,0.1754188471005946,0.15811547994527692,0.18061129887403612,0.1746874648020426
median_env_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10651195500702641,1.9488512262142001,1.5017545393913059,1.11786503983043,0.754520035934775,0.8958368283651088,1.0930400992482041,0.9863478820509801,0.8908833025451808,0.8301447778701145,0.7757469737110878,0.6514420052995633,0.5346690800867426,0.424473415381999,0.3597377938797331,0.2858717859141219,0.22928158447250563,0.23184851205075452,0.18866775622608886,0.1580481777646178,0.16487678459195912,0.19144239633940202,0.20100815440532838,0.16859979243691242,0.1674923499015974,0.16047848885261692,0.18295093496099527,0.1767890035460668,0.18254349924399604,0.17288249030890318,0.15535648077046998,0.17635312626423136,0.18171372551768095
max_env_ch3,0.0,0.13369823683917953,0.13765283801924222,0.1233142677381802,0.09269751233049472,0.08616721396318659,0.11751060131593573,0.13357244546049354,0.12059385211412368,0.08630626020284045,0.12978442246220848,0.09188374339095759,0.15760483911581558,0.12068766648129581,0.11110118735196788,0.10482893603759273,0.0990403379699205,0.1246831258463205,0.10242166214509082,0.08246946485430934,0.11320377908961933,0.1324516065936618,0.13452492660097073,0.09905003596895834,0.0,0.12280316553829057,0.10183710139292709,0.09031498675916727,0.10985898644148302,0.11046429267861504,0.0,0.11311965875321167,0.1465050860639598,0.09995843085338545,0.0,0.10453698624952651,0.11851166869084541,0.14135792366767935,0.10556056621515297,0.09924230349226909,0.09228538973017386,0.10955067756516082,0.10028807691980583,0.09597025434975844,0.08398778200686306,0.10859546088115156,0.13198964707612212,0.0,0.0,0.11995194059304808,0.0,0.11148280127251636,0.12483790354959004,0.08519322063994234,0.08317596047272503,0.12336262207615152,0.1026367471974445,0.10101262548506755,0.1507297667463044,0.5979734768449646,12.049018021921192,8.722046051161856,6.260267129598351,4.355617390602258,4.94074911756964,5.5570948358494965,5.804530992295149,4.730151650871895,5.179634103025349,4.171964526569312,3.4729261105803375,3.195874772631954,2.349311430210047,2.478149527823327,2.0681494999256,1.1944078964576645,1.1213961005305149,1.0274615841251493,0.9948760269367245,0.9282721435233859,1.0253865995068387,0.9639573717110662,0.8463148655940387,0.8258045800241851,0.766399257934864,0.8907225817558467,1.014122045571516,1.0635094012620507,0.8485508121614158,0.832376120784237,1.0475274018496885,0.8127746918669508
mean_env_ch3,0.0,0.13368222380156342,0.1312613909958112,0.11725860507844556,0.09269751233049472,0.08616721396318659,0.1007612539544431,0.11803713288739215,0.11154239246580283,0.08180762585089733,0.1133810326361438,0.09188374339095759,0.12519953292859107,0.10397683750606358,0.10384706092375434,0.09810013866040942,0.09478485990730898,0.11047403598807799,0.10242166214509082,0.08246946485430934,0.09717405092547284,0.11408048656893863,0.12363117899077526,0.09016110068661193,0.0,0.1102724410634769,0.0908078074475738,0.0863477474013511,0.09795239252127497,0.09815992197626791,0.0,0.11311965875321167,0.1154198916725453,0.09995843085338545,0.0,0.10453698624952651,0.10194316979414865,0.14135792366767935,0.10556056621515297,0.09924230349226909,0.09228538973017386,0.10143242580635013,0.09973053552150729,0.09536694076303404,0.07879870846796894,0.09598386116212461,0.11042610557946375,0.0,0.0,0.10360300522708618,0.0,0.10242953465030355,0.10884319459164121,0.08519322063994234,0.08317596047272503,0.09200971310829237,0.0931924703457773,0.08382868615136935,0.10682133363918385,0.3320440594745003,7.7100985592426055,6.13905435781244,4.5388729083508785,3.0800641969885065,3.6525546503414286,4.455520072119215,3.9832378457464634,3.614947910648015,3.4176691044243843,3.1715702260625958,2.689365102837928,2.130443181484909,1.6661570331946074,1.4292712737097346,1.1842221961872532,0.8861488618881846,0.8564846061805562,0.7234448737786,0.5758243971088142,0.6118150998010629,0.6774430914825265,0.6726651288542195,0.612436782285089,0.604387540529831,0.5733141004482456,0.6215185661904539,0.6200699058030602,0.6661547103588538,0.6086790320293424,0.5498333975164652,0.6084617870913724,0.5748600504914314
median_env_ch3,0.0,0.13368222380156342,0.1312613909958112,0.12019444683261561,0.09269751233049472,0.08616721396318659,0.10229309415008193,0.11676717420074462,0.12015406484864866,0.08180762585089733,0.1133810326361438,0.09188374339095759,0.12519953292859107,0.09814406818715539,0.10384706092375434,0.09810013866040942,0.09478485990730898,0.12013983604361818,0.10242166214509082,0.08246946485430934,0.09806903763447185,0.11408048656893863,0.12007881028003498,0.09016110068661193,0.0,0.10547677253543741,0.0908078074475738,0.0863477474013511,0.09795239252127497,0.09858365829395419,0.0,0.11311965875321167,0.10854293265436407,0.09995843085338545,0.0,0.10453698624952651,0.09990355466825628,0.14135792366767935,0.10556056621515297,0.09924230349226909,0.09228538973017386,0.10143242580635013,0.09973053552150729,0.09536694076303404,0.07879870846796894,0.09598386116212461,0.09978493418167193,0.0,0.0,0.1037996052717587,0.0,0.10242953465030355,0.11153509673439974,0.08519322063994234,0.08317596047272503,0.08151285646342717,0.0931924703457773,0.08306110618681914,0.10440249883187121,0.3276505961085679,7.795404904856801,6.0070181575652235,4.47146015932172,3.0180801437391,3.5833473134604352,4.3721603969928164,3.9453915282039205,3.563533210180723,3.320579111480458,3.1029878948443512,2.6057680211982532,2.1379855882272834,1.6756238652628177,1.4102754953085066,1.1400020959077513,0.8715683125587887,0.847209737578992,0.7153526706691292,0.5756543045497013,0.5994869150388232,0.6548479149518773,0.6532287848307394,0.6069635221414607,0.5978281368022519,0.5877533809367235,0.5897450496673151,0.6002290868002187,0.6579774170309096,0.604263776523623,0.5512655421617196,0.5762607615587223,0.5564760024413138
max_env_ch2,0.4363146459422458,0.5347929473567181,0.562140401207779,0.4932570709527208,0.48482968544828364,0.4163851784741453,0.48720605548343654,0.5342897818419742,0.4878472513456171,0.48745077789464225,0.5191376898488339,0.49823239436603933,0.6304193564632623,0.48275066592518323,0.4444047494078715,0.41931574415037093,0.4524468846836768,0.498732503385282,0.4269989106224671,0.455953501259188,0.4528151163584773,0.5298064263746473,0.5380997064038829,0.4572463829546082,0.4444538094565449,0.4912126621531623,0.41054565509107127,0.40031984081515803,0.4394359457659321,0.45275635188170976,0.394652725516209,0.4524786350128467,0.5860203442558392,0.5202111690003568,0.4204867112763094,0.4345638695580651,0.47404667476338164,0.5654316946707174,0.4614281037230417,0.42060150723862927,0.5266506856218511,0.4382027102606433,0.43340520205294736,0.5240378240033717,0.3699514128485919,0.43438184352460624,0.5279585883044885,0.4287496775121475,0.4180144043845541,0.4798077623721923,0.4322375733353034,0.4978553008777945,0.49935161419836016,0.39041712645001586,0.36710018026345953,0.4934504883046061,0.410546988789778,0.42049726804088966,0.6029190669852176,2.3918939073798584,48.19607208768477,34.88818420464742,25.041068518393406,17.42246956240903,19.76299647027856,22.228379343397986,23.218123969180596,18.92060660348758,20.718536412101397,16.687858106277247,13.89170444232135,12.783499090527815,9.397245720840187,9.912598111293308,8.2725979997024,4.777631585830658,4.4855844021220594,4.109846336500597,3.979504107746898,3.7130885740935438,4.101546398027355,3.855829486844265,3.3852594623761547,3.3032183200967404,3.065597031739456,3.562890327023387,4.056488182286064,4.254037605048203,3.3942032486456633,3.329504483136948,4.190109607398754,3.2510987674678034
