Date (MM/DD/YYYY),Time (HH:mm:ss),Cond uS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,Temp C,Vertical Position m,Battery V,Cable Pwr V
9/18/2023,12:56:00,41.1,-0.992,12.25,3.96,55,71.2,92.2,7.6,-1.41,0.02,54.1,35,20.22,0,1.208,12.449,-0.994,5.97,0
9/18/2023,12:57:00,41.1,-0.992,12.4,4.01,55,71.2,92.2,7.59,-1.41,0.02,54.1,35,21.91,0,1.208,12.47,-0.994,5.97,0
9/18/2023,12:58:00,41.1,-0.992,12.16,3.93,55,71.2,92.2,7.59,-1.41,0.02,54.1,35,25.95,0,1.208,12.488,-0.993,5.97,0
9/18/2023,12:59:00,41.2,-0.992,12.38,4,55,71.2,92.2,7.58,-1.41,0.02,54.1,35,15.03,0,1.208,12.509,-0.994,5.97,0
9/18/2023,13:00:00,41.2,-0.992,12.86,4.16,55,71.2,92.2,7.58,-1.411,0.02,54.1,35,21.92,0,1.208,12.522,-0.995,5.97,0
9/18/2023,13:01:00,41.2,-0.993,12.94,4.18,55,71.2,92.1,7.58,-1.411,0.02,54.1,35,28.85,0,1.208,12.535,-0.994,5.96,0
9/18/2023,13:02:00,41.2,-0.993,12.82,4.14,55,71.2,92.2,7.58,-1.412,0.02,54.1,35,25.74,0,1.208,12.552,-0.995,5.97,0
9/18/2023,13:03:00,41.2,-0.993,12.81,4.14,55,71.2,92.2,7.57,-1.411,0.02,54.1,35,15.07,0,1.208,12.572,-0.995,5.96,0
9/18/2023,13:04:00,41.3,-0.993,12.72,4.11,55,71.2,92.2,7.57,-1.411,0.02,54.1,35,20.86,0,1.208,12.595,-0.994,5.96,0
9/18/2023,13:05:00,41.3,-0.993,12.61,4.08,55,71.2,92.2,7.57,-1.411,0.02,54.1,35,24.74,0,1.208,12.621,-0.994,5.96,0
9/18/2023,13:06:00,41.3,-0.993,12.55,4.06,55,71.2,92.2,7.56,-1.412,0.02,54.1,35,22.49,0,1.208,12.646,-0.992,5.96,0
9/18/2023,13:07:00,41.3,-0.993,12.71,4.11,55,71.2,92.2,7.56,-1.412,0.02,54.1,35,21.02,0,1.208,12.671,-0.993,5.96,0
9/18/2023,13:08:00,41.4,-0.993,12.81,4.14,55,71.2,92.2,7.56,-1.412,0.02,54.1,35,15.99,0,1.208,12.694,-0.993,5.96,0
9/18/2023,13:09:00,41.4,-0.993,12.73,4.11,55,71.2,92.2,7.55,-1.411,0.02,54.1,35,17.39,0,1.208,12.71,-0.991,5.95,0
9/18/2023,13:10:00,41.4,-0.993,12.74,4.12,55,71.2,92.2,7.55,-1.411,0.02,54.1,35,3.16,0,1.208,12.718,-0.993,5.95,0
9/18/2023,13:11:00,41.4,-0.993,12.65,4.09,55,71.2,92.1,7.54,-1.411,0.02,54.1,35,3.11,0,1.208,12.721,-0.994,5.95,0
9/18/2023,13:12:00,41.4,-0.993,12.57,4.06,55,71.1,92.1,7.54,-1.411,0.02,54.1,35,2.48,0,1.208,12.724,-0.992,5.94,0
9/18/2023,13:13:00,41.5,-0.993,12.56,4.06,55.1,71.1,92.1,7.54,-1.412,0.02,54.1,35,3.62,0,1.208,12.732,-0.993,5.95,0
9/18/2023,13:14:00,41.5,-0.993,12.57,4.06,55.1,71.1,92.1,7.54,-1.411,0.02,54.1,35,6.14,0,1.208,12.737,-0.992,5.95,0
9/18/2023,13:15:00,41.5,-0.993,12.5,4.04,55.1,71.1,92,7.53,-1.411,0.02,54.1,35,8.24,0,1.208,12.745,-0.993,5.95,0
9/18/2023,13:16:00,41.5,-0.993,12.79,4.13,55.1,71.1,92.1,7.53,-1.412,0.02,54.2,35,8.33,0,1.208,12.747,-0.992,5.95,0
9/18/2023,13:17:00,41.5,-0.993,12.61,4.08,55.1,71.1,92,7.53,-1.412,0.02,54.2,35,8.28,0,1.208,12.748,-0.993,5.94,0
9/18/2023,13:18:00,41.5,-0.994,12.78,4.13,55.1,71.1,92,7.53,-1.413,0.02,54.2,35,6.26,0,1.208,12.751,-0.993,5.94,0
9/18/2023,13:19:00,41.5,-0.993,12.74,4.12,55.1,71,92,7.53,-1.412,0.02,54.2,35,7.57,0,1.208,12.749,-0.993,5.94,0
9/18/2023,13:20:00,41.5,-0.994,12.79,4.14,55.1,71,92,7.53,-1.413,0.02,54.2,35,4.85,0,1.208,12.747,-0.994,5.93,0
9/18/2023,13:21:00,41.5,-0.993,12.83,4.15,55.1,71.1,92,7.53,-1.412,0.02,54.2,35,8.54,0,1.208,12.743,-0.993,5.94,0
9/18/2023,13:22:00,41.5,-0.994,12.95,4.19,55.1,71.1,92,7.53,-1.413,0.02,54.2,35,11.78,0,1.208,12.736,-0.994,5.94,0
9/18/2023,13:23:00,41.5,-0.994,12.85,4.16,55.1,71.1,92,7.53,-1.414,0.02,54.2,35,6.9,0,1.208,12.73,-0.994,5.93,0
9/18/2023,13:24:00,41.5,-0.994,12.78,4.13,55.1,71,92,7.53,-1.413,0.02,54.2,35,14.55,0,1.208,12.727,-0.994,5.93,0
9/18/2023,13:25:00,41.5,-0.994,12.46,4.03,55.2,71.1,92,7.54,-1.413,0.02,54.2,35,8.73,0,1.208,12.722,-0.991,5.93,0
9/18/2023,13:26:00,41.5,-0.994,12.54,4.05,55.2,71.1,92,7.54,-1.413,0.02,54.2,35,12.9,0,1.208,12.714,-0.994,5.93,0
9/18/2023,13:27:00,41.5,-0.994,12.9,4.17,55.2,71.1,92,7.54,-1.414,0.02,54.2,35,10.92,0,1.208,12.71,-0.991,5.93,0
9/18/2023,13:28:00,41.5,-0.995,12.69,4.1,55.2,71.1,92.1,7.54,-1.414,0.02,54.2,35,14.55,0,1.208,12.705,-0.991,5.92,0
9/18/2023,13:29:00,41.5,-0.995,12.68,4.1,55.2,71.1,92.1,7.54,-1.414,0.02,54.3,35,11.46,0,1.208,12.693,-0.996,5.93,0
9/18/2023,13:30:00,41.5,-0.995,12.81,4.14,55.2,71.1,92.1,7.55,-1.414,0.02,54.3,35,10.01,0,1.208,12.681,-0.995,5.93,0
9/18/2023,13:31:00,41.5,-0.995,12.8,4.14,55.2,71.2,92.1,7.55,-1.414,0.02,54.3,35,6.47,0,1.208,12.669,-0.992,5.92,0
9/18/2023,13:32:00,41.5,-0.995,12.94,4.18,55.2,71.1,92.1,7.55,-1.415,0.02,54.3,35,6.76,0,1.208,12.658,-0.993,5.92,0
9/18/2023,13:33:00,41.5,-0.996,12.87,4.16,55.2,71.1,92.1,7.55,-1.416,0.02,54.3,35,10.02,0,1.208,12.646,-0.999,5.92,0
9/18/2023,13:34:00,41.4,-0.996,12.83,4.15,55.2,71.1,92.1,7.56,-1.416,0.02,54.3,35,10.72,0,1.208,12.63,-0.994,5.92,0
9/18/2023,13:35:00,41.4,-0.996,12.98,4.2,55.2,71.2,92.1,7.56,-1.415,0.02,54.3,35,6.66,0,1.208,12.604,-0.996,5.92,0
9/18/2023,13:36:00,41.4,-0.996,13.06,4.22,55.2,71.2,92.2,7.57,-1.415,0.02,54.3,35,7.38,0,1.208,12.562,-0.994,5.91,0
9/18/2023,13:37:00,41.4,-0.996,13.17,4.26,55.2,71.2,92.2,7.57,-1.416,0.02,54.3,35,10.81,0,1.208,12.581,-0.998,5.92,0
9/18/2023,13:38:00,41.4,-0.996,13.11,4.24,55.2,71.2,92.1,7.57,-1.416,0.02,54.3,35,13.41,0,1.208,12.578,-0.998,5.92,0
9/18/2023,13:39:00,41.4,-0.996,13.09,4.23,55.2,71.1,92.1,7.57,-1.416,0.02,54.3,35,18.25,0,1.208,12.568,-0.998,5.91,0
9/18/2023,13:40:00,41.4,-0.995,12.9,4.17,55.3,71.2,92.2,7.57,-1.415,0.02,54.3,35,20.88,0,1.208,12.557,-0.998,5.91,0
9/18/2023,13:41:00,41.4,-0.995,12.47,4.03,55.3,71.2,92.2,7.58,-1.415,0.02,54.4,35,11.61,0,1.208,12.542,-0.997,5.91,0
9/18/2023,13:42:00,41.4,-0.996,12.8,4.14,55.3,71.2,92.2,7.59,-1.416,0.02,54.4,35,7.24,0,1.208,12.527,-0.996,5.9,0
9/18/2023,13:43:00,41.4,-0.996,12.78,4.13,55.3,71.2,92.2,7.58,-1.416,0.02,54.3,35,11.36,0,1.208,12.514,-0.997,5.91,0
9/18/2023,13:44:00,41.4,-0.996,13.07,4.22,55.3,71.2,92.1,7.58,-1.416,0.02,54.4,35,14.95,0,1.208,12.497,-0.998,5.9,0
9/18/2023,13:45:00,41.4,-0.996,12.99,4.2,55.3,71.2,92.2,7.59,-1.416,0.02,54.4,35,9.21,0,1.208,12.481,-0.995,5.9,0
9/18/2023,13:46:00,41.4,-0.996,12.95,4.19,55.3,71.2,92.2,7.59,-1.416,0.02,54.4,35,11.01,0,1.208,12.469,-0.997,5.9,0
9/18/2023,13:47:00,41.4,-0.996,12.36,4,55.3,71.2,92.1,7.59,-1.416,0.02,54.4,35,16.09,0,1.208,12.459,-0.996,5.9,0
9/18/2023,13:48:00,41.4,-0.997,12.52,4.05,55.3,71.2,92.1,7.59,-1.417,0.02,54.4,35,10.84,0,1.208,12.449,-0.996,5.9,0
9/18/2023,13:49:00,41.4,-0.997,13.01,4.2,55.3,71.2,92.1,7.59,-1.417,0.02,54.4,35,9.22,0,1.208,12.44,-0.997,5.9,0
9/18/2023,13:50:00,41.3,-0.997,13.01,4.2,55.3,71.2,92.1,7.59,-1.417,0.02,54.4,35,9.57,0,1.208,12.431,-0.996,5.89,0
9/18/2023,13:51:00,41.3,-0.997,12.94,4.18,55.3,71.1,92.1,7.59,-1.417,0.02,54.4,35,10.15,0,1.208,12.42,-0.996,5.9,0
9/18/2023,13:52:00,41.3,-0.997,12.8,4.14,55.3,71.1,92,7.59,-1.418,0.02,54.4,35,11.49,0,1.208,12.405,-0.996,5.89,0
9/18/2023,13:53:00,41.2,-0.997,12.84,4.15,55.4,71.1,92.1,7.62,-1.417,0.02,54.5,35,14.15,0,1.208,12.251,-0.996,5.89,0
9/18/2023,13:54:00,41.2,-0.997,12.98,4.2,55.4,71.2,92.2,7.64,-1.418,0.02,54.5,35,16.26,0,1.208,12.204,-0.997,5.89,0
9/18/2023,13:55:00,41,-0.998,12.88,4.16,55.5,71.1,92.1,7.66,-1.418,0.02,54.5,35,16.31,0,1.208,12.045,-0.998,5.89,0
9/18/2023,13:56:00,41.1,-0.998,13,4.2,55.5,71.2,92.2,7.67,-1.418,0.02,54.6,35,13.67,0,1.208,12.028,-0.995,5.88,0
9/18/2023,13:57:00,40.9,-0.997,12.91,4.17,55.7,71.1,92.1,7.71,-1.418,0.02,54.8,36,6.57,0,1.208,11.719,-0.998,5.88,0
9/18/2023,13:58:00,40.9,-0.998,13.04,4.22,55.7,71.2,92.2,7.73,-1.418,0.02,54.8,36,3.36,0,1.208,11.696,-0.997,5.88,0
9/18/2023,13:59:00,40.9,-0.997,13.21,4.27,55.7,71.3,92.3,7.72,-1.418,0.02,54.8,36,2.22,0,1.208,11.747,-0.994,5.88,0
9/18/2023,14:00:00,41.1,-0.998,13.02,4.21,55.7,71.4,92.4,7.7,-1.418,0.02,54.7,36,2.73,0,1.208,11.956,-0.998,5.88,0
9/18/2023,14:01:00,41.1,-0.998,13.17,4.26,55.6,71.3,92.3,7.68,-1.419,0.02,54.6,36,2.2,0,1.208,12.027,-0.995,5.88,0
9/18/2023,14:02:00,41.1,-0.998,13.14,4.25,55.6,71.3,92.3,7.67,-1.419,0.02,54.6,36,1.51,0,1.208,12.059,-0.998,5.88,0
9/18/2023,14:03:00,41.2,-0.998,13.32,4.3,55.6,71.3,92.3,7.66,-1.419,0.02,54.6,36,1.79,0,1.208,12.08,-0.996,5.88,0
9/18/2023,14:04:00,41.2,-0.998,12.93,4.18,55.6,71.2,92.2,7.66,-1.419,0.02,54.6,36,1.89,0,1.208,12.099,-0.996,5.87,0
9/18/2023,14:05:00,41.2,-0.998,12.9,4.17,55.6,71.2,92.2,7.65,-1.418,0.02,54.6,36,2.74,0,1.208,12.143,-0.999,5.88,0
9/18/2023,14:06:00,41.3,-0.998,12.88,4.16,55.6,71.1,92.1,7.63,-1.419,0.02,54.6,36,3.28,0,1.208,12.224,-0.998,5.88,0
9/18/2023,14:07:00,41.3,-0.998,12.7,4.11,55.6,71,92,7.61,-1.419,0.02,54.6,36,3.34,0,1.208,12.239,-0.999,5.87,0
9/18/2023,14:08:00,41.3,-0.998,12.77,4.13,55.6,71,92,7.61,-1.419,0.02,54.6,36,8.06,0,1.208,12.237,-1,5.87,0
9/18/2023,14:09:00,41.3,-0.999,12.88,4.16,55.6,71,92,7.61,-1.42,0.02,54.7,36,4.73,0,1.208,12.232,-0.996,5.87,0
9/18/2023,14:10:00,41.3,-0.999,12.92,4.18,55.6,71,91.9,7.61,-1.42,0.02,54.7,36,3.59,0,1.208,12.224,-1,5.86,0
9/18/2023,14:11:00,41.3,-1,13.11,4.24,55.6,71,91.9,7.61,-1.421,0.02,54.7,36,2.48,0,1.208,12.212,-0.999,5.87,0
9/18/2023,14:12:00,41.3,-1,13.18,4.26,55.6,71,91.9,7.62,-1.422,0.02,54.7,36,2.77,0,1.208,12.203,-0.999,5.87,0
9/18/2023,14:13:00,41.3,-1,13.09,4.23,55.7,71,91.9,7.62,-1.422,0.02,54.7,36,4.86,0,1.208,12.192,-1.001,5.86,0
9/18/2023,14:14:00,41.3,-1.001,13.15,4.25,55.7,71,91.9,7.62,-1.422,0.02,54.7,36,2.48,0,1.208,12.18,-1,5.86,0
9/18/2023,14:15:00,41.3,-1.001,13.1,4.24,55.7,71,91.9,7.62,-1.423,0.02,54.8,36,3.3,0,1.208,12.169,-1.001,5.86,0
9/18/2023,14:16:00,41.3,-1,12.87,4.16,55.7,71,91.9,7.62,-1.422,0.02,54.8,36,4.74,0,1.208,12.157,-1,5.86,0
9/18/2023,14:17:00,41.3,-1.001,12.97,4.19,55.7,70.9,91.9,7.62,-1.422,0.02,54.8,36,4.43,0,1.208,12.145,-1,5.86,0
9/18/2023,14:18:00,41.3,-1,13.02,4.21,55.7,70.9,91.8,7.62,-1.422,0.02,54.8,36,3.54,0,1.208,12.107,-1,5.85,0
9/18/2023,14:19:00,41.3,-1,12.85,4.15,55.8,70.9,91.8,7.63,-1.422,0.02,54.8,36,2.88,0,1.208,12.099,-1.002,5.86,0
9/18/2023,14:20:00,41.3,-1,12.92,4.18,55.8,70.9,91.8,7.62,-1.421,0.02,54.8,36,1.7,0,1.208,12.095,-0.999,5.86,0
9/18/2023,14:21:00,41.3,-1,12.91,4.17,55.8,70.9,91.8,7.63,-1.422,0.02,54.9,36,2.69,0,1.208,12.073,-1,5.85,0
9/18/2023,14:22:00,41.3,-1,12.88,4.16,55.8,70.9,91.8,7.63,-1.421,0.02,54.9,36,3.11,0,1.208,12.062,-1.002,5.86,0
9/18/2023,14:23:00,41.3,-1.001,12.84,4.15,55.8,70.8,91.7,7.62,-1.422,0.02,54.9,36,3.9,0,1.208,12.049,-1.002,5.85,0
9/18/2023,14:24:00,41.3,-1,12.73,4.12,55.8,70.8,91.7,7.62,-1.421,0.02,54.9,36,4.29,0,1.208,12.035,-1.001,5.85,0
9/18/2023,14:25:00,41.3,-1,12.67,4.1,55.9,70.8,91.6,7.62,-1.421,0.02,54.9,36,4.66,0,1.208,12.02,-1.001,5.85,0
9/18/2023,14:26:00,41.3,-0.999,12.54,4.05,55.9,70.8,91.6,7.63,-1.421,0.02,54.9,36,4.19,0,1.208,12.007,-1.001,5.85,0
9/18/2023,14:27:00,41.3,-0.999,12.47,4.03,55.9,70.8,91.6,7.63,-1.42,0.02,55,36,6.01,0,1.208,11.995,-1.001,5.84,0
9/18/2023,14:28:00,41.3,-0.999,12.68,4.1,55.9,70.7,91.6,7.62,-1.42,0.02,55,36,6.04,0,1.208,11.982,-0.998,5.85,0
9/18/2023,14:29:00,41.3,-0.999,12.49,4.04,56,70.8,91.6,7.63,-1.42,0.02,55,36,6.57,0,1.208,11.97,-1,5.84,0
9/18/2023,14:30:00,41.3,-0.998,12.55,4.06,56,70.7,91.6,7.63,-1.419,0.02,55,36,4.94,0,1.208,11.957,-0.997,5.84,0
9/18/2023,14:31:00,41.3,-0.998,12.64,4.09,56,70.7,91.6,7.63,-1.419,0.02,55,36,3.9,0,1.208,11.944,-0.998,5.85,0
9/18/2023,14:32:00,41.3,-0.998,12.67,4.1,56,70.7,91.5,7.63,-1.419,0.03,55.1,36,6.14,0,1.208,11.932,-0.997,5.84,0
9/18/2023,14:33:00,41.3,-0.999,12.42,4.02,56,70.7,91.5,7.63,-1.42,0.03,55.1,36,6.46,0,1.208,11.918,-0.999,5.83,0
9/18/2023,14:34:00,41.3,-0.999,12.47,4.03,56,70.7,91.5,7.64,-1.42,0.03,55.1,36,4.34,0,1.208,11.906,-0.998,5.84,0
9/18/2023,14:35:00,41.3,-0.999,12.47,4.03,56.1,70.7,91.5,7.64,-1.42,0.03,55.1,36,6.58,0,1.208,11.893,-0.999,5.84,0
9/18/2023,14:36:00,41.3,-0.999,12.33,3.99,56.1,70.7,91.5,7.64,-1.42,0.03,55.1,36,6.35,0,1.208,11.88,-0.999,5.83,0
9/18/2023,14:37:00,41.3,-0.999,12.24,3.96,56.1,70.6,91.5,7.63,-1.42,0.03,55.2,36,7.45,0,1.208,11.867,-1,5.84,0
9/18/2023,14:38:00,41.3,-0.999,12.26,3.96,56.1,70.7,91.5,7.64,-1.42,0.03,55.2,36,7.04,0,1.208,11.853,-0.999,5.83,0
9/18/2023,14:39:00,41.3,-0.998,12.36,4,56.1,70.6,91.5,7.64,-1.419,0.03,55.2,36,5.32,0,1.208,11.84,-0.995,5.83,0
9/18/2023,14:40:00,41.3,-0.998,12.25,3.96,56.2,70.6,91.4,7.64,-1.419,0.03,55.2,36,7.51,0,1.208,11.826,-0.995,5.83,0
9/18/2023,14:41:00,41.3,-0.998,12.15,3.93,56.2,70.5,91.3,7.63,-1.419,0.03,55.2,36,6.61,0,1.208,11.813,-0.996,5.82,0
9/18/2023,14:42:00,41.3,-0.999,12.23,3.95,56.2,70.5,91.3,7.64,-1.42,0.03,55.2,36,4.34,0,1.208,11.802,-0.998,5.83,0
9/18/2023,14:43:00,41.3,-0.999,12.38,4,56.2,70.5,91.3,7.64,-1.42,0.03,55.2,36,6.04,0,1.208,11.79,-0.997,5.83,0
9/18/2023,14:44:00,41.3,-0.999,12.3,3.98,56.2,70.5,91.3,7.64,-1.42,0.03,55.3,36,3.07,0,1.208,11.777,-0.998,5.82,0
9/18/2023,14:45:00,41.3,-0.999,12.44,4.02,56.2,70.5,91.3,7.64,-1.42,0.03,55.3,36,3.7,0,1.208,11.764,-0.997,5.83,0
9/18/2023,14:46:00,41.3,-0.998,12.45,4.02,56.3,70.5,91.3,7.64,-1.419,0.03,55.3,36,9.66,0,1.208,11.75,-0.996,5.83,0
9/18/2023,14:47:00,41.3,-0.998,12.17,3.94,56.3,70.5,91.3,7.65,-1.419,0.03,55.3,36,5.06,0,1.208,11.737,-0.997,5.82,0
9/18/2023,14:48:00,0.1,-0.996,-0.84,-0.27,0.1,70.1,90.7,7.63,-1.417,0,0.1,0,0.92,0,1.208,11.556,-0.996,5.77,0
9/18/2023,14:49:00,0,-0.997,-0.82,-0.26,0.1,70.2,90.9,7.65,-1.417,0,0.1,0,0.92,0,1.208,11.541,-0.997,5.79,0
9/18/2023,14:50:00,0.1,-0.997,-0.78,-0.25,0.1,69.9,90.5,7.68,-1.417,0,0.1,0,0.8,0,1.208,11.139,-0.998,5.74,0
9/18/2023,14:51:00,0,-0.997,-0.67,-0.21,0.1,69.8,90.3,7.69,-1.417,0,0.1,0,4.91,0,1.208,11.035,-0.996,5.78,0
9/18/2023,14:52:00,0,-0.997,-0.7,-0.22,0.1,70.1,90.8,7.74,-1.417,0,0.1,0,5.49,0,1.208,10.976,-0.997,5.79,0
9/18/2023,14:53:00,0,-0.996,-0.67,-0.21,0,70,90.6,7.72,-1.417,0,0,0,5.51,0,1.208,10.968,-0.995,5.78,0
9/18/2023,14:54:00,0,-0.996,-0.66,-0.21,0,70,90.7,7.73,-1.417,0,0,0,5.55,0,1.208,10.924,-0.996,5.79,0
9/18/2023,14:55:00,0,-0.996,-0.69,-0.22,0,70.1,90.8,7.75,-1.417,0,0,0,5.56,0,1.208,10.92,-0.996,5.79,0
9/18/2023,14:56:00,0,-0.996,-0.69,-0.22,0,70.2,90.9,7.74,-1.417,0,0,0,5.56,0,1.208,10.999,-0.996,5.79,0
9/18/2023,14:57:00,0,-0.997,-0.68,-0.21,0,70.2,90.9,7.73,-1.417,0,0,0,5.55,0,1.208,11.068,-0.997,5.79,0
9/18/2023,14:58:00,0,-0.997,-0.65,-0.21,0,70.1,90.8,7.71,-1.417,0,0,0,5.55,0,1.208,11.143,-0.996,5.79,0
9/18/2023,14:59:00,0,-0.997,-0.68,-0.22,0,70.1,90.8,7.7,-1.417,0,0,0,5.56,0,1.208,11.2,-0.996,5.79,0
9/18/2023,15:00:00,0,-0.996,-0.68,-0.22,0,70,90.7,7.67,-1.417,0,0,0,5.62,0,1.208,11.329,-0.994,5.79,0
9/18/2023,15:01:00,0,-0.998,-0.67,-0.21,0,69.4,89.9,7.59,-1.418,0,0,0,5.54,0,1.208,11.411,-0.996,5.76,0
9/18/2023,15:02:00,0,-0.997,-0.67,-0.21,0,69.9,90.5,7.65,-1.417,0,0,0,5.64,0,1.208,11.375,-0.994,5.75,0
9/18/2023,15:03:00,0,-0.997,-0.68,-0.22,0,69.9,90.5,7.64,-1.418,0,0,0,5.64,0,1.208,11.397,-0.994,5.77,0
9/18/2023,15:04:00,0,-0.997,-0.68,-0.21,0,69.6,90.2,7.59,-1.418,0,0,0,5.6,0,1.208,11.497,-0.994,5.76,0
9/18/2023,15:05:00,0,-0.997,-0.64,-0.2,0,69.2,89.6,7.53,-1.417,0,0,0,5.65,0,1.208,11.581,-0.994,5.72,0
9/18/2023,15:06:00,0,-0.997,-0.67,-0.21,0,69.2,89.6,7.54,-1.417,0,0,0,5.63,0,1.208,11.524,-0.995,5.75,0
9/18/2023,15:07:00,0,-0.997,-0.66,-0.21,0,69.7,90.3,7.61,-1.418,0,0,0,5.64,0,1.208,11.463,-0.995,5.75,0
9/18/2023,15:08:00,0,-0.998,-0.7,-0.22,0,70.4,91.1,7.66,-1.418,0,0,0,5.61,0,1.208,11.555,-0.998,5.76,0
9/18/2023,15:09:00,0,-0.997,-0.71,-0.22,0,70.4,91.2,7.65,-1.418,0,0,0,5.64,0,1.208,11.688,-0.998,5.76,0
9/18/2023,15:10:00,0,-0.997,-0.68,-0.21,0,70.1,90.7,7.59,-1.417,0,0,0,5.61,0,1.208,11.805,-0.997,5.76,0
9/18/2023,15:11:00,0,-0.984,-0.7,-0.22,0,69.5,90,7.47,-1.399,0,0,0,5.63,0,1.208,12.173,-0.98,5.77,0
9/18/2023,15:12:00,0,-0.967,-0.69,-0.22,0,69.8,90.3,7.48,-1.375,0,0,0,5.63,0,1.208,12.231,-0.958,5.77,0
